DateTime,AddedIPs,RemovedIPs
1579306576,5,6
1579308524,8,5
1579310414,9,6
1579312332,17,1
1579314251,6,9
1579316178,7,3
1579318114,9,2
1579320981,11,7
1579323136,7,4
1579325050,6,1
1579326989,12,6
1579328885,4,5
1579331795,12,27
1579333714,8,16
1579335879,3,12
1579337785,5,4
1579339699,6,5
1579341696,6,6
1579343539,6,4
1579345499,2,2
1579347368,5,0
1579349302,4,6
1579351226,4,7
1579353132,4,2
1579355074,4,6
1579356976,2,3
1579359136,7,5
1579361049,7,1
1579362992,4,3
1579364888,3,3
1579367783,17,8
1579369946,7,4
1579371849,128,5
1579373790,296,4
1579375687,42,7
1579377653,5,6
1579379555,55,5
1579381720,13,10
1579383623,22,5
1579385534,10,2
1579387479,10,6
1579389378,432,11
1579391540,615,10
1579393470,529,5
1579395368,676,6
1579397546,631,18
1579399704,425,21
1579401619,527,4
1579403571,481,4
1579405455,611,5
1579407386,618,5
1579409320,904,2
1579411222,649,5
1579413133,778,6
1579415071,598,2
1579416973,514,5
1579418896,493,4
1579421773,784,2
1579423720,600,3
1579425610,590,7
1579427531,586,3
1579429468,2,7
1579431375,1,3
1579433292,1,3
1579435258,2,3
1579437137,3,4
1579439098,1,0
1579440990,3,3
1579442894,1,1
1579444813,1,2
1579446893,4,5
1579448944,4,7
1579450810,4,2
1579452732,1,4
1579454683,2,7
1579456569,3,2
1579458490,1,75
1579461642,4,138
1579463556,2,3
1579465460,1,49
1579467411,2,8
1579469307,1,23
1579472174,6,5
1579474092,1,20
1579476008,2,437
1579477948,16,618
1579479857,304,527
1579481769,171,693
1579483710,356,598
1579485668,410,439
1579487561,168,390
1579489729,178,587
1579491614,113,595
1579493536,151,601
1579495466,209,905
1579497381,144,701
1579499292,321,783
1579501227,105,607
1579503140,226,501
1579505066,144,516
1579506970,170,546
1579508894,199,499
1579510885,269,712
1579512753,202,563
1579514692,142,360
1579516607,196,5
1579518504,130,0
1579520412,220,3
1579522349,183,1
1579524259,273,1
1579526173,255,4
1579528092,244,0
1579530023,5,2
1579531943,3,4
1579533850,7,2
1579535783,6,5
1579537689,0,3
1579540610,4,5
1579542487,11,3
1579544437,5,3
1579546346,1,2
1579548252,6,4
1579550192,3,1
1579552112,2,2
1579554030,7,4
1579555945,1,0
1579558129,2,6
1579560035,9,6
1579561946,3,2
1579563851,5,2
1579565800,1,185
1579567705,3,211
1579569611,7,333
1579571526,2,411
1579573479,3,242
1579575370,2,172
1579577291,0,100
1579579231,29,149
1579581160,3,213
1579583060,4,96
1579584969,4,267
1579586894,10,165
1579588809,5,223
1579590760,14,197
1579592654,6,194
1579594611,6,134
1579596492,6,270
1579598410,6,228
1579600326,3,202
1579602251,6,159
1579604196,6,198
1579606089,4,114
1579608983,20,338
1579610897,1741,267
1579612805,1601,269
1579614726,1863,210
1579616651,1746,3
1579618566,647,4
1579620488,2,7
1579623371,4,7
1579625297,5,4
1579627220,4,4
1579629135,8,14
1579631054,8,3
1579634415,49,12
1579636352,17,8
1579638255,6,8
1579640166,5,9
1579642088,4,4
1579644027,5,5
1579645959,3,11
1579648108,6,9
1579650011,1,8
1579651933,3,3
1579653848,7,7
1579655795,5,8
1579657713,7,7
1579659628,8,10
1579661537,15,2
1579663473,7,1
1579665370,3,38
1579667543,9,6
1579669474,3,6
1579671390,7,6
1579673308,7,8
1579675211,7,7
1579677136,1,9
1579679062,5,4
1579680975,3,4
1579682891,2,7
1579684824,150,5
1579686727,3,3
1579688650,6,3
1579690580,3,7
1579692486,5,4
1579695382,6,11
1579697305,3,1754
1579699213,8,1592
1579701136,2,1887
1579703092,3,1790
1579704972,2,588
1579706906,5,4
1579708964,7,1
