DateTime,Entries,UniqueIPs
1579306576,472,472
1579308524,475,475
1579310414,478,478
1579312332,494,494
1579314251,491,491
1579316178,495,495
1579318114,502,502
1579320981,506,506
1579323136,509,509
1579325050,514,514
1579326989,520,520
1579328885,519,519
1579331795,504,504
1579333714,496,496
1579335879,487,487
1579337785,488,488
1579339699,489,489
1579341696,489,489
1579343539,491,491
1579345499,491,491
1579347368,496,496
1579349302,494,494
1579351226,491,491
1579353132,493,493
1579355074,491,491
1579356976,490,490
1579359136,492,492
1579361049,498,498
1579362992,499,499
1579364888,499,499
1579367783,508,508
1579369946,511,511
1579371849,634,634
1579373790,926,926
1579375687,961,961
1579377653,960,960
1579379555,1010,1010
1579381720,1013,1013
1579383623,1030,1030
1579385534,1038,1038
1579387479,1042,1042
1579389378,1463,1463
1579391540,2068,2068
1579393470,2592,2592
1579395368,3262,3262
1579397546,3875,3875
1579399704,4279,4279
1579401619,4802,4802
1579403571,5279,5279
1579405455,5885,5885
1579407386,6498,6498
1579409320,7400,7400
1579411222,8044,8044
1579413133,8816,8816
1579415071,9412,9412
1579416973,9921,9921
1579418896,10410,10410
1579421773,11192,11192
1579423720,11789,11789
1579425610,12372,12372
1579427531,12955,12955
1579429468,12950,12950
1579431375,12948,12948
1579433292,12946,12946
1579435258,12945,12945
1579437137,12944,12944
1579439098,12945,12945
1579440990,12945,12945
1579442894,12945,12945
1579444813,12944,12944
1579446893,12943,12943
1579448944,12940,12940
1579450810,12942,12942
1579452732,12939,12939
1579454683,12934,12934
1579456569,12935,12935
1579458490,12861,12861
1579461642,12727,12727
1579463556,12726,12726
1579465460,12678,12678
1579467411,12672,12672
1579469307,12650,12650
1579472174,12651,12651
1579474092,12632,12632
1579476008,12197,12197
1579477948,11595,11595
1579479857,11372,11372
1579481769,10850,10850
1579483710,10608,10608
1579485668,10579,10579
1579487561,10357,10357
1579489729,9948,9948
1579491614,9466,9466
1579493536,9016,9016
1579495466,8320,8320
1579497381,7763,7763
1579499292,7301,7301
1579501227,6799,6799
1579503140,6524,6524
1579505066,6152,6152
1579506970,5776,5776
1579508894,5476,5476
1579510885,5033,5033
1579512753,4672,4672
1579514692,4454,4454
1579516607,4645,4645
1579518504,4775,4775
1579520412,4992,4992
1579522349,5174,5174
1579524259,5446,5446
1579526173,5697,5697
1579528092,5941,5941
1579530023,5944,5944
1579531943,5943,5943
1579533850,5948,5948
1579535783,5949,5949
1579537689,5946,5946
1579540610,5945,5945
1579542487,5953,5953
1579544437,5955,5955
1579546346,5954,5954
1579548252,5956,5956
1579550192,5958,5958
1579552112,5958,5958
1579554030,5961,5961
1579555945,5962,5962
1579558129,5958,5958
1579560035,5961,5961
1579561946,5962,5962
1579563851,5965,5965
1579565800,5781,5781
1579567705,5573,5573
1579569611,5247,5247
1579571526,4838,4838
1579573479,4599,4599
1579575370,4429,4429
1579577291,4329,4329
1579579231,4209,4209
1579581160,3999,3999
1579583060,3907,3907
1579584969,3644,3644
1579586894,3489,3489
1579588809,3271,3271
1579590760,3088,3088
1579592654,2900,2900
1579594611,2772,2772
1579596492,2508,2508
1579598410,2286,2286
1579600326,2087,2087
1579602251,1934,1934
1579604196,1742,1742
1579606089,1632,1632
1579608983,1314,1314
1579610897,2788,2788
1579612805,4120,4120
1579614726,5773,5773
1579616651,7516,7516
1579618566,8159,8159
1579620488,8154,8154
1579623371,8151,8151
1579625297,8152,8152
1579627220,8152,8152
1579629135,8146,8146
1579631054,8151,8151
1579634415,8188,8188
1579636352,8197,8197
1579638255,8195,8195
1579640166,8191,8191
1579642088,8191,8191
1579644027,8191,8191
1579645959,8183,8183
1579648108,8180,8180
1579650011,8173,8173
1579651933,8173,8173
1579653848,8173,8173
1579655795,8170,8170
1579657713,8170,8170
1579659628,8168,8168
1579661537,8181,8181
1579663473,8187,8187
1579665370,8152,8152
1579667543,8155,8155
1579669474,8152,8152
1579671390,8153,8153
1579673308,8152,8152
1579675211,8152,8152
1579677136,8144,8144
1579679062,8145,8145
1579680975,8144,8144
1579682891,8139,8139
1579684824,8284,8284
1579686727,8284,8284
1579688650,8287,8287
1579690580,8283,8283
1579692486,8284,8284
1579695382,8279,8279
