DateTime,AddedIPs,RemovedIPs
1579306107,34,17
1579308018,30,25
1579309959,34,22
1579311854,42,27
1579313811,48,29
1579315698,28,24
1579317630,18,27
1579319556,21,28
1579321478,31,18
1579323396,32,33
1579325291,27,27
1579328184,177,42
1579330095,774,1503
1579332023,32,1342
1579333929,33,1009
1579335882,29,780
1579337806,27,46
1579339702,42,36
1579341867,36,41
1579343784,53,99
1579345703,40,26
1579347626,50,37
1579349536,27,32
1579351464,37,38
1579353372,34,31
1579355302,30,30
1579357233,21,43
1579359139,36,41
1579361052,38,36
1579362994,31,42
1579364891,26,33
1579368047,70,52
1579369948,35,23
1579371852,1233,46
1579373792,2417,35
1579375689,40,31
1579378839,70,62
1579380742,40,35
1579382672,24,31
1579384582,53,37
1579386508,33,27
1579388535,50,36
1579390354,31,42
1579392323,36,36
1579394195,39,27
1579396105,38,40
1579398012,33,40
1579399958,27,46
1579401852,38,36
1579403832,31,33
1579405720,39,21
1579407611,31,27
1579409533,25,31
1579411468,25,29
1579413386,33,142
1579415290,51,37
1579418180,783,958
1579420104,36,30
1579422008,33,31
1579423928,39,26
1579425868,28,40
1579427768,34,27
1579429697,35,43
1579431725,44,56
1579433532,46,48
1579435729,31,28
1579437611,22,33
1579439552,23,29
1579441451,36,28
1579443370,39,28
1579445310,40,35
1579447217,15,40
1579449146,15,32
1579451070,23,27
1579452973,23,39
1579454888,23,35
1579456972,28,49
1579458989,26,2407
1579460914,16,1200
1579462823,28,52
1579464740,27,31
1579466672,27,46
1579468578,40,28
1579470493,49,38
1579472448,32,29
1579474345,26,46
1579476254,625,30
1579478177,1856,41
1579480103,19,30
1579482178,38,45
1579484179,36,35
1579486106,19,26
1579488009,37,36
1579490187,50,35
1579492106,24,39
1579494028,30,27
1579495931,38,25
1579497848,19,24
1579500167,22,37
1579502186,825,56
1579504120,4494,41
1579506013,34,29
1579507961,33,25
1579509851,32,43
1579511779,37,36
1579513705,31,26
1579515615,46,22
1579517530,32,32
1579519470,40,45
1579521371,24,41
1579523310,27,17
1579526176,33,38
1579528094,14,37
1579530026,25,35
1579531945,21,36
1579533854,19,12
1579535785,41,14
1579537691,62,21
1579539694,73,26
1579541546,57,23
1579543728,119,17
1579545635,94,22
1579547794,95,18
1579549695,114,25
1579551628,97,24
1579553558,97,22
1579555457,86,37
1579557377,91,41
1579559321,88,26
1579562242,158,26
1579564133,121,22
1579566018,94,23
1579567959,100,30
1579569885,95,23
1579571783,89,24
1579573696,62,25
1579575704,81,45
1579577562,57,25
1579579725,629,24
1579581614,58,34
1579583549,52,25
1579585456,60,26
1579587377,66,197
1579589311,1091,3627
1579591246,1288,2676
1579593130,1591,33
1579595053,654,19
1579596974,254,39
