DateTime,AddedIPs,RemovedIPs
1579307078,4,9
1579308967,6,3
1579311143,0,1
1579313412,3,4
1579315236,1,4
1579317182,9,10
1579319053,5,8
1579320984,12,3
1579323138,14,11
1579325052,7,7
1579326992,7,8
1579328890,13,3
1579331799,25,18
1579333716,16,2
1579335882,8,25
1579337806,42,4
1579339703,11,3
1579341891,10,1
1579343785,21,4
1579345704,14,3
1579347626,16,5
1579349537,17,4
1579351464,17,6
1579353374,13,3
1579355326,16,4
1579357234,13,5
1579359140,13,2
1579361053,8,24
1579362995,13,6
1579364892,18,12
1579368049,19,14
1579369949,19,4
1579371852,9,10
1579373793,8,6
1579375690,4,15
1579377738,12,10
1579379558,10,16
1579381723,9,10
1579383625,10,4
1579385536,6,6
1579387481,7,5
1579389381,5,4
1579391542,6,8
1579393472,3,5
1579395370,7,8
1579397568,5,2
1579399708,3,3
1579401622,3,2
1579403574,6,5
1579405458,10,7
1579407390,9,10
1579409324,12,9
1579411225,11,4
1579413135,9,8
1579415074,6,9
1579416976,12,13
1579418899,4,17
1579421775,18,21
1579423724,8,16
1579425612,13,14
1579427533,16,6
1579429472,14,13
1579431381,14,12
1579433294,5,17
1579436182,11,15
1579438109,6,15
1579440011,8,11
1579441934,3,16
1579443868,3,13
1579445770,3,14
1579447694,20,6
1579449722,6,15
1579451541,9,17
1579453734,10,11
1579455614,6,17
1579457541,13,13
1579459464,8,9
1579461645,11,19
1579463559,13,9
1579465462,5,10
1579467415,7,9
1579469310,8,10
1579471364,8,5
1579473170,9,13
1579475132,9,10
1579476978,5,6
1579479144,8,4
1579481058,8,4
1579482974,4,7
1579484911,8,5
1579486828,4,2
1579488743,8,4
1579490685,5,14
1579492575,6,14
1579494490,8,8
1579497626,9,15
1579499571,10,13
1579501452,8,6
1579503387,10,8
1579505297,11,13
1579508186,30,19
1579510103,23,12
1579512014,16,12
1579513927,12,18
1579515863,11,15
1579517771,10,16
1579519700,9,5
1579521694,8,7
1579523543,12,8
1579525716,11,7
1579527630,10,6
1579529547,15,3
1579531456,12,2
1579533385,4,11
1579535301,4,9
1579537226,8,12
1579539131,9,10
1579541071,3,7
1579542974,6,12
1579544890,8,5
1579546939,6,8
1579548774,3,12
1579550735,4,13
1579552575,0,11
1579554533,5,7
1579556446,3,13
1579558341,4,7
1579560257,5,13
1579562243,1,8
1579564133,1,5
1579566019,3,7
1579567959,1,6
1579569886,4,3
1579571783,9,10
1579573697,2,7
1579575727,4,8
1579577563,11,8
1579579725,2,6
1579581616,12,8
1579583550,7,5
1579585456,9,7
1579587377,7,7
1579589313,10,6
1579591246,23,17
1579593130,14,18
1579595054,6,148
1579596974,134,9
1579599163,22,17
1579601125,17,9
1579602977,8,7
1579604902,10,14
1579606815,6,9
1579608751,8,11
1579610660,2,13
1579612580,8,13
1579614501,8,10
1579616422,6,16
1579618333,8,10
1579620263,9,3
1579622172,5,2
1579624099,8,4
1579626081,7,11
1579627947,7,12
1579629909,11,12
1579631774,14,14
1579633698,13,3
1579635619,8,3
1579637573,9,4
1579639456,9,3
1579641377,8,1
1579643298,10,3
1579645215,6,4
1579647134,5,5
1579649058,9,2
1579650973,23,0
1579652891,24,3
1579654873,13,1
1579656750,9,7
1579658685,13,7
1579660619,7,0
1579662503,10,18
1579664415,5,7
1579666359,7,2
1579668251,12,12
1579670190,4,3
1579672115,10,12
1579674026,10,10
1579675932,14,14
1579677854,13,24
1579679786,11,9
1579681690,11,99
1579683651,96,17
1579685556,5,15
1579687713,8,18
1579689630,10,10
1579691563,10,8
1579693479,12,3
1579695386,17,8
1579697309,16,8
1579699218,18,7
1579701140,13,3
1579703098,5,11
1579704976,17,11
1579706910,8,8
1579709098,14,9
1579711230,18,12
1579713138,11,7
1579715088,20,8
1579716978,17,9
1579719138,25,12
1579721054,18,11
1579722988,17,4
1579724892,15,5
1579727004,39,8
1579728969,24,9
1579730906,19,7
1579732815,24,7
1579734731,21,5
1579736666,22,24
1579738571,19,19
1579740495,19,14
1579742432,14,14
1579744332,22,13
1579746254,10,8
1579748190,14,3
1579750092,16,10
1579752973,29,15
1579754891,14,11
1579756835,22,5
1579758753,23,13
1579760678,16,11
1579762639,13,10
1579764496,9,18
1579767376,17,14
1579769302,12,9
1579771210,32,3
1579773157,17,5
1579775064,14,5
1579776968,11,9
1579779162,11,14
1579781139,14,10
1579782973,10,20
1579784928,20,14
1579786844,16,16
1579788765,13,6
