DateTime,Entries,UniqueIPs
1579307078,613,613
1579308967,616,616
1579311143,615,615
1579313412,614,614
1579315236,611,611
1579317182,610,610
1579319053,607,607
1579320984,616,616
1579323138,619,619
1579325052,619,619
1579326992,618,618
1579328890,628,628
1579331799,635,635
1579333716,649,649
1579335882,632,632
1579337806,670,670
1579339703,678,678
1579341891,687,687
1579343785,704,704
1579345704,715,715
1579347626,726,726
1579349537,739,739
1579351464,750,750
1579353374,760,760
1579355326,772,772
1579357234,780,780
1579359140,791,791
1579361053,775,775
1579362995,782,782
1579364892,788,788
1579368049,793,793
1579369949,808,808
1579371852,807,807
1579373793,809,809
1579375690,798,798
1579377738,800,800
1579379558,794,794
1579381723,793,793
1579383625,799,799
1579385536,799,799
1579387481,801,801
1579389381,802,802
1579391542,800,800
1579393472,798,798
1579395370,797,797
1579397568,800,800
1579399708,800,800
1579401622,801,801
1579403574,802,802
1579405458,805,805
1579407390,804,804
1579409324,807,807
1579411225,814,814
1579413135,815,815
1579415074,812,812
1579416976,811,811
1579418899,798,798
1579421775,795,795
1579423724,787,787
1579425612,786,786
1579427533,796,796
1579429472,797,797
1579431381,799,799
1579433294,787,787
1579436182,783,783
1579438109,774,774
1579440011,771,771
1579441934,758,758
1579443868,748,748
1579445770,737,737
1579447694,751,751
1579449722,742,742
1579451541,734,734
1579453734,733,733
1579455614,722,722
1579457541,722,722
1579459464,721,721
1579461645,713,713
1579463559,717,717
1579465462,712,712
1579467415,710,710
1579469310,708,708
1579471364,711,711
1579473170,707,707
1579475132,706,706
1579476978,705,705
1579479144,709,709
1579481058,713,713
1579482974,710,710
1579484911,713,713
1579486828,715,715
1579488743,719,719
1579490685,710,710
1579492575,702,702
1579494490,702,702
1579497626,696,696
1579499571,693,693
1579501452,695,695
1579503387,697,697
1579505297,695,695
1579508186,706,706
1579510103,717,717
1579512014,721,721
1579513927,715,715
1579515863,711,711
1579517771,705,705
1579519700,709,709
1579521694,710,710
1579523543,714,714
1579525716,718,718
1579527630,722,722
1579529547,734,734
1579531456,744,744
1579533385,737,737
1579535301,732,732
1579537226,728,728
1579539131,727,727
1579541071,723,723
1579542974,717,717
1579544890,720,720
1579546939,718,718
1579548774,709,709
1579550735,700,700
1579552575,689,689
1579554533,687,687
1579556446,677,677
1579558341,674,674
1579560257,666,666
1579562243,659,659
1579564133,655,655
1579566019,651,651
1579567959,646,646
1579569886,647,647
1579571783,646,646
1579573697,641,641
1579575727,637,637
1579577563,640,640
1579579725,636,636
1579581616,640,640
1579583550,642,642
1579585456,644,644
1579587377,644,644
1579589313,648,648
1579591246,654,654
1579593130,650,650
1579595054,508,508
1579596974,633,633
1579599163,638,638
1579601125,646,646
1579602977,647,647
1579604902,643,643
1579606815,640,640
1579608751,637,637
1579610660,626,626
1579612580,621,621
1579614501,619,619
1579616422,609,609
1579618333,607,607
1579620263,613,613
1579622172,616,616
1579624099,620,620
1579626081,616,616
1579627947,611,611
1579629909,610,610
1579631774,610,610
1579633698,620,620
1579635619,625,625
1579637573,630,630
1579639456,636,636
1579641377,643,643
1579643298,650,650
1579645215,652,652
1579647134,652,652
1579649058,659,659
1579650973,682,682
1579652891,703,703
1579654873,715,715
1579656750,717,717
1579658685,723,723
1579660619,730,730
1579662503,722,722
1579664415,720,720
1579666359,725,725
1579668251,725,725
1579670190,726,726
1579672115,724,724
1579674026,724,724
1579675932,724,724
1579677854,713,713
1579679786,715,715
1579681690,627,627
1579683651,706,706
1579685556,696,696
1579687713,686,686
1579689630,686,686
1579691563,688,688
1579693479,697,697
1579695386,706,706
1579697309,714,714
1579699218,725,725
1579701140,735,735
1579703098,729,729
1579704976,735,735
1579706910,735,735
1579709098,740,740
1579711230,746,746
1579713138,750,750
1579715088,762,762
1579716978,770,770
1579719138,783,783
1579721054,790,790
1579722988,803,803
1579724892,813,813
1579727004,844,844
1579728969,859,859
1579730906,871,871
1579732815,888,888
1579734731,904,904
1579736666,902,902
1579738571,902,902
1579740495,907,907
1579742432,907,907
1579744332,916,916
1579746254,918,918
1579748190,929,929
1579750092,935,935
1579752973,949,949
1579754891,952,952
1579756835,969,969
1579758753,979,979
1579760678,984,984
1579762639,987,987
