DateTime,AddedIPs,RemovedIPs
1579209879,1,3
1579211772,2,2
1579213956,1,4
1579215950,0,2
1579217800,1,0
1579219728,1,2
1579221648,3,1
1579223543,2,1
1579225462,3,0
1579227424,3,0
1579229314,2,1
1579231244,2,1
1579233136,1,1
1579235076,0,3
1579236975,1,2
1579239165,1,0
1579241303,2,1
1579243214,2,2
1579245157,4,1
1579247056,2,1
1579248986,2,0
1579250939,1,2
1579252834,1,1
1579254736,1,1
1579256684,1,3
1579258578,2,1
1579260796,2,0
1579262803,3,0
1579264837,2,3
1579266748,1,3
1579268664,1,0
1579270614,1,3
1579272632,1,2
1579274672,2,1
1579276568,2,0
1579278489,3,1
1579281409,4,0
1579283292,2,2
1579285221,4,2
1579287152,3,4
1579289097,3,3
1579290997,3,0
1579292910,4,1
1579295086,7,1
1579296970,4,2
1579298928,3,2
1579304666,2,1
1579306581,1,2
1579308528,1,2
1579310418,3,3
1579312337,1,2
1579314255,7,3
1579316183,2,4
1579318150,1,0
1579320985,4,1
1579323140,6,1
1579326993,2,2
1579328892,0,2
1579331800,5,6
1579333718,0,1
1579335884,3,3
1579337808,3,1
1579339704,1,2
1579341913,3,0
1579343787,1,2
1579345705,3,1
1579347628,1,2
1579349538,2,3
1579351466,4,2
1579353375,3,2
1579355350,2,0
1579357236,0,1
1579359143,3,1
1579361055,6,2
1579362997,3,2
1579364893,2,3
1579367002,2,4
1579368977,6,2
1579370916,1,3
1579372833,6,3
1579374751,1,3
1579376732,1,2
1579378587,7,5
1579380743,1,5
1579382673,2,7
1579384583,0,3
1579386509,1,1
1579388630,3,0
1579390574,1,2
1579392757,7,1
1579394649,5,1
1579396585,3,3
1579398517,2,1
1579400408,0,5
1579402327,5,4
1579404314,2,1
1579406171,1,0
1579408091,3,6
1579410167,2,4
1579412188,1,0
1579414094,3,2
1579416011,2,4
1579417948,0,1
1579419855,2,0
1579421776,0,2
1579423725,0,3
1579425614,0,2
1579427535,1,2
1579429474,1,2
1579431384,1,1
1579433296,0,3
1579436183,0,4
1579438111,0,2
1579440013,0,3
1579441937,0,2
1579443870,0,1
1579445771,2,3
1579447696,1,6
1579449802,4,2
1579451796,1,2
1579453736,0,2
1579455617,4,5
1579457543,2,3
1579459466,3,4
1579461647,2,1
1579463562,2,2
1579465466,2,6
1579467419,3,1
1579469312,2,2
1579471461,2,0
1579473369,3,1
1579475551,2,3
1579477454,3,3
1579479383,3,7
1579481297,2,3
1579483228,4,4
1579485130,2,1
1579487051,2,2
1579488987,6,3
1579490893,3,2
1579492933,2,1
1579494763,1,3
1579496926,1,2
1579498813,3,1
1579500745,1,3
1579502669,3,2
1579504601,1,1
1579506510,5,1
1579508414,1,0
1579510335,1,0
1579512305,4,0
1579514186,0,1
1579516095,2,1
1579519220,4,1
1579521130,2,0
1579523082,1,0
1579524971,3,0
1579526887,3,0
1579528922,3,0
1579530759,2,0
1579532715,1,2
1579534596,3,3
1579536520,4,2
1579538416,1,1
1579540641,4,2
1579542491,8,2
1579544441,3,3
1579546365,4,3
1579548256,3,1
