DateTime,AddedIPs,RemovedIPs
1579301793,4,3
1579303943,3,1
1579306111,4,2
1579308021,11,3
1579309962,8,9
1579311858,10,11
1579313814,4,3
1579315700,7,6
1579317633,7,6
1579319557,8,7
1579321480,9,9
1579323397,7,7
1579325292,14,7
1579328187,11,8
1579330097,5,12
1579332024,7,7
1579333931,46,8
1579335885,4,13
1579337808,6,3
1579339705,6,5
1579341919,3,9
1579343788,3,8
1579345705,3,10
1579347628,3,6
1579349538,1,8
1579351467,3,6
1579353377,4,4
1579355350,3,6
1579357236,7,4
1579359143,0,3
1579361056,5,3
1579362997,1,1
1579364894,2,1
1579367043,8,1
1579368977,0,4
1579370916,17,6
1579372835,528,5
1579374752,312,2
1579376733,2,2
1579378587,3,8
1579380744,1,8
1579382674,2,5
1579384584,3,3
1579386510,1,6
1579388663,3,5
1579390575,6,6
1579392758,3,11
1579394650,7,12
1579396586,6,10
1579398519,10,7
1579400409,11,4
1579402328,6,7
1579404315,2,9
1579406173,12,5
1579408092,8,10
1579410259,11,10
1579412189,2,8
1579414095,4,12
1579416012,5,3
1579417949,7,5
1579419856,4,10
1579421777,7,6
1579423728,7,8
1579425616,4,6
1579427536,6,4
1579429475,4,4
1579431385,4,4
1579433297,3,4
1579436185,3,7
1579438113,2,3
1579440014,4,3
1579441938,4,5
1579443871,1,4
1579445773,2,1
1579447698,2,4
1579449888,1,1
1579451798,3,2
1579453738,1,5
1579457545,2,81
1579459467,3,621
1579461649,1,201
1579463563,4,2
1579465467,2,2
1579467420,3,1
1579469314,1,2
1579471506,1,5
1579473371,4,0
1579475552,1,5
1579477456,4,5
1579479384,4,2
1579481298,5,8
1579483252,3,3
1579485131,5,7
1579487052,6,10
1579488988,6,6
1579490894,8,2
1579492968,13,7
1579494995,8,8
1579496927,6,3
1579498813,4,4
1579500746,11,6
1579502670,13,4
1579504601,4,7
1579506511,5,7
1579508415,2,5
1579510336,4,8
1579512306,2,4
1579514196,8,6
1579516096,4,5
1579519221,4,8
1579521131,6,10
1579523083,3,3
1579524972,1,1
1579526888,2,4
1579528964,5,2
1579530981,1,1
1579532893,1,3
1579535081,3,2
1579536979,0,3
1579538898,3,0
1579541073,4,2
1579542976,2,1
1579544893,1,3
1579547077,2,1
1579549237,3,4
1579551136,3,4
1579553053,1,1
1579554994,2,0
1579557156,0,1
1579559052,2,1
1579560971,3,2
1579562918,3,3
1579565808,4,8
1579567709,5,3
1579569614,4,8
1579571530,6,6
1579573483,4,4
1579575374,7,5
1579577300,4,6
1579579389,6,10
1579581375,4,7
1579583321,4,4
1579585242,7,7
1579587136,3,10
1579589083,4,9
1579590980,3,4
1579592897,2,2
1579594818,5,3
1579596735,8,4
1579598658,2,6
1579600585,5,7
1579602496,0,7
1579605610,5,8
1579607531,9,6
1579609451,4,7
1579611371,2,2
1579613290,4,3
1579616425,2,6
1579618335,3,1
1579620265,1,1
1579622175,1,2
1579624102,2,5
1579626148,0,2
1579627950,1,1
1579629914,0,3
1579631777,1,1
1579633699,3,3
1579635622,2,2
1579637574,2,3
1579639459,1,2
1579641379,1,1
1579643301,2,1
1579645218,2,6
1579647136,1,2
1579649061,3,1
1579650976,3,6
1579652894,4,2
1579656008,5,5
1579657956,9,4
1579659862,7,6
1579661798,4,7
1579663695,8,4
1579665717,1,3
1579667549,5,4
1579669565,6,8
1579671395,6,7
1579673312,2,4
1579675218,7,6
1579677141,4,2
1579679067,8,3
