DateTime,Entries,UniqueIPs
1579301793,311,311
1579303943,313,313
1579306111,315,315
1579308021,323,323
1579309962,322,322
1579311858,321,321
1579313814,322,322
1579315700,323,323
1579317633,324,324
1579319557,325,325
1579321480,325,325
1579323397,325,325
1579325292,332,332
1579328187,335,335
1579330097,328,328
1579332024,328,328
1579333931,366,366
1579335885,357,357
1579337808,360,360
1579339705,361,361
1579341919,355,355
1579343788,350,350
1579345705,343,343
1579347628,340,340
1579349538,333,333
1579351467,330,330
1579353377,330,330
1579355350,327,327
1579357236,330,330
1579359143,327,327
1579361056,329,329
1579362997,329,329
1579364894,330,330
1579367043,337,337
1579368977,333,333
1579370916,344,344
1579372835,867,867
1579374752,1177,1177
1579376733,1177,1177
1579378587,1172,1172
1579380744,1165,1165
1579382674,1162,1162
1579384584,1162,1162
1579386510,1157,1157
1579388663,1155,1155
1579390575,1155,1155
1579392758,1147,1147
1579394650,1142,1142
1579396586,1138,1138
1579398519,1141,1141
1579400409,1148,1148
1579402328,1147,1147
1579404315,1140,1140
1579406173,1147,1147
1579408092,1145,1145
1579410259,1146,1146
1579412189,1140,1140
1579414095,1132,1132
1579416012,1134,1134
1579417949,1136,1136
1579419856,1130,1130
1579421777,1131,1131
1579423728,1130,1130
1579425616,1128,1128
1579427536,1130,1130
1579429475,1130,1130
1579431385,1130,1130
1579433297,1129,1129
1579436185,1125,1125
1579438113,1124,1124
1579440014,1125,1125
1579441938,1124,1124
1579443871,1121,1121
1579445773,1122,1122
1579447698,1120,1120
1579449888,1120,1120
1579451798,1121,1121
1579453738,1117,1117
1579457545,1038,1038
1579459467,420,420
1579461649,220,220
1579463563,222,222
1579465467,222,222
1579467420,224,224
1579469314,223,223
1579471506,219,219
1579473371,223,223
1579475552,219,219
1579477456,218,218
1579479384,220,220
1579481298,217,217
1579483252,217,217
1579485131,215,215
1579487052,211,211
1579488988,211,211
1579490894,217,217
1579492968,223,223
1579494995,223,223
1579496927,226,226
1579498813,226,226
1579500746,231,231
1579502670,240,240
1579504601,237,237
1579506511,235,235
1579508415,232,232
1579510336,228,228
1579512306,226,226
1579514196,228,228
1579516096,227,227
1579519221,223,223
1579521131,219,219
1579523083,219,219
1579524972,219,219
1579526888,217,217
1579528964,220,220
1579530981,220,220
1579532893,218,218
1579535081,219,219
1579536979,216,216
1579538898,219,219
1579541073,221,221
1579542976,222,222
1579544893,220,220
1579547077,221,221
1579549237,220,220
1579551136,219,219
1579553053,219,219
1579554994,221,221
1579557156,220,220
1579559052,221,221
1579560971,222,222
1579562918,222,222
1579565808,218,218
1579567709,220,220
1579569614,216,216
1579571530,216,216
1579573483,216,216
1579575374,218,218
1579577300,216,216
1579579389,212,212
1579581375,209,209
1579583321,209,209
1579585242,209,209
1579587136,202,202
1579589083,197,197
1579590980,196,196
1579592897,196,196
1579594818,198,198
1579596735,202,202
1579598658,198,198
1579600585,196,196
1579602496,189,189
1579605610,186,186
1579607531,189,189
1579609451,186,186
1579611371,186,186
1579613290,187,187
1579616425,183,183
1579618335,185,185
1579620265,185,185
1579622175,184,184
1579624102,181,181
1579626148,179,179
1579627950,179,179
1579629914,176,176
1579631777,176,176
1579633699,176,176
1579635622,176,176
1579637574,175,175
1579639459,174,174
1579641379,174,174
1579643301,175,175
1579645218,171,171
1579647136,170,170
1579649061,172,172
1579650976,169,169
1579652894,171,171
1579656008,171,171
1579657956,176,176
1579659862,177,177
1579661798,174,174
1579663695,178,178
1579665717,176,176
1579667549,177,177
1579669565,175,175
1579671395,174,174
1579673312,172,172
1579675218,173,173
1579677141,175,175
1579679067,180,180
1579680982,184,184
1579682897,181,181
1579684829,185,185
1579686733,185,185
1579688655,189,189
1579690585,190,190
1579692492,188,188
1579695389,186,186
1579697312,187,187
1579699221,185,185
1579701143,184,184
1579703101,182,182
1579704980,182,182
1579706915,181,181
1579709102,181,181
1579711233,182,182
1579713142,182,182
1579715091,180,180
1579716980,181,181
1579719141,184,184
1579721056,185,185
1579722990,186,186
1579724894,188,188
1579727145,188,188
1579728973,187,187
1579730912,187,187
1579732829,188,188
1579734733,191,191
1579736669,188,188
1579738572,189,189
1579740510,189,189
1579742435,190,190
1579744335,187,187
1579746258,189,189
1579748192,192,192
1579750095,191,191
1579752976,195,195
1579754895,189,189
1579756838,189,189
1579758779,194,194
1579760699,203,203
1579762642,202,202
1579764499,199,199
1579766504,196,196
1579768368,190,190
1579770315,186,186
1579772173,182,182
1579774091,182,182
1579776041,183,183
1579777934,184,184
1579779854,184,184
1579781782,182,182
1579783694,184,184
1579785609,185,185
1579787561,184,184
1579789485,185,185
1579791375,190,190
1579793290,189,189
1579796283,191,191
1579798096,192,192
1579800019,191,191
1579801938,190,190
1579803854,188,188
1579805774,191,191
