DateTime,Entries,UniqueIPs
1579313814,832,832
1579315701,824,824
1579317634,824,824
1579319558,823,823
1579321480,830,830
1579323397,832,832
1579325292,834,834
1579328188,836,836
1579330097,850,850
1579332024,857,857
1579333932,863,863
1579335885,848,848
1579337809,890,890
1579339705,898,898
1579341920,910,910
1579343788,932,932
1579345706,943,943
1579347628,956,956
1579349539,969,969
1579351467,983,983
1579353378,996,996
1579355351,1009,1009
1579357237,1021,1021
1579359144,1034,1034
1579361056,1014,1014
1579362998,1019,1019
1579364894,1029,1029
1579367064,1031,1031
1579368978,1044,1044
1579370917,1050,1050
1579372836,1060,1060
1579374752,1070,1070
1579376733,1059,1059
1579378588,1060,1060
1579380744,1053,1053
1579382674,1058,1058
1579384584,1054,1054
1579386510,1059,1059
1579388679,1053,1053
1579390575,1055,1055
1579392758,1043,1043
1579394650,1038,1038
1579396586,1040,1040
1579398519,1044,1044
1579400410,1044,1044
1579402328,1045,1045
1579404315,1052,1052
1579406175,1054,1054
1579408093,1056,1056
1579410276,1062,1062
1579412190,1066,1066
1579414095,1063,1063
1579416013,1060,1060
1579417950,1046,1046
1579419857,1043,1043
1579421778,1034,1034
1579423728,1022,1022
1579425616,1025,1025
1579427536,1036,1036
1579429477,1031,1031
1579431387,1029,1029
1579433298,1019,1019
1579436185,1013,1013
1579438113,1001,1001
1579440014,996,996
1579441939,980,980
1579443873,965,965
1579445773,951,951
1579447700,966,966
1579449899,952,952
1579451798,948,948
1579453740,950,950
1579455618,942,942
1579457545,940,940
1579459468,930,930
1579461649,920,920
1579463564,925,925
1579465467,920,920
1579467421,918,918
1579469314,918,918
1579471512,926,926
1579473371,921,921
1579475552,918,918
1579477457,916,916
1579479384,923,923
1579481298,927,927
1579483254,928,928
1579485131,936,936
1579487052,939,939
1579488988,943,943
1579490895,927,927
1579492986,917,917
1579494995,913,913
1579496927,911,911
1579498814,902,902
1579500747,901,901
1579502673,904,904
1579504602,907,907
1579506511,904,904
1579508415,920,920
1579510336,924,924
1579512306,926,926
1579514197,910,910
1579516096,907,907
1579518172,905,905
1579520184,909,909
1579522097,913,913
1579524011,918,918
1579525944,924,924
1579527854,929,929
1579529771,946,946
1579531691,956,956
1579533613,945,945
1579535531,939,939
1579537454,934,934
1579539390,931,931
1579541298,925,925
1579544184,918,918
1579546089,920,920
1579548033,907,907
1579549996,897,897
1579551854,886,886
1579553771,879,879
1579555712,876,876
1579557672,871,871
1579559548,858,858
1579561541,853,853
1579563404,856,856
1579565328,849,849
1579567256,861,861
1579569163,855,855
1579571055,857,857
1579572975,854,854
1579574894,847,847
1579576840,853,853
1579578737,845,845
1579580677,848,848
1579582570,846,846
1579584489,849,849
1579586518,845,845
1579588337,846,846
1579590503,844,844
1579592413,856,856
1579594332,839,839
1579596251,827,827
1579598187,839,839
1579600093,853,853
1579602009,851,851
1579603952,856,856
1579605856,855,855
1579607772,852,852
1579609717,843,843
1579612582,829,829
1579614503,830,830
1579616426,820,820
1579618336,820,820
1579620266,829,829
1579622175,835,835
1579624102,840,840
1579626192,842,842
1579628170,836,836
1579630117,837,837
1579632014,841,841
1579633937,850,850
1579635855,852,852
1579638021,857,857
1579639930,867,867
1579641854,870,870
1579643771,879,879
1579645692,880,880
1579647757,881,881
1579649774,887,887
1579651691,913,913
1579653617,915,915
1579655537,929,929
1579657454,930,930
1579659375,936,936
1579661298,944,944
1579663226,930,930
1579665148,932,932
1579667081,940,940
1579668989,943,943
1579670891,944,944
1579673783,948,948
1579675696,947,947
1579677627,929,929
1579679530,929,929
1579681457,905,905
1579683384,925,925
1579685294,912,912
1579687305,897,897
1579689166,897,897
1579691099,897,897
1579692989,884,884
1579694895,900,900
1579696822,906,906
1579698750,927,927
1579700665,934,934
1579702577,932,932
1579704501,937,937
1579706412,945,945
1579708348,950,950
1579710251,961,961
1579712186,957,957
1579714096,965,965
1579716981,982,982
1579719142,993,993
1579721056,1005,1005
1579722990,1015,1015
1579724895,1027,1027
1579727150,1059,1059
1579728973,1070,1070
1579730912,1078,1078
1579732829,1098,1098
1579734733,1111,1111
1579736669,1109,1109
1579738573,1110,1110
1579740511,1116,1116
1579742437,1111,1111
1579744336,1120,1120
1579746259,1121,1121
1579748193,1150,1150
1579750096,1170,1170
1579752976,1182,1182
1579754895,1187,1187
1579756838,1197,1197
1579758779,1210,1210
1579760700,1213,1213
1579762642,1216,1216
1579764499,1210,1210
1579766528,1204,1204
1579768368,1207,1207
1579770319,1221,1221
1579772175,1230,1230
1579774091,1247,1247
1579776041,1251,1251
1579777935,1247,1247
