DateTime,AddedIPs,RemovedIPs
1579312339,259,61
1579314257,77,65
1579316184,103,73
1579318160,116,73
1579320129,122,85
1579321957,116,89
1579324832,133,147
1579326748,142,86
1579328660,130,69
1579330606,66,56
1579332743,77,58
1579334930,77,82
1579336829,107,76
1579338761,160,123
1579340656,125,74
1579342579,125,70
1579344759,82,68
1579346654,141,75
1579348580,98,77
1579350514,119,81
1579352507,87,85
1579354362,180,67
1579357237,104,155
1579359144,74,63
1579361057,130,84
1579362998,150,68
1579364895,135,71
1579367086,142,121
1579368978,128,68
1579370917,202,70
1579372846,630,79
1579374753,2310,106
1579376734,1924,76
1579378590,1580,120
1579380745,2003,75
1579382675,1605,116
1579384585,1815,81
1579386511,1729,104
1579388708,2062,239
1579390576,1840,236
1579392760,2142,91
1579394652,1861,170
1579396588,1583,73
1579398520,1934,234
1579400411,1584,68
1579402330,1946,86
1579404317,1599,109
1579406184,1627,98
1579408094,1866,114
1579410326,2111,86
1579412191,90,91
1579414097,115,119
1579416014,137,116
1579417951,102,48
1579419858,95,78
1579421779,104,64
1579423730,99,117
1579425618,92,147
1579427538,92,123
1579429486,119,119
1579431397,105,58
1579433299,76,129
1579435312,106,83
1579437149,109,105
1579439118,95,87
1579440994,88,164
1579442898,95,63
1579444826,108,67
1579446897,89,76
1579448948,85,203
1579450814,69,128
1579452735,104,124
1579454718,85,115
1579456574,85,196
1579458494,87,443
1579460491,90,1559
1579462360,55,2322
1579464207,60,1370
1579466172,86,1964
1579468119,74,1414
1579470013,83,1855
1579471934,89,1734
1579473852,134,2013
1579475788,74,1710
1579477693,90,2251
1579479611,76,1473
1579481544,98,1878
1579483452,95,1679
1579485386,89,1976
1579487294,104,1574
1579489312,104,1956
1579491136,123,1393
1579493028,68,1551
1579494996,73,2298
1579496928,50,1479
1579498814,85,86
1579500756,252,125
1579502685,89,136
1579504602,183,112
1579506512,152,76
1579508416,106,98
1579510337,166,103
1579512307,159,94
1579514218,147,98
1579516097,161,116
1579519222,161,136
1579521132,114,102
1579523084,86,113
1579524973,85,93
1579526889,96,96
1579529018,95,98
1579530982,74,124
1579532901,91,86
1579535082,107,93
1579536980,107,82
1579538899,155,101
1579541074,156,105
1579542977,144,89
1579544920,108,98
1579547096,138,118
1579549237,143,83
1579551137,118,71
1579553054,112,84
1579554995,118,90
1579557158,133,105
1579559052,99,130
1579560971,92,112
1579562918,83,80
1579565809,127,155
1579567710,88,116
1579569615,61,117
1579571531,76,97
1579573483,91,116
1579575375,87,100
1579577311,60,149
1579579444,75,83
1579581376,90,81
1579583323,106,72
1579585242,71,102
1579587137,41,272
1579589084,42,115
1579590999,53,197
1579592898,85,159
1579594819,168,109
1579596736,195,169
1579599615,237,260
1579601539,170,183
1579603457,148,153
1579605376,78,82
1579607297,88,122
1579609213,69,103
1579611138,83,86
1579613060,93,103
1579614970,99,83
1579616894,84,72
1579619787,153,118
1579621591,113,102
1579623617,139,104
1579625530,114,164
1579627466,103,115
1579629375,118,134
1579631298,102,95
1579634419,119,165
1579636356,85,111
1579638266,56,100
1579640171,82,125
1579642093,101,104
1579644180,100,100
1579646180,83,113
1579648113,78,79
1579650032,106,83
1579651938,76,100
1579653853,101,83
1579655800,126,74
1579657719,85,73
1579659633,78,93
1579661542,74,80
1579663478,60,67
1579665374,92,68
1579667550,126,106
1579669568,93,122
1579671396,72,69
1579673312,69,45
1579675227,89,52
1579677142,74,50
1579679068,85,90
1579680991,93,179
1579682898,66,191
1579684830,580,162
1579686734,82,166
