DateTime,AddedIPs,RemovedIPs
1579262807,6,3
1579264841,0,4
1579266753,1,1
1579268669,0,1
1579270618,3,0
1579272636,3,2
1579274676,5,2
1579276572,6,5
1579278492,6,7
1579280476,2,6
1579282333,1,4
1579284214,4,3
1579286174,1,1
1579288139,1,0
1579290020,3,3
1579292213,5,2
1579296255,5,3
1579298196,3,2
1579300095,3,2
1579302090,3,2
1579303945,3,2
1579306112,6,2
1579308023,1,1
1579309964,1,1
1579311860,1,2
1579313815,4,2
1579315702,3,1
1579319559,2,4
1579321481,1,2
1579323399,2,5
1579325294,5,50
1579327314,1,2
1579329164,4,0
1579331126,3,2
1579333030,4,0
1579334930,0,2
1579336831,7,6
1579338762,1,1
1579340657,6,1
1579342580,4,3
1579344760,4,4
1579346654,2,1
1579348581,2,7
1579350514,5,0
1579352537,4,2
1579354363,2,0
1579357239,6,3
1579359146,1,3
1579361058,7,4
1579363000,3,5
1579364896,2,7
1579367095,5,1
1579368981,5,2
1579370919,21,1
1579372848,562,3
1579374754,2273,1
1579376737,1814,2
1579378593,1522,2
1579380747,1821,0
1579382679,1445,3
1579384591,1596,2
1579386513,1599,2
1579388748,1973,1
1579390579,1712,3
1579392767,1946,2
1579394654,1764,1
1579396590,1425,1
1579398523,1816,2
1579400416,1400,4
1579402332,1836,2
1579404319,1530,0
1579406187,1556,1
1579408115,1862,0
1579410364,2018,1
1579412195,2,3
1579416018,2,3
1579417953,0,2
1579419861,1,1
1579423732,1,2
1579425622,6,1
1579427542,2,2
1579429489,3,2
1579431399,3,0
1579435384,1,4
1579437394,3,2
1579439292,1,3
1579441231,1,1
1579443154,2,1
1579446901,1,3
1579448951,0,6
1579450818,1,0
1579452738,5,1
1579454720,3,3
1579456576,2,2
1579458497,3,385
1579460557,1,1479
1579462362,4,2227
1579464313,0,1324
1579466174,3,1788
1579468121,4,1301
1579470015,3,1644
1579471936,7,1554
1579473855,2,1921
1579475790,1,1660
1579477695,2,2094
1579479613,0,1311
1579481549,4,1757
1579483454,4,1525
1579485387,2,1800
1579487296,1,1358
1579489365,1,1895
1579491431,4,1584
1579493324,2,1560
1579495225,3,2269
1579497389,6,1101
1579499301,2,4
1579501235,2,2
1579503161,5,1
1579505074,3,0
1579506976,6,1
1579508899,1,0
1579511094,5,1
1579512985,6,7
1579514894,3,0
1579516838,3,9
1579518752,2,1
1579520656,2,2
1579522588,2,2
1579524505,3,3
1579526416,1,1
1579528343,2,2
1579530257,2,2
1579532175,6,1
1579534288,2,2
1579536214,6,3
1579538178,3,4
1579540129,5,5
1579542035,4,3
1579544189,2,6
1579546090,3,0
1579548036,2,2
1579549998,3,2
1579551855,0,1
1579553772,2,4
1579555717,5,4
1579557754,5,5
1579559769,4,2
1579561949,2,5
1579563857,0,2
1579565810,1,0
1579567711,1,4
1579569616,3,4
1579571532,1,2
1579573484,4,3
1579575376,6,1
1579577312,1,3
1579579485,0,4
1579581377,4,6
1579583324,0,4
1579585243,5,3
1579587138,6,4
1579589085,0,5
1579591001,1,1
1579592899,1,2
1579594820,3,3
1579596737,2,3
1579598725,1,7
1579600586,3,7
1579602497,2,2
1579604558,2,0
1579606572,2,2
1579608490,1,1
1579610411,4,4
1579612338,2,1
1579614251,1,1
1579616428,3,3
1579618337,4,6
1579620267,1,2
1579622176,4,4
1579624103,1,3
1579626257,3,2
1579628171,0,3
1579630118,2,1
1579632015,3,4
1579633937,1,1
1579635857,2,3
1579638023,1,0
1579639931,4,2
1579641855,1,6
1579643772,4,5
1579645693,1,3
1579647773,1,4
1579649775,1,1
1579651692,3,1
1579653618,5,2
1579655538,4,3
1579657455,7,1
1579659376,2,5
1579661299,0,4
1579663227,0,1
1579665149,4,2
1579667082,6,3
1579668990,4,2
1579670892,2,4
1579673784,1,6
1579675697,6,1
1579677628,0,1
1579679531,5,4
1579681458,2,3
1579683385,1,0
1579685295,0,2
1579687353,4,2
1579689169,2,2
1579691123,3,3
1579692990,1,5
1579694896,4,1
1579696823,3,3
1579698751,7,2
1579700666,3,0
1579702578,0,3
1579704502,2,2
1579706413,0,4
1579708349,2,4
1579710252,1,3
1579712187,1,2
1579714097,3,1
1579716983,3,5
1579719144,6,2
1579721059,0,1
1579722993,1,2
1579724897,4,1
1579727156,0,4
1579728978,4,1
1579730926,6,4
1579732831,0,2
1579734735,2,0
1579736675,2,3
1579738574,5,3
1579740516,2,8
1579742447,10,2
1579744357,1,6
1579746264,0,2
1579748195,3,0
1579750098,2,2
1579752218,1,5
1579754173,3,5
1579756131,12,3
1579758043,0,2
1579759972,2,1
