DateTime,Entries,UniqueIPs
1579262807,201,201
1579264841,197,197
1579266753,197,197
1579268669,196,196
1579270618,199,199
1579272636,200,200
1579274676,203,203
1579276572,204,204
1579278492,203,203
1579280476,199,199
1579282333,196,196
1579284214,197,197
1579286174,197,197
1579288139,198,198
1579290020,198,198
1579292213,201,201
1579296255,203,203
1579298196,204,204
1579300095,205,205
1579302090,206,206
1579303945,207,207
1579306112,211,211
1579308023,211,211
1579309964,211,211
1579311860,210,210
1579313815,212,212
1579315702,214,214
1579319559,212,212
1579321481,211,211
1579323399,208,208
1579325294,163,163
1579327314,162,162
1579329164,166,166
1579331126,167,167
1579333030,171,171
1579334930,169,169
1579336831,170,170
1579338762,170,170
1579340657,175,175
1579342580,176,176
1579344760,176,176
1579346654,177,177
1579348581,172,172
1579350514,177,177
1579352537,179,179
1579354363,181,181
1579357239,184,184
1579359146,182,182
1579361058,185,185
1579363000,183,183
1579364896,178,178
1579367095,182,182
1579368981,185,185
1579370919,205,205
1579372848,764,764
1579374754,3036,3036
1579376737,4848,4848
1579378593,6368,6368
1579380747,8189,8189
1579382679,9631,9631
1579384591,11225,11225
1579386513,12822,12822
1579388748,14794,14794
1579390579,16503,16503
1579392767,18447,18447
1579394654,20210,20210
1579396590,21634,21634
1579398523,23448,23448
1579400416,24844,24844
1579402332,26678,26678
1579404319,28208,28208
1579406187,29763,29763
1579408115,31625,31625
1579410364,33642,33642
1579412195,33641,33641
1579416018,33640,33640
1579417953,33638,33638
1579419861,33638,33638
1579423732,33637,33637
1579425622,33642,33642
1579427542,33642,33642
1579429489,33643,33643
1579431399,33646,33646
1579435384,33643,33643
1579437394,33644,33644
1579439292,33642,33642
1579441231,33642,33642
1579443154,33643,33643
1579446901,33641,33641
1579448951,33635,33635
1579450818,33636,33636
1579452738,33640,33640
1579454720,33640,33640
1579456576,33640,33640
1579458497,33258,33258
1579460557,31780,31780
1579462362,29557,29557
1579464313,28233,28233
1579466174,26448,26448
1579468121,25151,25151
1579470015,23510,23510
1579471936,21963,21963
1579473855,20044,20044
1579475790,18385,18385
1579477695,16293,16293
1579479613,14982,14982
1579481549,13229,13229
1579483454,11708,11708
1579485387,9910,9910
1579487296,8553,8553
1579489365,6659,6659
1579491431,5079,5079
1579493324,3521,3521
1579495225,1255,1255
1579497389,160,160
1579499301,158,158
1579501235,158,158
1579503161,162,162
1579505074,165,165
1579506976,170,170
1579508899,171,171
1579511094,175,175
1579512985,174,174
1579514894,177,177
1579516838,171,171
1579518752,172,172
1579520656,172,172
1579522588,172,172
1579524505,172,172
1579526416,172,172
1579528343,172,172
1579530257,172,172
1579532175,177,177
1579534288,177,177
1579536214,180,180
1579538178,179,179
1579540129,179,179
1579542035,180,180
1579544189,176,176
1579546090,179,179
1579548036,179,179
1579549998,180,180
1579551855,179,179
1579553772,177,177
1579555717,178,178
1579557754,178,178
1579559769,180,180
1579561949,177,177
1579563857,175,175
1579565810,176,176
1579567711,173,173
1579569616,172,172
1579571532,171,171
1579573484,172,172
1579575376,177,177
1579577312,175,175
1579579485,171,171
1579581377,169,169
1579583324,165,165
1579585243,167,167
1579587138,169,169
1579589085,164,164
1579591001,164,164
1579592899,163,163
1579594820,163,163
1579596737,162,162
1579598725,156,156
1579600586,152,152
1579602497,152,152
1579604558,154,154
1579606572,154,154
1579608490,154,154
1579610411,154,154
1579612338,155,155
1579614251,155,155
1579616428,155,155
1579618337,153,153
1579620267,152,152
1579622176,152,152
1579624103,150,150
1579626257,151,151
1579628171,148,148
1579630118,149,149
1579632015,148,148
1579633937,148,148
1579635857,147,147
1579638023,148,148
1579639931,150,150
1579641855,145,145
1579643772,144,144
1579645693,142,142
1579647773,139,139
1579649775,139,139
1579651692,141,141
1579653618,144,144
1579655538,145,145
1579657455,151,151
1579659376,148,148
1579661299,144,144
1579663227,143,143
1579665149,145,145
1579667082,148,148
1579668990,150,150
1579670892,148,148
1579673784,143,143
1579675697,148,148
1579677628,147,147
1579679531,148,148
1579681458,147,147
1579683385,148,148
1579685295,146,146
1579687353,148,148
1579689169,148,148
1579691123,148,148
1579692990,144,144
1579694896,147,147
1579696823,147,147
1579698751,152,152
1579700666,155,155
1579702578,152,152
1579704502,152,152
1579706413,148,148
1579708349,146,146
1579710252,144,144
1579712187,143,143
1579714097,145,145
1579716983,143,143
1579719144,147,147
1579721059,146,146
1579722993,145,145
1579724897,148,148
1579727156,144,144
1579728978,147,147
1579730926,149,149
1579732831,147,147
1579734735,149,149
1579736675,148,148
1579738574,150,150
1579740516,144,144
1579742447,152,152
1579744357,147,147
1579746264,145,145
1579748195,148,148
1579750098,148,148
1579752218,144,144
1579754173,142,142
1579756131,151,151
1579758043,149,149
1579759972,150,150
1579761888,153,153
1579763779,153,153
1579765694,150,150
1579767638,147,147
1579769558,150,150
1579771480,151,151
1579773374,148,148
1579775295,156,156
1579777528,156,156
1579779386,156,156
1579781570,155,155
1579783457,153,153
1579785428,156,156
1579787338,156,156
1579789221,156,156
1579791174,176,176
1579793061,179,179
1579794982,181,181
1579796900,180,180
1579799118,181,181
1579800979,178,178
1579802896,178,178
1579804818,177,177
1579807019,172,172
1579810815,169,169
1579812743,170,170
1579814660,170,170
1579816595,164,164
1579818494,164,164
1579820671,165,165
1579822587,169,169
1579824492,165,165
1579826413,168,168
1579828339,159,159
1579830250,171,171
1579832193,174,174
1579834096,174,174
1579836027,174,174
1579837939,175,175
1579839891,174,174
1579841799,162,162
1579843718,159,159
1579845855,160,160
1579847790,159,159
1579849717,157,157
1579853541,168,168
1579855458,171,171
1579857409,169,169
1579859294,173,173
1579861214,169,169
1579863138,164,164
1579865080,165,165
1579866975,166,166
1579868892,171,171
1579871072,175,175
1579873055,171,171
1579874932,178,178
1579876830,177,177
1579878760,160,160
1579880795,156,156
1579882829,158,158
1579884734,158,158
1579888593,158,158
1579890492,158,158
1579892591,157,157
1579894824,159,159
1579896996,160,160
1579898917,162,162
1579900822,159,159
1579902740,159,159
1579904722,157,157
1579908670,154,154
1579910642,153,153
1579912574,153,153
1579914757,156,156
1579916655,147,147
1579918576,146,146
1579920511,145,145
1579922445,145,145
1579926256,145,145
1579930097,144,144
1579932258,143,143
1579934185,143,143
1579936099,143,143
1579938024,148,148
1579939957,149,149
1579941854,157,157
1579943836,158,158
1579945735,156,156
1579947641,158,158
1579949554,157,157
1579953398,159,159
1579955295,158,158
1579957502,156,156
1579959388,154,154
1579961311,153,153
1579963219,153,153
1579965161,153,153
1579967065,154,154
1579968979,152,152
1579970922,149,149
1579974746,149,149
1579976665,150,150
1579978608,151,151
1579980523,152,152
1579982714,154,154
1579984592,156,156
1579986506,154,154
1579990357,152,152
1579992281,155,155
1579994180,159,159
1579996104,160,160
1579998267,162,162
1580000171,159,159
1580002094,160,160
1580006183,159,159
1580008122,157,157
1580010030,158,158
1580011954,159,159
1580013854,160,160
1580015781,161,161
1580017713,161,161
1580019683,159,159
1580021530,158,158
1580023469,159,159
1580025387,152,152
1580027292,148,148
1580029415,144,144
1580031383,145,145
1580033302,146,146
1580035215,147,147
1580037150,174,174
1580039070,586,586
1580040984,1557,1557
1580042910,4144,4144
1580044815,5220,5220
1580046729,6973,6973
1580048665,8134,8134
1580050573,9869,9869
1580052492,11325,11325
1580054607,13025,13025
1580056578,14771,14771
1580058516,16408,16408
1580060415,18498,18498
1580062336,20027,20027
1580064271,21671,21671
1580066178,23103,23103
1580068101,24919,24919
1580070030,26404,26404
1580071931,28226,28226
1580073859,29607,29607
1580075790,31671,31671
1580077691,33595,33595
1580080579,33760,33760
1580082503,33760,33760
1580086332,33761,33761
1580088257,33761,33761
1580090196,33759,33759
1580092110,33760,33760
1580096198,33760,33760
1580098108,33761,33761
1580100014,33762,33762
1580103880,33760,33760
1580105776,33761,33761
1580107805,33761,33761
1580111568,33762,33762
1580113459,33762,33762
1580115391,33764,33764
1580117312,33765,33765
1580119458,33765,33765
1580121370,33764,33764
1580123313,33767,33767
1580125218,33405,33405
1580127162,32572,32572
1580129086,29926,29926
1580130987,28811,28811
1580132898,27146,27146
1580134832,25942,25942
1580136752,24269,24269
1580138658,22839,22839
1580140596,21063,21063
1580142496,19622,19622
1580145630,16509,16509
1580147542,14708,14708
1580149455,13250,13250
1580151422,11611,11611
1580153290,10131,10131
1580155257,8341,8341
1580157151,6892,6892
1580159139,5205,5205
1580160988,3471,3471
1580162963,1886,1886
1580164854,147,147
1580166757,148,148
1580168654,149,149
1580170578,151,151
1580174440,150,150
1580176331,149,149
1580178257,150,150
1580180189,153,153
1580182111,152,152
1580184213,152,152
1580186212,151,151
1580191949,152,152
1580193853,152,152
1580195799,152,152
1580197708,151,151
1580199612,151,151
1580203465,154,154
1580205373,152,152
1580210178,151,151
1580212107,153,153
1580214011,151,151
1580215935,148,148
1580217868,147,147
1580219777,149,149
1580221712,151,151
1580223794,152,152
