DateTime,AddedIPs,RemovedIPs
1579322172,39,32
1579324120,46,18
1579326017,35,33
1579328189,36,46
1579330099,28,21
1579332026,14,28
1579333933,21,11
1579335889,28,33
1579337810,40,29
1579339707,33,32
1579341933,41,42
1579343790,42,25
1579345707,48,25
1579347630,64,34
1579349541,66,20
1579351470,63,29
1579353379,38,22
1579355352,31,22
1579357238,28,18
1579359146,32,34
1579361058,21,29
1579363000,35,29
1579364896,30,19
1579367094,24,35
1579368981,29,31
1579370919,51,42
1579372847,40,58
1579374754,25,46
1579376736,27,34
1579378593,18,34
1579380747,21,21
1579382679,23,15
1579384590,18,28
1579386512,33,25
1579388741,33,61
1579390578,37,20
1579392766,21,42
1579394653,34,83
1579396589,21,33
1579398522,20,52
1579400415,28,27
1579402331,23,37
1579404318,26,32
1579406186,22,31
1579408096,23,35
1579410361,37,52
1579412194,43,32
1579414098,75,31
1579416017,51,31
1579417952,42,12
1579419860,23,18
1579421781,21,23
1579423731,23,38
1579425620,28,36
1579427541,19,31
1579429488,24,37
1579431398,17,39
1579433303,23,53
1579435372,37,56
1579437393,38,81
1579439291,18,40
1579441215,22,25
1579443153,17,37
1579445054,34,30
1579446900,17,18
1579448950,15,35
1579450817,22,29
1579452737,24,25
1579454719,20,32
1579456575,16,41
1579458496,25,32
1579460542,42,47
1579462361,22,31
1579464303,14,25
1579466173,16,21
1579468120,10,25
1579470014,16,18
1579471935,14,30
1579473854,46,38
1579475789,28,27
1579477694,16,34
1579479612,19,37
1579481548,28,35
1579483454,13,28
1579485387,20,30
1579487296,22,32
1579489349,27,27
1579491430,35,28
1579493324,21,28
1579495225,26,38
1579497389,31,40
1579499300,77,54
1579501235,208,76
1579503161,111,70
1579505073,78,38
1579506975,105,25
1579508898,49,27
1579511079,76,32
1579512984,122,30
1579514893,81,25
1579516837,33,31
1579518751,27,17
1579520655,24,33
1579522588,32,37
1579524504,26,41
1579526415,30,28
1579528342,24,22
1579530257,20,31
1579532174,15,25
1579534288,21,27
1579536203,16,20
1579538178,13,25
1579540129,17,21
1579542034,23,24
1579544188,25,29
1579546090,23,56
1579548035,12,46
1579549998,16,20
1579551855,11,16
1579553772,22,24
1579555717,23,20
1579557732,27,20
1579559552,23,39
1579561550,13,43
1579563408,18,26
1579565329,22,22
1579567257,11,47
1579569164,14,24
1579571058,16,24
1579572975,21,21
1579574895,15,27
1579576843,19,34
1579578739,21,30
1579580681,17,33
1579582572,18,38
1579584490,17,38
1579586559,9,234
1579588573,16,94
1579590504,17,148
1579592415,18,52
1579594333,22,99
1579596252,24,114
1579598188,27,85
1579600094,16,88
1579602010,28,88
1579603953,29,43
1579605860,25,22
1579607773,33,29
1579609718,18,48
1579611649,24,35
1579613593,23,32
1579615732,21,30
1579617615,26,22
1579619574,27,24
1579621593,23,21
1579623619,20,20
1579625550,23,14
1579627467,22,22
1579629376,21,20
1579631299,26,21
1579634421,31,38
1579636357,22,20
1579638270,19,19
1579640172,22,23
1579642094,17,22
1579644240,24,32
1579646181,27,23
1579648113,27,13
1579650033,23,14
1579651942,18,25
1579653854,26,11
1579655800,34,14
1579657720,19,19
1579659634,25,20
1579661543,16,20
1579663480,24,18
1579665375,31,19
1579667552,27,21
1579669570,18,13
1579671400,14,18
1579673313,22,9
1579675231,34,22
1579677143,22,14
1579679069,24,21
1579680993,25,24
1579682899,17,28
1579684832,29,25
1579686738,25,16
1579688660,22,32
1579690587,22,29
1579692497,25,18
1579695391,53,42
1579697313,30,25
1579699224,20,24
1579701148,23,16
1579703107,31,31
1579704982,22,21
1579706925,27,29
1579709104,28,21
1579711236,39,20
1579713147,29,20
1579715093,26,19
1579716983,28,24
1579719144,21,21
1579721058,18,23
1579722992,24,19
1579724897,27,23
1579727155,34,20
1579728978,15,26
1579730924,12,23
1579732831,17,25
1579734735,25,29
1579736675,20,17
1579738574,16,21
