DateTime,AddedIPs,RemovedIPs
1579150604,4,3
1579152526,3,0
1579154796,5,2
1579156605,2,1
1579158540,1,0
1579160448,1,2
1579162713,1,3
1579164527,3,2
1579166437,3,2
1579168345,1,0
1579170284,0,2
1579172185,0,2
1579174125,3,1
1579176357,1,0
1579178439,2,2
1579180356,0,3
1579182269,1,2
1579184485,2,1
1579186346,1,2
1579188259,1,2
1579190220,0,1
1579192097,1,1
1579194346,1,1
1579196446,1,2
1579198343,2,1
1579200311,2,1
1579204104,1,1
1579206023,1,0
1579209893,2,0
1579211776,1,3
1579213963,0,2
1579217817,1,3
1579221652,2,2
1579223548,1,2
1579225467,8,4
1579227428,5,0
1579229341,0,3
1579231248,3,4
1579233150,2,1
1579235080,2,2
1579236979,1,4
1579239170,4,4
1579241308,3,3
1579243218,0,1
1579245178,1,4
1579247062,2,1
1579248990,6,1
1579250943,1,3
1579252839,2,2
1579254767,4,1
1579256688,1,1
1579258583,1,1
1579260814,4,4
1579262808,5,1
1579264841,2,2
1579266753,2,0
1579268669,2,1
1579270619,3,1
1579272637,0,1
1579274676,1,1
1579276572,1,0
1579278493,1,1
1579281412,2,0
1579283296,0,2
1579285225,1,2
1579287156,2,2
1579289101,3,0
1579291001,1,1
1579292914,0,1
1579295148,1,1
1579296976,0,1
1579300820,1,0
1579302771,5,0
1579304669,3,2
1579306584,1,0
1579308531,3,2
1579310422,2,2
1579312341,0,7
1579314259,0,4
1579316186,2,0
1579318163,4,3
1579320243,2,2
1579322172,1,4
1579324121,2,2
1579326017,2,3
1579328190,3,2
1579330099,2,1
1579332027,1,0
1579333934,2,3
1579335890,3,3
1579337811,1,1
1579339708,0,3
1579341934,0,1
1579343791,2,2
1579345708,1,0
1579347630,2,5
1579349542,0,5
1579351470,1,3
1579353380,1,2
1579355352,1,3
1579357239,1,2
1579359147,0,1
1579361059,2,0
1579363001,0,1
1579364897,1,1
1579367097,2,1
1579368982,0,1
1579370920,0,3
1579372848,2,1
1579374755,1,2
1579376737,0,2
1579380748,1,1
1579382680,0,1
1579384592,1,0
1579386514,0,1
1579388758,2,2
1579390580,3,6
1579392768,1,1
1579394655,2,1
1579396591,1,2
1579398524,4,0
1579400417,1,1
1579402333,2,2
1579404320,1,4
1579406187,3,1
1579408116,1,2
1579410370,4,2
1579412196,0,2
1579414100,2,3
1579416019,3,2
1579417954,3,1
1579419862,1,2
1579421783,1,3
1579423733,1,1
1579427544,2,1
1579429491,1,1
1579431400,1,2
1579433305,1,1
1579435405,4,1
1579437396,0,1
1579439294,1,0
