DateTime,AddedIPs,RemovedIPs
1579317637,70,22
1579319559,76,26
1579321482,65,42
1579323399,23,26
1579325294,51,36
1579327325,78,35
1579329165,82,19
1579331131,26,28
1579333031,37,14
1579334931,25,33
1579336832,47,29
1579338764,100,76
1579340658,81,26
1579342580,79,21
1579344760,25,27
1579346655,80,27
1579348581,28,33
1579350515,35,40
1579352553,33,41
1579354363,133,26
1579357240,36,99
1579359148,36,20
1579361060,95,39
1579363002,94,22
1579364898,92,29
1579367105,112,73
1579368983,84,22
1579370921,123,23
1579372850,36,18
1579374756,31,57
1579376739,83,28
1579378595,39,74
1579380749,150,39
1579382681,140,79
1579384594,210,40
1579386515,85,57
1579388764,55,156
1579390581,105,214
1579392771,167,31
1579394657,56,79
1579396592,137,28
1579398525,101,174
1579400418,153,30
1579402334,73,36
1579404322,43,70
1579406189,59,66
1579408117,52,69
1579410377,70,37
1579412197,49,50
1579414101,51,70
1579416020,77,76
1579417978,61,25
1579419863,68,42
1579421784,75,30
1579423734,72,61
1579425625,55,97
1579427547,67,78
1579429493,77,79
1579431401,77,21
1579433308,57,77
1579435424,77,34
1579437397,71,34
1579439295,69,78
1579441235,65,76
1579443156,90,20
1579445059,57,28
1579446919,55,35
1579448953,57,153
1579450834,38,90
1579452741,68,91
1579454722,49,75
1579456579,69,146
1579458499,47,27
1579460672,39,48
1579462827,44,86
1579464745,39,34
1579466677,58,137
1579468582,53,94
1579470498,49,234
1579472451,74,106
1579474349,46,46
1579476257,34,42
1579478190,56,154
1579480108,48,96
1579482211,71,107
1579484183,54,137
1579486109,64,187
1579488013,73,83
1579490189,69,29
1579492108,51,42
1579494031,41,44
1579495935,25,43
1579497851,24,31
1579499704,32,36
1579501714,11,64
1579503688,25,55
1579505536,32,47
1579507510,45,52
1579509387,55,68
1579511301,46,54
1579513216,44,54
1579515152,71,70
1579517063,85,69
1579518976,42,55
1579520911,76,68
1579522815,47,66
1579524733,47,59
1579526668,57,64
1579528577,54,56
1579530547,39,97
1579532460,61,58
1579534289,40,45
1579536222,68,47
1579538179,92,56
1579540130,135,51
1579542035,94,59
1579544189,75,58
1579546091,92,32
1579548036,90,40
1579549999,89,46
1579551856,82,36
