DateTime,AddedIPs,RemovedIPs
1579318165,4,6
1579320338,4,8
1579322174,11,6
1579324122,5,6
1579326018,7,3
1579328191,6,4
1579330100,8,2
1579332028,8,8
1579333935,13,6
1579335891,9,9
1579337812,6,3
1579339708,6,9
1579341936,5,6
1579343792,5,9
1579345709,3,11
1579347631,7,3
1579349543,9,4
1579351472,4,5
1579353381,6,8
1579355353,9,7
1579357241,12,6
1579359148,6,6
1579361060,5,5
1579363003,10,4
1579364899,4,8
1579367114,6,5
1579368983,3,5
1579370922,9,9
1579372850,5,7
1579374757,5,4
1579376739,2,1
1579378596,4,3
1579380749,7,6
1579382681,4,10
1579384594,3,6
1579386515,2,5
1579388765,7,19
1579390581,3,8
1579392771,9,9
1579394658,5,7
1579396593,2,6
1579398525,7,8
1579400419,1,5
1579402334,6,4
1579404322,2,3
1579406190,4,6
1579408118,3,8
1579410377,3,7
1579412197,8,6
1579414102,2,6
1579416020,7,6
1579417978,6,8
1579419864,2,14
1579421785,8,8
1579423735,5,10
1579425626,9,8
1579427548,4,4
1579429494,8,4
1579431402,12,1
1579433308,4,8
1579435428,6,10
1579437398,10,4
1579439296,0,6
1579441235,2,6
1579443157,2,11
1579445059,5,7
1579446920,4,4
1579448954,8,7
1579450835,6,7
1579452741,8,2
1579454723,5,5
1579456579,0,4
1579458533,7,8
1579460685,4,5
1579462828,5,3
1579464745,8,3
1579466677,5,4
1579468582,1,10
1579470498,7,3
1579472452,6,2
1579474349,14,7
1579476258,9,2
1579478191,7,6
1579480109,8,4
1579482234,6,6
1579484184,6,4
1579486109,6,4
1579488014,8,2
1579490190,7,4
1579492109,11,5
1579494032,2,1
1579495936,2,5
1579497851,5,4
1579499709,8,3
1579501715,5,12
1579503704,5,6
1579505536,5,4
1579507523,6,7
1579509387,5,9
1579511302,6,8
1579513217,6,5
1579515152,8,6
1579517063,1,13
1579518977,7,5
1579520911,4,6
1579522815,1,6
1579524733,4,4
1579526668,8,1
1579528577,3,3
1579530548,8,3
1579533388,8,5
1579535306,7,8
1579537230,9,5
1579539134,2,12
1579541075,6,6
1579542979,9,1
1579544921,9,6
1579547103,4,4
1579549241,9,7
1579551141,6,9
1579553069,11,5
1579554999,3,1
1579557162,13,7
1579559056,5,7
1579560974,2,12
1579562921,2,9
1579564982,4,5
1579566972,6,11
1579568894,2,6
1579570842,5,6
1579572764,4,7
1579574679,6,6
1579576609,6,11
1579578557,5,11
1579580414,6,2
1579582333,4,2
1579584254,5,4
1579586180,5,7
1579588095,2,5
1579590117,0,5
1579591947,5,5
1579593928,7,5
1579595771,0,5
1579597696,6,6
1579599616,2,7
1579601540,7,8
1579603459,4,2
1579605378,7,6
1579607298,4,3
1579609216,9,1
1579611140,1,4
1579613062,4,9
1579614972,3,3
1579616896,7,7
1579619790,5,8
1579621595,5,6
1579623620,2,10
1579625551,4,3
1579627469,8,6
1579629377,3,10
1579631300,8,8
1579634422,6,6
1579636358,4,10
1579638272,9,6
1579640174,2,8
1579642095,7,9
1579644279,6,8
1579646182,4,8
1579648115,1,1
1579650035,9,3
1579651943,5,3
1579653855,7,7
1579655801,4,4
1579657721,7,5
1579659636,7,4
1579661545,3,4
1579663481,1,5
1579665376,1,7
1579667553,4,4
1579669573,1,6
1579671403,3,6
1579673314,0,1
1579675233,3,2
1579677145,6,4
1579679070,6,5
1579680994,2,4
1579682900,14,2
1579684833,5,3
1579686740,3,4
1579688662,3,7
1579690588,5,5
1579692499,6,5
1579695394,12,13
1579697316,3,2
1579699227,5,4
1579701152,2,1
1579703109,3,10
1579704984,7,3
1579706927,1,5
1579709108,3,5
1579711239,4,2
1579713150,3,5
1579715096,3,7
1579716986,3,4
1579719146,7,9
1579721081,4,3
1579722996,2,6
1579724899,1,8
1579727159,6,5
1579728981,5,8
1579730930,5,3
1579732834,2,4
1579734737,3,2
1579736724,6,9
1579738578,3,6
1579740518,4,5
1579742450,4,4
1579744360,1,6
1579746266,4,7
1579748197,4,2
1579750100,4,1
1579752270,2,2
1579754176,7,4
1579756133,2,4
1579758047,3,4
1579759974,5,1
1579761891,4,5
1579763781,1,4
1579765696,4,6
1579767640,4,4
1579769561,14,16
1579771483,12,4
1579773376,2,3
1579775298,4,2
1579777554,2,6
1579779388,3,4
1579781573,2,8
1579783460,5,4
1579785431,4,3
1579787340,3,5
1579789225,5,3
1579791217,4,7
1579793063,4,3
1579795003,12,3
1579796902,6,4
1579799123,4,2
1579800981,7,2
1579802898,2,4
1579804821,6,4
1579807021,8,4
1579808900,4,2
1579810829,4,3
1579812745,5,3
1579814663,3,5
1579816597,6,3
1579818497,9,4
1579820737,4,2
1579822591,6,6
1579824494,5,3
1579826415,3,5
1579828342,5,4
1579830253,8,1
1579832198,4,0
1579834099,2,5
1579836029,4,5
1579837942,1,4
1579839893,3,5
1579841803,0,4
1579843721,9,2
1579845903,4,3
1579847793,0,7
1579849719,4,0
1579851624,6,3
1579853545,4,4
1579855477,6,11
1579857413,5,12
1579859317,4,4
1579861216,5,5
1579863140,7,1
1579865082,4,5
1579866977,3,1
1579868895,6,1
1579871129,4,5
1579873091,7,2
1579874937,4,4
1579876834,4,6
1579878762,5,4
1579880798,3,13
1579882832,5,5
1579884737,9,6
1579886657,4,4
1579888598,4,4
1579890495,4,4
1579892724,2,9
1579894826,4,7
1579896997,4,4
1579898919,7,7
1579900824,1,3
1579902741,3,3
1579904723,4,6
1579906628,4,5
1579908671,3,6
1579910722,8,5
1579912576,3,3
1579914759,5,4
1579916657,3,5
1579918578,5,3
1579920513,3,5
1579922448,4,6
1579924355,7,1
1579926257,4,3
1579928238,3,3
1579930099,5,10
1579932328,4,6
1579934187,2,2
1579936102,4,3
1579938026,0,6
1579939968,3,4
1579941855,5,6
1579943839,3,7
1579945738,3,3
1579947643,4,5
1579949556,7,7
1579951481,3,4
1579953400,7,4
1579955297,0,5
1579957507,5,3
1579959390,5,7
1579961313,2,3
1579963221,4,4
1579965163,2,5
1579967067,2,4
1579968981,2,4
1579970923,3,9
1579972831,4,4
1579974747,6,3
1579976668,3,5
1579978610,2,3
1579980539,5,3
1579982719,4,4
1579984594,4,5
1579986507,4,4
1579988424,4,0
1579990358,4,6
1579992282,4,7
1579994181,6,2
1579996105,9,8
1579998268,5,5
1580000173,4,2
1580002095,2,4
1580004339,4,5
1580006185,3,2
1580008125,6,3
1580010031,4,8
1580011956,2,4
1580013855,5,1
1580015783,2,6
1580017715,4,3
1580019685,5,3
1580021532,4,3
1580023472,4,2
1580025388,3,1
1580027294,4,5
1580029519,7,6
1580031385,8,2
1580033304,2,2
1580035217,8,5
1580037152,5,5
1580039090,4,7
1580040986,3,0
1580042956,3,5
1580044818,8,6
1580046731,2,3
1580048667,2,3
1580050575,1,3
1580052494,3,0
1580054694,1,3
1580056580,2,3
1580058520,0,4
1580060433,5,4
1580062338,0,4
1580064273,0,1
1580066180,5,4
1580068104,7,4
1580070032,2,4
1580071933,1,3
1580073861,5,4
1580075824,7,5
1580077693,2,3
1580080825,3,11
1580082738,5,8
1580084688,3,5
1580086586,4,3
1580088495,0,2
1580090688,2,2
1580092577,2,5
1580094387,3,5
1580096200,4,5
1580098109,3,2
1580100017,3,4
1580101941,3,2
1580103881,2,4
1580105777,0,2
1580107807,8,7
1580109625,4,4
1580111570,3,4
1580113460,5,4
1580115393,1,11
1580117313,6,8
1580119478,1,2
1580121371,2,8
1580123315,1,5
1580125220,5,4
1580127164,2,4
1580129088,4,2
1580130988,4,7
1580132900,3,2
1580134833,4,2
1580136753,2,2
1580138660,1,3
1580140597,1,0
1580142497,1,5
1580145631,10,2
1580147543,0,3
1580149457,3,0
1580151424,5,4
1580153292,3,2
1580155308,2,6
1580157152,1,3
1580159143,0,4
1580160989,7,4
1580162964,1,6
1580164856,4,2
1580166760,2,1
1580168656,2,6
1580170580,2,2
1580172500,1,3
1580174444,6,2
1580176332,2,3
1580178259,4,1
1580180191,4,3
1580182113,1,2
1580184301,2,3
1580186214,2,4
1580188111,1,2
1580190020,2,3
1580191951,2,1
1580193855,3,5
1580195801,7,6
1580197709,4,3
1580199615,3,5
1580203467,3,8
1580205376,4,0
1580207291,1,2
1580210180,7,2
1580212110,1,4
1580214013,3,2
1580215937,2,2
1580217870,2,5
1580219779,3,3
1580221716,2,5
1580223912,5,3
1580225780,5,0
1580227732,0,1
1580229615,2,1
1580231566,3,6
1580233460,4,3
1580235409,1,2
1580237301,4,4
1580239236,6,6
1580241137,4,2
1580243058,5,0
1580245012,17,1
1580246932,4,6
1580249124,4,2
1580250979,4,3
1580252915,7,4
1580254817,3,2
1580256743,4,2
1580258668,9,2
1580260598,3,2
1580262494,13,3
1580264441,2,3
1580266351,8,3
1580268263,1,2
1580270201,1,2
1580272101,3,2
1580274246,4,2
1580276175,1,2
1580278109,10,3
1580280019,3,3
1580281939,2,7
1580283878,6,3
1580285786,5,3
1580287719,4,0
1580289623,2,2
1580291533,3,2
1580293461,3,3
1580295386,4,4
1580297294,7,3
