DateTime,Entries,UniqueIPs
1579318165,311,311
1579320338,307,307
1579322174,312,312
1579324122,311,311
1579326018,315,315
1579328191,317,317
1579330100,323,323
1579332028,323,323
1579333935,330,330
1579335891,330,330
1579337812,333,333
1579339708,330,330
1579341936,329,329
1579343792,325,325
1579345709,317,317
1579347631,321,321
1579349543,326,326
1579351472,325,325
1579353381,323,323
1579355353,325,325
1579357241,331,331
1579359148,331,331
1579361060,331,331
1579363003,337,337
1579364899,333,333
1579367114,334,334
1579368983,332,332
1579370922,332,332
1579372850,330,330
1579374757,331,331
1579376739,332,332
1579378596,333,333
1579380749,334,334
1579382681,328,328
1579384594,325,325
1579386515,322,322
1579388765,310,310
1579390581,305,305
1579392771,305,305
1579394658,303,303
1579396593,299,299
1579398525,298,298
1579400419,294,294
1579402334,296,296
1579404322,295,295
1579406190,293,293
1579408118,288,288
1579410377,284,284
1579412197,286,286
1579414102,282,282
1579416020,283,283
1579417978,281,281
1579419864,269,269
1579421785,269,269
1579423735,264,264
1579425626,265,265
1579427548,265,265
1579429494,269,269
1579431402,280,280
1579433308,276,276
1579435428,272,272
1579437398,278,278
1579439296,272,272
1579441235,268,268
1579443157,259,259
1579445059,257,257
1579446920,257,257
1579448954,258,258
1579450835,257,257
1579452741,263,263
1579454723,263,263
1579456579,259,259
1579458533,258,258
1579460685,257,257
1579462828,259,259
1579464745,264,264
1579466677,265,265
1579468582,256,256
1579470498,260,260
1579472452,264,264
1579474349,271,271
1579476258,278,278
1579478191,279,279
1579480109,283,283
1579482234,283,283
1579484184,285,285
1579486109,287,287
1579488014,293,293
1579490190,296,296
1579492109,302,302
1579494032,303,303
1579495936,300,300
1579497851,301,301
1579499709,306,306
1579501715,299,299
1579503704,298,298
1579505536,299,299
1579507523,298,298
1579509387,294,294
1579511302,292,292
1579513217,293,293
1579515152,295,295
1579517063,283,283
1579518977,285,285
1579520911,283,283
1579522815,278,278
1579524733,278,278
1579526668,285,285
1579528577,285,285
1579530548,290,290
1579533388,293,293
1579535306,292,292
1579537230,296,296
1579539134,286,286
1579541075,286,286
1579542979,294,294
1579544921,297,297
1579547103,297,297
1579549241,299,299
1579551141,296,296
1579553069,302,302
1579554999,304,304
1579557162,310,310
1579559056,308,308
1579560974,298,298
1579562921,291,291
1579564982,290,290
1579566972,285,285
1579568894,281,281
1579570842,280,280
1579572764,277,277
1579574679,277,277
1579576609,272,272
1579578557,266,266
1579580414,270,270
1579582333,272,272
1579584254,273,273
1579586180,271,271
1579588095,268,268
1579590117,263,263
1579591947,263,263
1579593928,265,265
1579595771,260,260
1579597696,260,260
1579599616,255,255
1579601540,254,254
1579603459,256,256
1579605378,257,257
1579607298,258,258
1579609216,266,266
1579611140,263,263
1579613062,258,258
1579614972,258,258
1579616896,258,258
1579619790,255,255
1579621595,254,254
1579623620,246,246
1579625551,247,247
1579627469,249,249
1579629377,242,242
1579631300,242,242
1579634422,242,242
1579636358,236,236
1579638272,239,239
1579640174,233,233
1579642095,231,231
1579644279,229,229
1579646182,225,225
1579648115,225,225
1579650035,231,231
1579651943,233,233
1579653855,233,233
1579655801,233,233
1579657721,235,235
1579659636,238,238
1579661545,237,237
1579663481,233,233
1579665376,227,227
1579667553,227,227
1579669573,222,222
1579671403,219,219
1579673314,218,218
1579675233,219,219
1579677145,221,221
1579679070,222,222
1579680994,220,220
1579682900,232,232
1579684833,234,234
1579686740,233,233
1579688662,229,229
1579690588,229,229
1579692499,230,230
1579695394,229,229
1579697316,230,230
