DateTime,AddedIPs,RemovedIPs
1579320347,21,34
1579322174,16,24
1579324122,17,3
1579326019,16,18
1579328191,22,27
1579330101,8,8
1579332028,24,10
1579333935,12,11
1579335891,11,8
1579337813,22,11
1579339709,22,15
1579341937,11,23
1579343792,7,17
1579345709,11,12
1579347632,8,16
1579349544,7,17
1579351472,21,15
1579353381,9,22
1579355354,9,8
1579357241,6,22
1579359148,10,15
1579361060,10,15
1579363003,27,13
1579364899,12,6
1579367141,15,3
1579368983,7,8
1579370922,15,8
1579372850,8,13
1579374757,8,7
1579376739,6,11
1579378596,2,6
1579380749,7,5
1579382682,4,10
1579384594,9,15
1579386516,16,30
1579388766,9,20
1579390582,13,6
1579392772,21,12
1579394658,11,10
1579396593,17,10
1579398525,19,5
1579400419,16,6
1579402335,20,5
1579404322,22,12
1579406190,8,8
1579408118,9,23
1579410378,6,15
1579412198,7,12
1579414102,7,22
1579416021,15,12
1579417978,9,17
1579419864,4,24
1579421785,10,11
1579423735,8,21
1579425627,16,24
1579427549,18,13
1579429495,23,8
1579431402,5,8
1579433309,5,6
1579435430,23,9
1579437399,14,17
1579439296,7,7
1579441236,5,7
1579443157,4,7
1579445060,7,13
1579446920,5,11
1579448954,17,24
1579450836,20,19
1579452742,5,12
1579454723,12,11
1579456580,4,11
1579458535,14,11
1579460695,20,8
1579462828,5,7
1579464746,6,1
1579466678,4,3
1579468582,4,10
1579470499,14,7
1579472452,23,11
1579474350,11,15
1579476258,12,9
1579478192,22,14
1579480110,9,17
1579482255,5,14
1579484185,27,28
1579486110,9,18
1579488015,7,16
1579490190,46,27
1579492109,14,11
1579494033,1,9
1579495936,2,5
1579497852,2,6
1579499713,10,7
1579501715,20,15
1579503720,15,16
1579505537,5,6
1579507530,4,9
1579509388,2,8
1579511302,14,13
1579513218,18,16
1579515152,22,23
1579517064,12,13
1579518977,12,6
1579520911,9,11
1579522816,8,19
1579524734,6,4
1579526668,6,9
1579528578,10,6
1579530548,3,8
1579532474,1,2
1579534289,18,9
1579536233,18,20
1579538180,6,13
1579540131,6,8
1579542036,8,7
1579544190,8,7
1579546092,3,23
1579548037,5,11
1579549999,4,3
1579551856,2,7
1579553774,18,3
1579555719,8,3
1579557837,7,26
1579559771,5,24
1579561951,9,8
1579563859,6,24
1579565811,23,18
1579567712,12,4
1579569618,5,26
1579571555,5,20
1579573486,4,5
1579575377,8,24
1579577313,4,40
1579579489,5,7
1579581378,3,1
1579583325,4,4
1579585244,2,5
1579587139,2,13
1579589086,4,25
1579591003,3,13
1579592901,4,5
1579594822,26,3
1579596739,16,9
1579598758,6,27
1579600588,10,16
1579602515,2,19
1579604659,5,16
1579606577,4,11
1579608491,4,9
1579610421,18,8
1579612340,4,4
1579614255,6,8
1579616434,8,8
1579618341,5,1
1579620271,4,14
1579622181,11,23
1579624128,19,6
1579626318,2,5
1579628173,4,6
1579630121,11,6
1579632020,1,6
1579633939,6,4
1579635861,6,5
1579638025,3,3
1579639933,10,18
1579641858,7,7
1579643774,4,9
1579645695,3,4
1579648810,10,13
1579650734,9,14
1579652661,5,18
1579654598,8,11
1579656518,4,5
1579658588,5,6
1579660622,6,5
1579662506,7,8
1579664419,6,2
1579666361,11,3
1579668255,19,6
1579670193,5,5
1579672119,5,3
1579674029,1,1
1579675935,5,6
1579677856,8,2
1579679789,12,11
1579681710,9,28
1579684833,9,14
1579686740,6,7
1579688662,4,4
1579690588,3,5
1579692499,8,3
1579695394,22,6
1579697338,9,15
1579699227,8,6
1579701152,5,6
1579703110,8,6
1579704985,16,6
1579706927,4,5
1579709109,8,16
1579711239,8,10
1579713150,11,3
1579715096,6,4
1579716986,8,7
1579719147,9,2
1579721082,5,6
1579722996,23,4
1579724900,10,5
1579727160,11,9
1579728981,5,3
1579730931,6,3
1579732834,6,5
1579734738,4,5
1579736728,5,7
1579738578,1,4
1579740518,7,5
1579742450,3,7
1579744360,5,8
1579746267,4,9
1579748197,8,7
1579750101,14,4
1579752270,18,9
1579754176,4,23
1579756133,6,6
1579758048,7,2
1579759975,2,4
1579761891,10,4
1579763781,7,9
1579765696,4,11
1579767640,13,13
1579769561,8,4
1579771483,5,9
1579773377,6,7
1579775298,13,3
1579777554,7,3
1579779388,6,10
1579781574,14,18
1579783460,5,10
1579785431,9,8
1579787340,13,4
1579789226,5,6
1579791218,14,14
1579793064,11,5
1579795004,6,5
1579796903,12,8
1579799124,11,11
1579800982,11,8
1579802899,12,4
1579804821,5,9
1579807022,9,6
1579808900,12,19
1579810830,7,14
1579812746,7,6
1579814663,8,7
1579816598,3,7
1579818497,10,8
1579820738,19,5
1579822592,10,4
1579824495,6,4
1579826416,10,5
1579828343,8,4
1579830254,8,4
1579832199,10,5
1579834121,9,2
1579836029,8,12
1579837942,9,17
1579839894,4,11
1579841804,9,6
1579843722,4,7
1579845905,8,4
1579847793,7,6
1579849720,10,6
1579851625,8,4
