DateTime,Entries,UniqueIPs
1579320347,642,642
1579322174,634,634
1579324122,648,648
1579326019,646,646
1579328191,641,641
1579330101,641,641
1579332028,655,655
1579333935,656,656
1579335891,659,659
1579337813,670,670
1579339709,677,677
1579341937,665,665
1579343792,655,655
1579345709,654,654
1579347632,646,646
1579349544,636,636
1579351472,642,642
1579353381,629,629
1579355354,630,630
1579357241,614,614
1579359148,609,609
1579361060,604,604
1579363003,618,618
1579364899,624,624
1579367141,636,636
1579368983,635,635
1579370922,642,642
1579372850,637,637
1579374757,638,638
1579376739,633,633
1579378596,629,629
1579380749,631,631
1579382682,625,625
1579384594,619,619
1579386516,605,605
1579388766,594,594
1579390582,601,601
1579392772,610,610
1579394658,611,611
1579396593,618,618
1579398525,632,632
1579400419,642,642
1579402335,657,657
1579404322,667,667
1579406190,667,667
1579408118,653,653
1579410378,644,644
1579412198,639,639
1579414102,624,624
1579416021,627,627
1579417978,619,619
1579419864,599,599
1579421785,598,598
1579423735,585,585
1579425627,577,577
1579427549,582,582
1579429495,597,597
1579431402,594,594
1579433309,593,593
1579435430,607,607
1579437399,604,604
1579439296,604,604
1579441236,602,602
1579443157,599,599
1579445060,593,593
1579446920,587,587
1579448954,580,580
1579450836,581,581
1579452742,574,574
1579454723,575,575
1579456580,568,568
1579458535,571,571
1579460695,583,583
1579462828,581,581
1579464746,586,586
1579466678,587,587
1579468582,581,581
1579470499,588,588
1579472452,600,600
1579474350,596,596
1579476258,599,599
1579478192,607,607
1579480110,599,599
1579482255,590,590
1579484185,589,589
1579486110,580,580
1579488015,571,571
1579490190,590,590
1579492109,593,593
1579494033,585,585
1579495936,582,582
1579497852,578,578
1579499713,581,581
1579501715,586,586
1579503720,585,585
1579505537,584,584
1579507530,579,579
1579509388,573,573
1579511302,574,574
1579513218,576,576
1579515152,575,575
1579517064,574,574
1579518977,580,580
1579520911,578,578
1579522816,567,567
1579524734,569,569
1579526668,566,566
1579528578,570,570
1579530548,565,565
1579532474,564,564
1579534289,573,573
1579536233,571,571
1579538180,564,564
1579540131,562,562
1579542036,563,563
1579544190,564,564
1579546092,544,544
1579548037,538,538
1579549999,539,539
1579551856,534,534
1579553774,549,549
1579555719,554,554
1579557837,535,535
1579559771,516,516
1579561951,517,517
1579563859,499,499
1579565811,504,504
1579567712,512,512
1579569618,491,491
1579571555,476,476
1579573486,475,475
1579575377,459,459
1579577313,423,423
1579579489,421,421
1579581378,423,423
1579583325,423,423
