DateTime,Entries,UniqueIPs
1579312343,9492,9492
1579314261,9482,9482
1579316189,9449,9449
1579318166,9453,9453
1579320353,9479,9479
1579322175,9453,9453
1579324124,9460,9460
1579326020,9433,9433
1579328192,9418,9418
1579330102,9377,9377
1579332029,9379,9379
1579333936,9395,9395
1579335893,9396,9396
1579337814,9375,9375
1579339710,9375,9375
1579341938,9350,9350
1579343794,9338,9338
1579345710,9336,9336
1579347633,9358,9358
1579349559,9333,9333
1579351514,9243,9243
1579353392,9203,9203
1579355355,9204,9204
1579357242,9204,9204
1579359150,9230,9230
1579361062,9230,9230
1579363004,9226,9226
1579364901,9242,9242
1579367150,9264,9264
1579368985,9261,9261
1579370923,9281,9281
1579372852,9820,9820
1579374758,10517,10517
1579376741,10599,10599
1579378597,10617,10617
1579380751,10613,10613
1579382683,10642,10642
1579384596,10653,10653
1579386517,10687,10687
1579388767,11482,11482
1579390583,13079,13079
1579392773,14673,14673
1579394660,16532,16532
1579396595,18163,18163
1579398527,19957,19957
1579400421,21442,21442
1579402337,23438,23438
1579404324,25100,25100
1579406192,26660,26660
1579408120,28371,28371
1579410393,30312,30312
1579412199,31968,31968
1579414104,33562,33562
1579416023,35235,35235
1579417980,36919,36919
1579419866,38526,38526
1579421787,39848,39848
1579423737,41512,41512
1579425629,43051,43051
1579427551,44746,44746
1579429497,44726,44726
1579431413,44726,44726
1579433311,44710,44710
1579435452,44728,44728
1579437410,44721,44721
1579439298,44726,44726
1579441238,44740,44740
1579443168,44741,44741
1579445075,44747,44747
1579446923,44719,44719
1579448956,44678,44678
1579450838,44669,44669
1579452744,44631,44631
1579454725,44627,44627
1579456582,44603,44603
1579458537,44483,44483
1579460723,44111,44111
1579462839,44208,44208
1579464748,44245,44245
1579466680,44257,44257
1579468585,44241,44241
1579470509,44222,44222
1579472454,44213,44213
1579474352,43975,43975
1579476260,42466,42466
1579478203,40659,40659
1579480111,40533,40533
1579482297,40116,40116
1579484186,39800,39800
1579486112,39673,39673
1579488017,39068,39068
1579490192,38356,38356
1579492111,37817,37817
1579494043,37198,37198
1579495938,36460,36460
1579497854,35853,35853
1579499724,34931,34931
1579501717,34113,34113
1579505076,32715,32715
1579506978,31961,31961
1579508901,31426,31426
1579511142,30542,30542
1579512987,29717,29717
1579514896,29681,29681
1579516840,30652,30652
1579518754,31411,31411
1579520658,32407,32407
1579522590,33317,33317
1579524507,34371,34371
1579526418,35249,35249
1579528345,36163,36163
1579530259,36141,36141
1579532177,36077,36077
1579534291,36108,36108
1579536283,36124,36124
1579538188,36065,36065
1579541077,36085,36085
1579542980,36110,36110
1579544943,36094,36094
1579547108,36047,36047
1579549242,35999,35999
1579551142,35990,35990
1579553071,35998,35998
1579555001,36014,36014
1579557163,36004,36004
1579559057,35987,35987
1579560975,35981,35981
1579562923,35969,35969
1579565004,35796,35796
1579566974,34362,34362
1579568896,33130,33130
1579570843,31448,31448
1579572765,30151,30151
1579574680,28890,28890
1579576610,27856,27856
1579578558,26697,26697
1579580416,25665,25665
1579582334,24423,24423
1579584255,23432,23432
1579586181,22503,22503
1579588096,21795,21795
1579590139,20833,20833
1579591949,19956,19956
1579593765,19184,19184
1579595772,18353,18353
1579597697,17512,17512
1579599617,16546,16546
1579601541,15728,15728
1579603460,14815,14815
1579605379,14007,14007
1579607299,12977,12977
1579609217,12073,12073
1579611141,13156,13156
1579613063,14046,14046
1579614973,15224,15224
1579616897,17173,17173
1579619791,17590,17590
1579621596,17600,17600
1579623621,17596,17596
1579625552,17645,17645
1579627470,17688,17688
1579629378,17676,17676
1579631301,17657,17657
1579634423,17677,17677
1579636359,17702,17702
1579638273,17704,17704
1579640175,17703,17703
1579642097,17711,17711
1579644302,17742,17742
1579646193,17763,17763
1579648116,17790,17790
1579650044,17830,17830
1579651944,17822,17822
1579653856,17845,17845
1579655803,17901,17901
1579657722,17917,17917
1579659637,17947,17947
1579661546,18035,18035
1579663482,18060,18060
1579665377,18054,18054
1579667554,18072,18072
1579669574,18087,18087
1579671404,18134,18134
1579673315,18149,18149
1579675234,18171,18171
1579677146,18172,18172
1579679072,18176,18176
1579680996,18194,18194
1579682902,18207,18207
1579684843,18204,18204
1579686742,18196,18196
1579688663,18209,18209
1579690589,18187,18187
1579692501,18202,18202
1579695395,18188,18188
1579697339,16258,16258
1579699228,14576,14576
1579701153,12474,12474
1579703111,10561,10561
1579704986,9928,9928
1579706928,9938,9938
