DateTime,Entries,UniqueIPs
1579315704,4452,4452
1579317639,4426,4426
1579319561,4425,4425
1579321483,4436,4436
1579323400,4440,4440
1579325296,4444,4444
1579327373,4426,4426
1579329371,4407,4407
1579331566,4434,4434
1579333455,4455,4455
1579335395,4477,4477
1579337310,4490,4490
1579339210,4476,4476
1579341139,4484,4484
1579343080,4457,4457
1579344978,4434,4434
1579346907,4422,4422
1579348859,4442,4442
1579350741,4426,4426
1579352641,4389,4389
1579354572,4386,4386
1579356518,4402,4402
1579358421,4409,4409
1579360348,4429,4429
1579362284,4415,4415
1579364195,4420,4420
1579366338,4421,4421
1579368273,4442,4442
1579370198,4470,4470
1579372098,4845,4845
1579374978,5752,5752
1579377154,5813,5813
1579379314,5845,5845
1579381439,5867,5867
1579383630,5900,5900
1579385540,5919,5919
1579387486,5910,5910
1579389385,5907,5907
1579391547,5931,5931
1579393478,5984,5984
1579395374,6024,6024
1579397571,6041,6041
1579399713,6024,6024
1579401626,6018,6018
1579403578,6012,6012
1579405463,5988,5988
1579407396,5995,5995
1579409329,5992,5992
1579411230,5995,5995
1579413141,6013,6013
1579415078,6015,6015
1579416981,6029,6029
1579418904,6032,6032
1579421057,6033,6033
1579422994,6046,6046
1579425158,6049,6049
1579427066,6031,6031
1579429222,6004,6004
1579431136,6009,6009
1579433072,5994,5994
1579434988,5995,5995
1579436896,5998,5998
1579439829,6017,6017
1579441708,6026,6026
1579443611,5992,5992
1579445530,5979,5979
1579447473,5934,5934
1579449380,5902,5902
1579451292,5837,5837
1579454420,5777,5777
1579456353,5726,5726
1579458255,5488,5488
1579460189,4637,4637
1579462095,4696,4696
1579464327,4713,4713
1579466176,4708,4708
1579468122,4688,4688
1579470016,4642,4642
1579471937,4630,4630
1579473857,4603,4603
1579475792,4598,4598
1579477718,4580,4580
1579479615,4534,4534
1579481552,4534,4534
1579483456,4567,4567
1579485392,4558,4558
1579487298,4590,4590
1579489456,4577,4577
1579491434,4567,4567
1579493326,4575,4575
1579495228,4576,4576
1579497392,4575,4575
1579499302,4565,4565
1579501237,4564,4564
1579503163,4574,4574
1579505077,4597,4597
1579506978,4591,4591
1579508902,4578,4578
1579511166,4571,4571
1579512988,4572,4572
1579514896,4588,4588
1579516841,4601,4601
1579518755,4633,4633
1579520660,4644,4644
1579522591,4701,4701
1579524508,4713,4713
1579526419,4691,4691
1579528346,4670,4670
1579530261,4652,4652
1579532179,4631,4631
1579534292,4674,4674
1579536312,4673,4673
1579538189,4499,4499
1579540164,4513,4513
1579542038,4542,4542
1579544191,4545,4545
1579546093,4508,4508
1579548039,4465,4465
1579550001,4439,4439
1579551858,4457,4457
1579553775,4498,4498
1579555720,4522,4522
1579557891,4539,4539
1579559772,4526,4526
1579561952,4534,4534
1579563862,4523,4523
1579565813,4465,4465
1579567714,4450,4450
1579569619,4436,4436
1579571556,4420,4420
1579573487,4409,4409
1579575378,4387,4387
1579577314,4392,4392
1579579491,4398,4398
1579581380,4398,4398
1579583326,4367,4367
1579585246,4369,4369
1579587141,4363,4363
1579589088,4357,4357
1579591004,4328,4328
1579592902,4336,4336
1579594823,4381,4381
1579596741,4401,4401
1579598761,4396,4396
1579600590,4381,4381
1579602517,4371,4371
1579604700,4361,4361
1579606579,4355,4355
1579608493,4281,4281
1579610423,4272,4272
1579612342,4267,4267
1579614257,4278,4278
1579616436,4284,4284
1579618344,4270,4270
1579620274,4279,4279
1579622191,4286,4286
1579624130,4337,4337
1579626321,4387,4387
1579628189,4410,4410
1579630122,4407,4407
1579632022,4387,4387
1579633941,4392,4392
1579635864,4401,4401
1579638026,4402,4402
1579639935,4392,4392
1579641859,4394,4394
1579643776,4409,4409
1579645696,4415,4415
1579647936,4421,4421
1579649778,4452,4452
1579651697,4483,4483
1579653624,4513,4513
1579655542,4513,4513
1579657459,4528,4528
1579659380,4530,4530
1579661302,4625,4625
1579663234,4638,4638
1579665152,4625,4625
1579667088,4630,4630
1579668996,4625,4625
1579670898,4679,4679
1579672877,4699,4699
1579674762,4721,4721
1579676731,4744,4744
1579678581,4746,4746
1579680511,4783,4783
1579682440,4760,4760
1579684343,4778,4778
1579686269,4798,4798
1579688179,4809,4809
1579690100,4799,4799
1579692026,4812,4812
1579693934,4806,4806
1579695873,4829,4829
1579697776,4838,4838
1579699715,4864,4864
1579701856,4856,4856
1579704031,4857,4857
1579705940,4858,4858
1579707873,4874,4874
1579709799,4838,4838
1579711697,4812,4812
1579713680,4799,4799
1579715557,4783,4783
1579717457,4773,4773
1579719389,4766,4766
1579721296,4752,4752
1579723377,4751,4751
1579725371,4755,4755
1579727343,4754,4754
1579729215,4730,4730
1579731139,4742,4742
1579733074,4742,4742
1579734974,4680,4680
1579737155,4659,4659
1579739060,4654,4654
1579741003,4634,4634
1579742894,4591,4591
1579745036,4587,4587
1579746969,4527,4527
1579748914,4504,4504
1579750814,4524,4524
1579752766,4535,4535
1579754684,4520,4520
1579756577,4514,4514
1579758496,4501,4501
1579760433,4491,4491
1579762343,4567,4567
1579764292,4575,4575
1579766181,4519,4519
1579768095,4541,4541
1579770071,4553,4553
1579771981,4507,4507
1579773896,4683,4683
1579775775,4853,4853
1579777736,5021,5021
1579779665,5166,5166
1579781575,5313,5313
1579783462,5536,5536
1579785433,7204,7204
1579787342,7984,7984
1579789244,8212,8212
1579791219,8449,8449
1579793066,8665,8665
1579795005,9007,9007
1579796905,9171,9171
1579799128,9498,9498
1579800984,9769,9769
1579802902,10019,10019
1579804823,10285,10285
1579807024,10586,10586
1579808902,10889,10889
1579810832,11119,11119
1579812747,11421,11421
1579814665,11680,11680
1579816600,11990,11990
1579818500,12280,12280
1579820774,12926,12926
1579822596,13076,13076
1579824498,13311,13311
1579826419,13848,13848
1579828346,14342,14342
1579830257,15005,15005
1579832202,15693,15693
1579834124,16578,16578
1579836033,17254,17254
1579837945,18085,18085
1579839897,18796,18796
1579841808,19606,19606
1579843725,20153,20153
1579845915,20923,20923
1579847798,21562,21562
1579849723,22144,22144
1579851628,22814,22814
1579853550,23367,23367
1579855481,24020,24020
1579857419,24663,24663
1579859322,25324,25324
1579861221,25673,25673
1579863144,25739,25739
1579865086,25544,25544
1579866981,25422,25422
1579868899,25278,25278
1579871154,24671,24671
1579873103,23505,23505
1579874942,23292,23292
1579876839,23033,23033
