DateTime,AddedIPs,RemovedIPs
1579310425,10,12
1579312344,4,1
1579314262,0,6
1579316189,7,4
1579318167,3,3
1579320354,8,4
1579322176,1,3
1579324124,4,1
1579326042,2,3
1579328193,4,7
1579330102,4,2
1579332029,4,1
1579333937,4,3
1579335893,3,1
1579337814,4,1
1579339711,6,2
1579341940,6,8
1579343794,3,3
1579345711,6,4
1579347633,3,9
1579349560,6,7
1579351518,1,4
1579353392,2,4
1579355355,2,7
1579357243,4,5
1579359150,4,4
1579361063,6,1
1579363005,6,6
1579364902,4,2
1579367168,3,6
1579368986,4,4
1579370924,1,4
1579372852,5,2
1579374759,3,4
1579376742,9,7
1579378598,3,5
1579380752,2,1
1579382684,5,0
1579384596,3,7
1579386518,3,2
1579388768,2,4
1579390584,2,3
1579392780,3,8
1579394661,1,2
1579396596,2,6
1579398528,1,6
1579400421,3,1
1579402338,7,6
1579404325,2,2
1579406193,0,7
1579408121,4,2
1579410395,6,5
1579412200,4,1
1579414105,6,5
1579416024,1,4
1579417982,2,4
1579419867,1,3
1579421788,7,3
1579423738,4,4
1579425630,5,7
1579427553,2,5
1579429500,2,5
1579431414,6,4
1579433314,1,6
1579435498,1,4
1579437413,4,3
1579439299,2,2
1579441243,1,2
1579443169,5,3
1579445077,2,4
1579446925,2,6
1579448957,4,6
1579450839,3,3
1579452745,3,4
1579454727,2,4
1579456583,1,1
1579458538,2,3
1579460729,4,6
1579462840,3,9
1579464749,0,3
1579466681,4,1
1579468586,1,6
1579470512,3,3
1579472456,4,2
1579474353,1,3
1579476261,3,1
1579478208,2,3
1579480116,3,1
1579482305,2,2
1579484188,3,2
1579486113,1,1
1579488021,5,6
1579490194,4,5
1579492112,2,0
1579494044,1,3
1579495939,3,5
1579497854,1,4
1579499725,5,5
1579501718,2,4
1579503780,4,2
1579505805,2,1
1579507962,3,7
1579509854,3,4
1579511842,1,5
1579513709,1,2
1579515619,3,2
1579517533,3,6
1579519481,1,1
1579521376,3,1
1579523328,2,2
1579525355,4,4
1579527177,3,1
1579529093,1,3
1579530984,4,2
1579532903,6,3
1579535084,2,4
1579536982,2,4
1579538901,2,3
1579541079,3,2
1579542981,3,1
1579544944,3,2
1579547109,5,4
1579549243,1,3
1579551166,3,0
1579553072,6,4
1579555002,2,1
1579557164,1,4
1579559060,4,3
1579560976,4,1
1579562924,4,3
1579565024,6,2
1579566975,3,3
1579568897,1,2
1579570844,3,3
1579572766,1,3
1579574681,2,3
1579576611,1,4
1579578559,2,2
1579580418,3,1
1579582338,3,3
1579584256,4,1
1579586184,0,6
1579588100,1,1
1579590181,1,4
1579592181,3,2
1579594096,4,3
1579596017,1,3
1579597932,2,1
1579601779,2,3
1579603719,1,4
1579605616,4,1
1579607538,1,3
1579609453,2,2
1579611373,3,2
1579613294,2,5
1579615342,3,1
1579617379,0,4
1579619575,2,6
1579621596,1,2
1579623621,2,2
1579625553,4,2
1579627470,2,3
1579629379,2,3
1579631302,4,3
1579634424,2,5
1579636360,1,1
1579638274,0,5
1579640175,2,4
1579642097,5,2
1579644319,5,1
1579646194,3,5
1579648116,2,3
1579650045,2,5
1579651945,1,6
1579653857,3,2
1579655803,3,2
1579657723,6,2
1579659639,1,1
1579661547,1,2
1579663483,2,1
1579665378,1,5
1579667555,2,0
1579669576,0,4
1579671404,4,3
1579673316,1,1
1579675235,1,0
1579677146,2,3
1579679074,1,2
1579680996,1,3
1579682902,2,2
1579684843,2,1
1579686742,1,0
1579688664,1,2
1579690590,3,3
1579692502,1,2
1579695396,3,2
1579697340,2,4
1579699230,1,1
1579701163,1,4
1579703114,2,0
1579704987,3,1
1579706929,2,1
1579709115,2,2
1579711241,2,3
1579713152,3,2
1579715098,0,2
1579716988,3,4
1579719149,3,4
1579721084,2,0
1579722998,0,1
1579724902,3,0
1579727162,3,3
1579728983,0,7
1579730943,0,2
1579732837,3,3
1579734741,3,3
1579736749,3,1
1579738580,3,1
1579740520,1,3
1579742482,3,3
1579744362,0,6
1579746270,2,1
1579748207,7,1
1579750102,1,2
1579752273,2,1
1579754177,2,2
1579756135,4,0
1579758053,1,4
1579759976,4,1
1579761892,4,1
1579763783,0,2
1579765698,0,1
1579767642,5,2
1579769562,1,2
1579771485,0,1
1579773378,0,1
1579775300,1,1
1579777555,3,3
1579779390,0,1
1579781576,2,3
1579783462,1,1
1579785433,4,1
1579787343,3,2
1579789244,1,1
1579791220,3,4
1579793066,2,1
1579795006,1,3
1579796906,3,0
1579799132,1,5
1579800984,2,0
1579802902,2,3
1579804823,3,2
1579807024,4,2
1579808902,4,1
1579810832,0,2
1579812748,1,4
1579814665,1,0
1579816600,2,0
1579818500,0,2
1579820775,3,4
1579822599,2,3
1579824498,1,3
1579826419,5,0
1579828350,3,3
1579830257,3,1
1579832206,4,2
1579834125,0,5
1579836033,3,3
1579837945,1,1
1579839897,2,3
1579841808,3,3
1579843726,4,2
1579845932,5,3
1579847799,0,1
1579849723,0,4
1579851628,1,0
1579853553,0,5
1579855481,1,1
1579857423,1,0
1579859323,1,0
1579861221,3,1
1579863145,1,2
1579865087,1,1
1579866981,0,2
1579868899,2,1
1579871156,2,2
1579873105,1,4
1579874946,3,1
1579876843,2,3
1579878767,3,2
1579880802,2,2
1579882836,1,2
1579884742,2,1
1579886661,0,3
1579888607,3,1
1579890499,3,2
1579892746,8,5
1579894831,4,4
1579897002,2,1
1579898923,4,1
1579900828,2,1
1579902745,4,2
1579904727,2,0
1579906633,4,2
1579908675,3,3
1579910774,3,1
1579912580,2,5
1579914764,0,3
1579916661,0,3
1579918582,7,4
1579920527,1,0
1579922457,3,3
1579924359,1,1
1579926261,1,2
1579928242,9,3
1579930102,1,4
1579932343,0,3
1579934192,3,2
1579936107,4,0
1579938039,5,1
1579939978,4,0
1579941859,3,1
1579943848,4,1
1579945748,4,1
1579947647,1,3
1579949560,1,1
1579951506,1,1
1579953405,4,0
1579955300,3,2
1579957513,3,2
1579959410,4,1
1579961319,2,3
1579963257,2,2
1579965168,10,3
1579967071,4,2
1579968986,2,1
1579970928,3,1
1579972835,3,1
1579974752,4,3
1579976698,3,3
1579978623,1,8
1579980544,1,3
1579982726,3,3
1579984598,7,1
1579986512,3,5
1579988428,3,4
1579990362,5,0
1579992286,4,5
1579994186,4,1
1579996109,3,6
1579998272,5,2
1580000183,2,0
1580002115,5,0
1580004373,1,6
1580006189,2,2
1580008131,1,2
1580010035,3,2
1580011974,1,0
1580013859,4,5
1580015787,3,5
1580017718,3,1
1580019690,6,2
1580021535,3,2
1580023475,4,7
1580025392,6,4
1580027298,2,3
1580029529,3,2
1580031388,3,7
1580033307,8,1
1580037155,4,1
1580039096,5,3
1580040990,1,4
1580042991,2,3
1580044821,2,2
1580046737,4,4
1580048670,3,3
1580050578,1,5
1580052498,2,7
1580054736,4,2
1580056584,2,3
1580058529,2,4
1580060438,1,4
1580062342,3,4
1580064276,1,1
1580066205,4,0
1580068107,3,3
1580070036,4,5
1580071937,6,4
1580073864,1,4
1580075829,4,4
1580077696,2,3
1580079862,4,5
1580081775,8,3
1580083720,4,5
1580085622,6,4
1580087539,6,2
1580089535,4,4
1580091386,2,0
1580093301,2,3
1580095235,5,1
1580097145,4,3
1580099059,4,0
1580100986,5,6
1580102893,2,2
1580105079,2,5
1580106981,0,5
1580108917,1,2
1580110825,2,7
1580112741,4,2
1580114671,1,3
1580116580,4,3
1580118745,4,6
1580120667,2,4
1580122595,0,1
1580124506,5,5
1580127420,1,4
