DateTime,AddedIPs,RemovedIPs
1579058967,1,0
1579062976,1,1
1579069005,0,1
1579072819,1,0
1579076693,3,0
1579078579,0,1
1579082724,1,1
1579088458,1,0
1579094463,1,0
1579096594,0,1
1579098774,1,2
1579100939,2,0
1579102856,1,0
1579106946,0,1
1579108834,1,0
1579110761,0,1
1579112673,1,0
1579114611,0,1
1579116503,2,0
1579123242,1,0
1579125174,0,1
1579127256,3,0
1579133570,0,1
1579139318,0,1
1579141241,1,0
1579145579,0,1
1579147737,2,0
1579149624,0,1
1579155651,1,0
1579159458,0,1
1579163295,0,3
1579169303,2,1
1579175097,0,1
1579177032,2,0
1579179181,2,1
1579184935,0,1
1579187137,0,2
1579188985,0,1
1579190932,1,0
1579194989,0,1
1579197149,3,0
1579199065,1,1
1579201008,1,0
1579202903,1,2
1579208912,1,0
1579211070,5,1
1579213236,0,2
1579215142,0,1
1579217116,1,0
1579224982,1,0
1579227154,0,1
1579231011,1,0
1579234841,1,2
1579236736,1,0
1579240584,2,1
1579252366,1,0
1579254254,0,1
1579256205,1,1
1579260017,1,0
1579261953,1,0
1579263854,0,2
1579265776,1,2
1579273549,2,0
1579277312,0,1
1579281415,1,0
1579283299,1,1
1579285228,2,3
1579287159,0,1
1579289104,0,1
1579291021,1,0
1579292917,1,0
1579295189,0,1
1579297213,2,3
1579299417,2,2
1579301542,1,0
1579303497,1,1
1579307613,1,0
1579311394,1,1
1579317190,0,1
1579320988,0,1
1579323143,2,1
1579326995,0,2
1579328895,1,0
1579335894,1,0
1579337815,0,1
1579339711,1,0
1579341941,1,1
1579345711,0,1
1579349561,2,1
1579353393,1,1
1579361063,0,2
1579367170,0,1
1579368987,0,1
1579370924,0,2
1579376742,0,1
1579378599,1,0
1579380752,1,1
1579382684,1,1
1579384597,0,1
1579386518,0,2
1579388769,0,2
1579392781,1,0
1579394661,0,1
1579396597,0,1
1579398529,2,0
1579400422,2,0
1579402339,1,0
1579404325,1,0
1579410395,1,2
1579416024,0,1
1579417982,1,0
1579421789,0,1
1579425631,1,1
1579429500,2,1
1579435508,0,2
1579441244,0,1
1579462841,1,0
1579464750,1,1
1579466681,0,1
1579468586,0,1
1579470513,1,0
1579478211,0,1
1579484189,0,2
1579486113,0,1
1579488021,0,2
1579490195,0,1
1579497855,0,1
1579505805,0,1
1579507963,1,0
1579511850,0,1
1579515620,0,2
1579544945,1,0
1579547110,1,0
1579549243,0,1
1579551167,1,1
1579557164,2,1
1579562924,1,0
1579565030,1,0
1579566976,1,0
1579568897,1,0
1579576612,1,0
1579584256,1,0
1579588101,1,0
1579594096,6,1
1579596018,5,0
1579597932,3,0
1579599855,1,0
1579601780,6,0
1579603720,1,0
1579605617,5,0
1579607538,5,0
1579609453,3,0
1579611374,7,0
1579613294,6,0
1579615357,4,0
1579617380,4,0
1579619575,5,0
1579621597,2,0
1579623622,4,0
1579625553,7,0
1579627471,4,0
1579629379,1,0
1579631302,1,1
1579634424,6,1
1579636360,4,0
1579638274,6,1
1579640176,4,0
1579642098,2,1
1579644325,2,1
1579646195,2,0
1579648117,6,0
1579650045,5,2
1579651945,4,0
1579653858,4,2
1579655804,3,0
1579657723,4,0
1579659640,6,0
1579661547,9,0
1579663483,1,1
1579665379,3,0
1579667556,2,0
1579669577,4,0
1579671405,6,1
1579673316,8,1
1579675235,3,0
1579677147,2,0
1579679074,3,3
1579680997,2,3
1579682903,2,6
1579684844,2,2
1579686743,0,2
1579688664,0,5
1579690591,3,1
1579692502,4,6
1579695396,6,6
1579697341,5,7
1579699230,5,6
1579701164,8,5
1579703114,1,2
1579704988,2,3
1579706930,3,5
1579709115,4,4
1579711241,1,4
1579713152,4,7
1579715098,8,1
1579716988,2,2
1579719149,5,1
1579721084,3,6
1579722999,9,4
1579724902,4,7
1579727162,1,2
1579728984,4,3
1579730944,5,2
1579732837,6,1
1579734741,4,6
1579736750,1,7
1579738580,4,3
1579740520,3,3
1579742482,1,3
1579744362,7,5
1579746271,1,5
1579748207,2,9
1579750102,2,1
1579752274,5,4
1579754178,1,2
1579756135,5,3
1579758054,0,6
1579759976,5,8
1579761893,3,3
1579763783,2,2
1579765720,1,3
1579767642,1,2
1579769563,4,3
1579771485,3,1
1579773378,6,0
1579775301,6,1
1579777556,0,4
1579779390,8,3
1579781576,3,3
1579783462,0,6
1579785434,1,2
1579787343,2,12
1579789244,3,1
1579791220,3,2
1579793066,1,3
1579795006,4,3
1579796907,1,2
1579799133,2,3
1579800985,2,7
1579802903,3,4
1579804824,3,4
1579807025,7,2
1579808903,7,8
1579810832,3,7
1579812748,1,1
1579814666,3,3
1579816600,2,5
1579818501,3,4
1579820777,4,7
1579822600,11,0
