DateTime,AddedIPs,RemovedIPs
1579229087,1,1
1579231012,1,0
1579232921,1,1
1579234842,1,2
1579236736,3,3
1579238682,1,2
1579240585,2,3
1579242751,0,1
1579244672,2,3
1579246598,0,2
1579248509,2,0
1579250416,1,2
1579252366,0,1
1579254255,1,1
1579256206,3,0
1579258119,1,1
1579260018,1,1
1579261954,1,2
1579263854,2,5
1579265776,0,1
1579267728,1,1
1579269754,0,3
1579271556,0,2
1579273551,0,1
1579275399,0,2
1579277312,0,2
1579279214,3,1
1579281416,3,0
1579283299,0,3
1579285228,1,3
1579287159,0,1
1579289105,2,3
1579291022,0,4
1579292917,2,3
1579295189,1,4
1579299417,3,3
1579301542,4,1
1579303497,1,3
1579305376,0,2
1579307613,0,3
1579309468,0,2
1579311394,2,2
1579313417,0,4
1579315279,0,1
1579317191,2,1
1579319057,3,0
1579320988,2,2
1579323143,1,3
1579325056,2,1
1579326995,3,2
1579328896,2,0
1579331803,0,2
1579333720,3,0
1579335894,3,3
1579341941,1,4
1579343795,1,0
1579345711,0,1
1579347634,1,1
1579349561,2,1
1579351537,0,2
1579353394,3,0
1579355356,2,1
1579357244,1,0
1579361063,2,0
1579363028,1,0
1579364903,1,3
1579367170,1,1
1579368988,1,2
1579370925,1,1
1579374760,0,2
1579376743,2,0
1579378599,2,1
1579380753,0,1
1579382684,2,1
1579384597,0,1
1579386519,4,3
1579388769,3,4
1579390585,1,0
1579392781,4,0
1579394662,2,0
1579396597,2,0
1579398529,1,2
1579400422,3,0
1579404326,0,3
1579406194,1,2
1579408122,0,3
1579410397,0,1
1579412201,2,2
1579414106,2,3
1579416024,6,1
1579417983,2,0
1579419868,0,3
1579421789,0,3
1579423739,1,0
1579427554,2,1
1579429501,1,0
1579431415,3,1
1579433315,4,1
1579435514,0,2
1579437414,1,0
1579439300,1,2
1579441244,2,3
1579443170,1,1
1579445079,1,0
1579446926,1,2
1579448958,1,1
1579450840,0,1
1579452746,2,1
1579454727,1,0
1579456584,0,2
1579458538,3,0
1579460738,6,0
1579462842,2,1
1579464750,2,3
1579466682,1,0
1579468587,0,2
1579470514,1,0
1579472457,1,1
1579474354,2,5
1579476263,0,1
1579478214,0,2
1579480118,0,5
1579482308,2,2
1579484189,0,1
1579486120,2,0
1579488022,0,3
1579492112,0,1
1579494044,2,0
1579497855,2,1
1579499727,1,3
1579501718,2,4
1579503809,2,4
1579505805,2,0
1579507963,1,0
1579509854,3,1
1579511851,1,0
1579513710,2,2
1579515620,0,1
1579517534,5,2
1579519483,0,5
1579521376,4,0
1579523329,3,1
1579525391,0,1
1579527644,2,2
1579529550,2,1
1579531459,0,1
1579533389,2,1
1579535306,1,1
1579539135,1,2
1579541080,1,1
1579542982,1,0
1579544946,1,3
1579547110,0,6
1579549244,2,2
1579551167,0,2
1579553072,1,1
1579557165,0,1
1579559060,3,1
1579560977,0,2
1579562924,3,0
1579565036,1,0
1579568897,2,2
1579570845,1,0
1579572766,1,2
1579574682,1,0
1579576612,2,0
1579578559,2,0
1579580419,2,1
1579582339,2,1
1579584257,1,2
1579586185,2,1
1579588101,1,2
1579590209,1,2
1579592182,2,2
1579594096,1,1
1579596018,0,3
1579597933,1,1
1579599855,1,2
1579601780,1,0
1579603720,2,5
1579605617,3,0
1579607539,4,4
1579609454,4,1
1579611374,2,2
1579613294,3,2
1579615368,2,1
1579617380,1,1
1579619595,1,1
1579621597,1,2
1579623622,1,0
1579625554,2,1
1579627471,3,1
1579629380,1,1
1579631303,4,1
1579634424,5,1
1579636361,3,1
1579638275,1,1
1579640176,1,0
1579644325,0,1
1579646195,2,2
1579648117,1,0
1579650046,2,3
1579651945,3,1
1579653858,2,2
1579655804,3,0
1579657724,2,1
1579659641,3,2
1579661547,0,1
1579663483,0,2
1579665379,1,1
1579667556,1,3
1579669577,2,2
1579671405,0,1
1579673316,0,1
1579675235,2,2
1579677147,2,0
1579679075,0,2
1579680997,2,1
1579684845,1,2
1579686743,2,0
1579688665,2,2
1579690591,0,2
1579692503,0,3
1579695397,1,7
1579697341,1,2
1579700187,0,5
1579702107,3,0
1579704032,2,2
1579705941,2,0
1579707874,1,1
1579709800,0,1
1579711698,3,2
1579713682,2,2
1579715557,4,2
1579717457,2,4
1579719389,1,3
1579721296,1,3
1579723391,1,3
1579725372,2,0
1579727345,1,1
1579729215,1,0
1579731139,1,0
1579733075,2,2
1579734974,5,1
1579737155,2,3
1579739060,1,4
1579741004,2,0
1579742895,2,3
1579745067,0,4
1579746970,1,1
1579748915,1,0
1579750814,0,1
1579754685,1,3
1579758497,2,0
1579760434,1,1
1579762344,1,3
1579764293,2,0
1579766181,0,2
1579768095,3,0
1579771981,1,2
1579773896,1,1
1579775775,3,2
1579779666,0,1
1579781576,1,0
1579783463,0,1
1579787343,0,1
1579789245,2,2
1579791220,0,3
1579793067,0,1
1579795007,2,1
1579796907,4,1
1579799133,2,3
1579800985,0,2
1579802903,0,4
1579804825,2,2
1579807025,1,1
1579808903,0,1
1579810833,1,1
1579812749,2,2
1579814666,1,0
1579816601,1,1
1579818501,1,2
1579820777,1,5
1579822600,3,2
1579824499,0,2
1579826420,3,1
1579828351,2,2
1579830258,1,1
1579832207,3,0
1579834126,2,1
1579836034,2,1
1579837946,1,0
1579839898,2,0
1579841809,1,1
1579843727,2,0
1579845933,1,2
1579847800,4,1
1579849725,1,1
1579851629,0,2
1579853554,1,1
1579855482,0,2
1579857424,2,1
1579861223,0,2
1579863146,0,2
1579866987,2,1
1579871157,1,0
1579873106,1,0
1579874947,2,1
1579876844,1,1
1579880803,2,2
1579882837,0,2
1579884743,1,3
1579886668,1,1
1579888609,1,0
