DateTime,Entries,UniqueIPs
1579229087,85,85
1579231012,86,86
1579232921,86,86
1579234842,85,85
1579236736,85,85
1579238682,84,84
1579240585,83,83
1579242751,82,82
1579244672,81,81
1579246598,79,79
1579248509,81,81
1579250416,80,80
1579252366,79,79
1579254255,79,79
1579256206,82,82
1579258119,82,82
1579260018,82,82
1579261954,81,81
1579263854,78,78
1579265776,77,77
1579267728,77,77
1579269754,74,74
1579271556,72,72
1579273551,71,71
1579275399,69,69
1579277312,67,67
1579279214,69,69
1579281416,72,72
1579283299,69,69
1579285228,67,67
1579287159,66,66
1579289105,65,65
1579291022,61,61
1579292917,60,60
1579295189,57,57
1579299417,57,57
1579301542,60,60
1579303497,58,58
1579305376,56,56
1579307613,53,53
1579309468,51,51
1579311394,51,51
1579313417,47,47
1579315279,46,46
1579317191,47,47
1579319057,50,50
1579320988,50,50
1579323143,48,48
1579325056,49,49
1579326995,50,50
1579328896,52,52
1579331803,50,50
1579333720,53,53
1579335894,53,53
1579341941,50,50
1579343795,51,51
1579345711,50,50
1579347634,50,50
1579349561,51,51
1579351537,49,49
1579353394,52,52
1579355356,53,53
1579357244,54,54
1579361063,56,56
1579363028,57,57
1579364903,55,55
1579367170,55,55
1579368988,54,54
1579370925,54,54
1579374760,52,52
1579376743,54,54
1579378599,55,55
1579380753,54,54
1579382684,55,55
1579384597,54,54
1579386519,55,55
1579388769,54,54
1579390585,55,55
1579392781,59,59
1579394662,61,61
1579396597,63,63
1579398529,62,62
1579400422,65,65
1579404326,62,62
1579406194,61,61
1579408122,58,58
1579410397,57,57
1579412201,57,57
1579414106,56,56
1579416024,61,61
1579417983,63,63
1579419868,60,60
1579421789,57,57
1579423739,58,58
1579427554,59,59
1579429501,60,60
1579431415,62,62
1579433315,65,65
1579435514,63,63
1579437414,64,64
1579439300,63,63
1579441244,62,62
1579443170,62,62
1579445079,63,63
1579446926,62,62
1579448958,62,62
1579450840,61,61
1579452746,62,62
1579454727,63,63
1579456584,61,61
1579458538,64,64
1579460738,70,70
1579462842,71,71
1579464750,70,70
1579466682,71,71
1579468587,69,69
1579470514,70,70
1579472457,70,70
1579474354,67,67
1579476263,66,66
1579478214,64,64
1579480118,59,59
1579482308,59,59
1579484189,58,58
1579486120,60,60
1579488022,57,57
1579492112,56,56
