DateTime,AddedIPs,RemovedIPs
1579123242,1,1
1579125175,2,0
1579127257,3,0
1579129633,0,1
1579133571,3,1
1579135480,1,2
1579137378,1,0
1579141242,4,0
1579143395,0,2
1579145580,1,0
1579147738,0,2
1579149625,0,2
1579151586,1,0
1579155652,0,2
1579161377,2,1
1579165505,1,0
1579167402,0,3
1579169304,1,0
1579171254,0,2
1579173173,1,1
1579179182,0,2
1579181061,1,0
1579183006,1,0
1579184936,3,1
1579187140,1,4
1579188986,1,1
1579190934,1,2
1579192844,0,2
1579194990,0,2
1579197150,2,0
1579201009,2,1
1579202904,1,0
1579205128,1,4
1579207022,1,2
1579208913,0,3
1579211073,0,2
1579213238,0,2
1579215143,0,1
1579217117,2,0
1579218982,2,1
1579221157,1,1
1579223146,1,1
1579224983,1,1
1579227155,24,1
1579231012,2,1
1579232922,2,0
1579234842,0,3
1579236736,1,0
1579238682,1,0
1579240585,0,1
1579244675,0,1
1579250417,0,2
1579252366,0,3
1579254255,0,1
1579256206,0,1
1579258120,2,0
1579260018,7,1
1579261954,1,1
1579263854,1,1
1579265776,0,1
1579269766,1,2
1579273966,1,1
1579275866,3,1
1579277792,0,1
1579279717,1,1
1579283777,0,1
1579287867,0,1
1579291728,1,1
1579293637,1,0
1579295797,3,0
1579297941,0,1
1579303947,0,3
1579305761,2,1
1579307632,6,1
1579309485,4,1
1579311394,3,0
1579313417,1,28
1579315280,1,0
1579317191,2,2
1579319057,1,0
1579320989,0,1
1579323144,1,1
1579325056,1,1
1579326996,0,1
1579331803,1,1
1579333720,2,0
1579335894,1,0
1579345712,0,1
1579347634,0,2
1579351538,1,0
1579353394,1,0
1579357244,0,1
1579359151,2,1
1579361064,0,2
1579363029,0,3
1579364903,0,1
1579368988,1,0
1579372853,1,2
1579376743,1,0
1579378599,1,2
1579380753,2,1
1579382685,1,1
1579384597,1,0
1579386519,2,1
1579388769,2,1
1579392781,2,1
1579394662,2,4
1579396597,0,1
1579398530,0,2
1579400422,1,0
1579402339,0,1
1579404326,1,0
1579408123,3,1
1579410397,0,1
1579412202,0,1
1579416025,1,1
1579417983,0,1
1579419868,0,1
1579423739,2,0
1579425631,4,0
1579427555,2,0
1579431415,0,1
1579433315,1,1
1579435519,2,1
1579437423,3,1
1579439300,1,0
1579441245,0,1
1579445079,2,1
1579446926,0,3
1579448959,1,3
1579450840,2,0
1579452746,2,1
1579454728,1,1
1579456585,1,0
1579458539,2,2
1579462842,0,6
1579464750,2,1
1579466682,2,0
1579468587,1,3
1579470514,2,0
1579472457,2,1
1579474355,1,1
1579476263,1,2
1579478215,1,0
1579480118,1,1
1579482309,3,1
1579484189,0,1
1579486121,0,1
1579488022,2,1
1579490195,0,2
1579492113,1,1
1579494045,4,1
1579495939,2,0
1579501719,3,0
1579505806,1,0
1579507964,2,0
1579509855,1,1
1579511851,0,3
1579513710,0,4
1579515620,2,3
1579521377,0,1
1579523329,0,3
1579525408,2,0
1579527644,0,2
1579529551,1,1
1579531459,1,3
1579535307,0,1
1579537231,1,1
1579539135,0,2
1579541080,3,1
1579542982,0,1
1579544946,3,1
1579547110,1,0
1579549244,1,0
1579551167,1,2
1579553073,1,0
1579555003,0,1
1579557165,3,2
1579559061,2,2
1579560977,3,2
1579562925,10,0
1579565043,2,1
1579566977,1,1
1579568898,1,1
1579570845,1,0
1579574682,1,2
1579576612,1,0
1579578560,2,0
1579580419,2,2
1579582371,2,2
