DateTime,AddedIPs,RemovedIPs
1579317192,7,9
1579319058,5,6
1579320989,11,3
1579323145,14,9
1579325057,7,7
1579326996,7,7
1579328897,13,3
1579331804,24,16
1579333721,15,2
1579335895,7,24
1579337816,42,3
1579339712,11,3
1579341942,9,1
1579343796,18,3
1579345713,13,2
1579347657,14,5
1579349562,16,3
1579351538,16,6
1579353395,12,1
1579355357,15,4
1579357244,13,3
1579359152,12,2
1579361064,8,22
1579363030,14,6
1579364904,12,9
1579367171,13,6
1579368989,15,6
1579370926,10,6
1579372854,12,8
1579374761,6,10
1579376744,6,10
1579378600,9,9
1579380754,9,14
1579382685,12,8
1579384598,5,4
1579386520,9,4
1579388770,2,4
1579390586,4,2
1579392782,5,3
1579394663,2,4
1579396598,4,3
1579398531,4,0
1579400423,3,3
1579402340,3,3
1579404327,7,4
1579406196,12,7
1579408123,8,9
1579410399,12,6
1579412202,11,8
1579414107,7,7
1579416026,10,11
1579417984,7,14
1579419869,10,13
1579421790,9,14
1579423740,7,16
1579425632,13,14
1579427556,15,5
1579429502,14,11
1579431416,14,10
1579433316,3,15
1579435520,7,9
1579437424,9,16
1579439301,3,9
1579441245,5,12
1579443172,2,16
1579445080,4,13
1579446927,16,6
1579448959,9,9
1579450841,7,19
1579452747,8,11
1579454728,6,12
1579456585,4,16
1579458540,5,8
1579460740,5,15
1579462843,5,10
1579464751,5,12
1579466683,5,10
1579468588,5,7
1579470515,10,7
1579472458,8,16
1579474356,9,8
1579476264,6,4
1579478216,8,3
1579480119,8,5
1579482310,7,5
1579484190,4,5
1579486122,8,2
1579488023,5,4
1579490196,7,13
1579492113,7,12
1579494045,6,9
1579495940,7,8
1579497856,8,10
1579499728,5,12
1579501719,11,7
1579503886,15,13
1579505807,11,13
1579507965,23,14
1579509855,22,10
1579511852,13,13
1579513711,12,13
1579515621,10,16
1579517535,9,19
1579519484,10,4
1579521377,9,4
1579523330,12,11
1579525457,8,4
1579527645,13,6
1579529551,15,3
1579531460,11,2
1579533390,5,11
1579535307,4,10
1579537232,8,12
1579539136,7,8
1579541081,4,6
1579542983,6,7
1579544948,4,3
1579547111,5,7
1579549245,1,9
1579551168,0,6
1579553074,1,7
1579555004,2,5
1579557166,3,13
1579559062,3,9
1579560978,4,13
1579562925,1,3
1579565059,1,6
1579566978,0,8
1579568899,0,4
1579570846,4,3
1579572767,2,7
1579574683,1,6
1579576613,14,9
1579578560,2,8
1579580433,4,5
1579582372,12,7
1579584257,7,5
1579586185,9,6
1579588102,7,7
1579590270,14,16
1579592183,21,14
1579594097,8,24
1579596019,11,19
1579597933,14,8
1579599856,22,13
1579601781,12,9
1579603721,7,3
1579605618,8,15
1579607540,5,13
1579609454,9,11
1579611375,2,11
1579613295,8,16
1579615405,5,6
1579617381,8,19
1579619618,11,7
1579621598,5,2
1579623623,6,5
1579625555,11,6
1579627472,4,9
1579629380,7,13
1579631303,15,9
1579634425,17,7
1579636361,6,2
1579638275,6,0
1579640177,11,1
1579642099,4,1
1579644328,12,5
1579646196,4,4
1579648118,7,2
1579650046,18,0
1579651946,23,1
1579653859,16,1
1579655805,8,2
1579657724,13,3
1579659642,5,1
1579661548,8,0
1579663484,8,24
1579665380,5,4
1579667588,12,10
1579669579,5,4
1579671406,7,11
1579673317,9,8
1579675236,11,12
1579677148,12,18
1579679077,5,18
1579680998,7,10
1579682904,9,11
1579684846,4,17
1579686744,5,19
1579688665,9,8
1579690592,11,6
1579692503,7,5
1579695398,16,9
1579697342,13,9
1579699262,16,5
1579701165,12,2
1579703116,5,8
1579704989,16,11
1579706931,8,8
1579709117,12,9
1579711242,13,10
1579713153,11,7
1579715099,20,7
1579716989,17,10
1579719150,25,13
1579721085,17,8
1579723000,16,2
1579724904,17,3
1579727163,39,10
1579728985,19,7
1579730946,18,7
1579732838,24,6
1579734742,15,5
1579736750,23,25
1579738581,18,18
1579740521,20,14
1579742483,12,10
1579744363,21,13
1579746272,10,7
1579748208,15,2
1579750103,16,10
1579752275,26,9
1579754179,10,11
1579756136,19,6
1579758054,21,11
1579759977,15,9
1579761894,14,7
1579763784,7,16
1579765722,13,8
1579767643,10,6
1579769564,14,6
1579771486,29,4
1579773380,17,2
1579775302,14,4
1579777557,13,18
1579779391,9,4
1579781577,17,12
1579783464,11,11
1579785435,20,13
1579787344,12,14
1579789246,14,5
1579791221,12,7
1579793069,8,13
1579795008,12,5
1579796908,13,11
1579799141,11,11
1579800986,16,15
1579802905,17,17
1579804826,14,11
1579807026,7,23
1579808904,7,13
1579810834,13,16
1579812749,9,20
1579814667,8,18
1579816602,10,17
1579818502,15,12
1579820779,17,24
1579822601,14,18
1579824500,9,24
1579826421,9,18
1579828351,7,16
1579830259,14,17
1579832207,13,10
1579834127,11,8
1579836034,6,22
1579837947,14,24
1579839899,8,14
1579841810,13,11
1579843727,14,19
1579845934,15,23
1579847801,7,5
1579849726,3,27
1579851630,9,13
1579853555,5,16
1579855483,4,19
1579857425,7,33
1579859324,12,17
1579861224,9,14
