DateTime,Entries,UniqueIPs
1579317192,556,556
1579319058,555,555
1579320989,563,563
1579323145,568,568
1579325057,568,568
1579326996,568,568
1579328897,578,578
1579331804,586,586
1579333721,599,599
1579335895,582,582
1579337816,621,621
1579339712,629,629
1579341942,637,637
1579343796,652,652
1579345713,663,663
1579347657,672,672
1579349562,685,685
1579351538,695,695
1579353395,706,706
1579355357,717,717
1579357244,727,727
1579359152,737,737
1579361064,723,723
1579363030,731,731
1579364904,734,734
1579367171,741,741
1579368989,750,750
1579370926,754,754
1579372854,758,758
1579374761,754,754
1579376744,750,750
1579378600,750,750
1579380754,745,745
1579382685,749,749
1579384598,750,750
1579386520,755,755
1579388770,753,753
1579390586,755,755
1579392782,757,757
1579394663,755,755
1579396598,756,756
1579398531,760,760
1579400423,760,760
1579402340,760,760
1579404327,763,763
1579406196,768,768
1579408123,767,767
1579410399,773,773
1579412202,776,776
1579414107,776,776
1579416026,775,775
1579417984,768,768
1579419869,765,765
1579421790,760,760
1579423740,751,751
1579425632,750,750
1579427556,760,760
1579429502,763,763
1579431416,767,767
1579433316,755,755
1579435520,753,753
1579437424,746,746
1579439301,740,740
1579441245,733,733
1579443172,719,719
1579445080,710,710
1579446927,720,720
1579448959,720,720
1579450841,708,708
1579452747,705,705
1579454728,699,699
1579456585,687,687
1579458540,684,684
1579460740,674,674
1579462843,669,669
1579464751,662,662
1579466683,657,657
1579468588,655,655
1579470515,658,658
1579472458,650,650
1579474356,651,651
1579476264,653,653
1579478216,658,658
1579480119,661,661
1579482310,663,663
1579484190,662,662
1579486122,668,668
1579488023,669,669
1579490196,663,663
1579492113,658,658
1579494045,655,655
1579495940,654,654
1579497856,652,652
1579499728,645,645
1579501719,649,649
1579503886,651,651
1579505807,649,649
1579507965,658,658
1579509855,670,670
1579511852,670,670
1579513711,669,669
1579515621,663,663
1579517535,653,653
1579519484,659,659
1579521377,664,664
1579523330,665,665
1579525457,669,669
1579527645,676,676
1579529551,688,688
1579531460,697,697
1579533390,691,691
1579535307,685,685
1579537232,681,681
1579539136,680,680
1579541081,678,678
1579542983,677,677
1579544948,678,678
1579547111,676,676
1579549245,668,668
1579551168,662,662
1579553074,656,656
1579555004,653,653
1579557166,643,643
1579559062,637,637
1579560978,628,628
1579562925,626,626
1579565059,621,621
1579566978,613,613
1579568899,609,609
1579570846,610,610
1579572767,605,605
1579574683,600,600
1579576613,605,605
1579578560,599,599
1579580433,598,598
1579582372,603,603
1579584257,605,605
1579586185,608,608
1579588102,608,608
1579590270,606,606
1579592183,613,613
1579594097,597,597
1579596019,589,589
1579597933,595,595
1579599856,604,604
1579601781,607,607
1579603721,611,611
1579605618,604,604
1579607540,596,596
1579609454,594,594
1579611375,585,585
1579613295,577,577
1579615405,576,576
1579617381,565,565
1579619618,569,569
1579621598,572,572
1579623623,573,573
1579625555,578,578
1579627472,573,573
1579629380,567,567
1579631303,573,573
1579634425,583,583
1579636361,587,587
1579638275,593,593
1579640177,603,603
1579642099,606,606
1579644328,613,613
1579646196,613,613
1579648118,618,618
1579650046,636,636
1579651946,658,658
1579653859,673,673
1579655805,679,679
1579657724,689,689
1579659642,693,693
1579661548,701,701
1579663484,685,685
1579665380,686,686
1579667588,688,688
1579669579,689,689
1579671406,685,685
1579673317,686,686
1579675236,685,685
1579677148,679,679
1579679077,666,666
1579680998,663,663
1579682904,661,661
1579684846,648,648
1579686744,634,634
1579688665,635,635
1579690592,640,640
1579692503,642,642
1579695398,649,649
1579697342,653,653
1579699262,664,664
1579701165,674,674
1579703116,671,671
1579704989,676,676
1579706931,676,676
1579709117,679,679
1579711242,682,682
1579713153,686,686
1579715099,699,699
1579716989,706,706
1579719150,718,718
1579721085,727,727
1579723000,741,741
1579724904,755,755
1579727163,784,784
1579728985,796,796
1579730946,807,807
1579732838,825,825
1579734742,835,835
1579736750,833,833
1579738581,833,833
1579740521,839,839
1579742483,841,841
1579744363,849,849
1579746272,852,852
1579748208,865,865
1579750103,871,871
1579752275,888,888
1579754179,887,887
1579756136,900,900
1579758054,910,910
1579759977,916,916
1579761894,923,923
1579763784,914,914
1579765722,919,919
1579767643,923,923
1579769564,931,931
1579771486,956,956
1579773380,971,971
1579775302,981,981
1579777557,976,976
1579779391,981,981
1579781577,986,986
1579783464,986,986
1579785435,993,993
1579787344,991,991
1579789246,1000,1000
1579791221,1005,1005
1579793069,1000,1000
1579795008,1007,1007
1579796908,1009,1009
1579799141,1009,1009
1579800986,1010,1010
1579802905,1010,1010
