DateTime,AddedIPs,RemovedIPs
1579651548,8,8
1579653011,9,8
1579654532,8,1
1579655651,8,6
1579656489,4,0
1579657333,4,15
1579659252,8,6
1579660931,7,14
1579661769,2,0
1579662915,4,8
1579664015,62,11
1579665310,5,52
1579666513,7,15
1579668132,10,14
1579669819,13,4
1579671734,12,14
1579672570,1,3
1579673652,9,7
1579674912,15,11
1579676023,2,3
1579677251,0,20
1579678575,9,9
1579680031,4,7
1579681212,3,1
1579682413,3,15
1579683372,16,2
1579684452,6,4
1579685306,2,0
1579686972,8,11
1579688051,2,5
1579689730,10,17
1579691348,16,8
1579692502,10,1
1579693810,4,11
1579695011,7,10
1579696929,10,10
1579698611,9,8
1579700530,15,20
1579702454,9,7
1579703580,9,14
1579704969,16,3
1579706112,7,12
1579706890,2,1
1579709649,14,22
1579710497,3,0
1579711809,9,16
1579713251,5,5
1579714381,9,14
1579715675,10,4
1579716849,4,6
1579717990,14,6
1579719312,17,1
1579720451,19,5
1579721292,16,2
1579722132,21,5
1579722968,9,1
1579724112,27,9
1579725731,36,13
1579726574,19,1
1579727708,0,1424
1579729329,1469,0
1579730168,0,1469
1579731316,1496,0
1579732091,11,1
1579733409,27,7
1579734848,15,3
1579735692,10,0
1579737053,23,6
1579738452,18,2
1579739709,16,4
1579741419,20,5
1579743610,27,7
1579744834,21,3
1579745653,10,0
1579746753,14,5
1579748113,13,2
1579749313,20,5
1579750932,51,13
1579751770,9,16
1579752913,19,12
1579753692,3,2
1579754532,7,13
1579756221,8,18
1579757412,10,7
1579759060,13,3
1579760413,10,9
1579761730,5,14
1579763653,16,7
1579764490,3,0
1579765334,2,18
1579766169,6,1
1579767271,5,9
1579768510,10,17
1579769710,7,6
1579770840,4,6
1579772418,6,18
1579773984,8,11
1579775111,9,1
1579776969,12,20
1579778115,5,14
1579779313,3,13
1579781415,10,11
1579783333,12,13
1579784168,3,0
1579785253,10,10
1579786644,14,9
1579787741,7,4
1579788849,4,11
1579790532,16,12
1579792068,7,8
1579793415,12,6
1579794611,9,0
1579795786,10,2
1579796053,1,0
1579797311,6,6
1579798436,0,1703
1579799649,1708,0
1579800488,4,0
