DateTime,AddedIPs,RemovedIPs
1579645819,7,9
1579647373,8,3
1579648517,4,5
1579649293,7,0
1579650135,2,5
1579651552,7,8
1579653016,9,8
1579654537,7,1
1579655655,8,5
1579656494,4,0
1579657337,4,15
1579659256,8,6
1579660936,7,14
1579661773,2,0
1579662920,3,8
1579664022,60,11
1579665315,5,50
1579666517,7,14
1579668137,10,13
1579669823,13,4
1579671739,12,14
1579672574,1,3
1579673656,9,6
1579674916,14,11
1579676027,2,3
1579677256,0,19
1579678581,8,9
1579680037,4,7
1579681217,3,1
1579682418,4,16
1579683376,14,1
1579684457,6,4
1579685314,2,0
1579686976,8,11
1579688056,2,4
1579689734,8,16
1579691352,16,8
1579692507,10,1
1579693815,4,11
1579695016,7,10
1579696933,10,10
1579698616,9,8
1579700535,15,20
1579702458,9,7
1579703586,9,13
1579704974,14,3
1579706117,6,12
1579706894,2,1
1579709654,13,22
1579710502,4,0
1579711814,7,16
1579713256,5,5
1579714391,9,14
1579715679,9,4
1579716854,4,6
1579717996,14,6
1579719317,16,1
1579720455,19,5
1579721296,16,1
1579722137,21,5
1579722972,9,1
1579724117,27,9
1579725735,36,13
1579726578,19,1
1579727725,29,5
1579729333,31,11
1579730172,13,0
1579731320,25,11
1579732095,11,1
1579733414,24,7
1579734854,15,3
1579735696,10,0
1579737058,23,6
1579738457,18,2
1579739713,16,3
1579741424,20,5
1579743615,27,7
1579744838,21,3
1579745657,10,0
1579746758,14,4
1579748117,14,2
1579749318,19,5
1579750937,51,12
1579751775,10,16
1579752917,18,11
1579753696,3,2
1579754537,7,13
1579756226,7,18
1579757416,10,7
1579759065,13,3
1579760418,9,9
1579761735,5,14
1579763658,15,7
1579764494,3,0
1579765338,2,16
1579766174,5,1
1579767275,5,8
1579768517,9,16
1579769715,7,6
1579770849,3,7
1579772423,6,18
1579773988,8,11
1579775115,8,1
1579776974,10,20
1579778118,5,14
1579779318,2,13
1579781419,10,11
1579783338,12,13
1579784173,3,0
1579785257,9,9
1579786649,14,9
1579787745,6,4
1579788853,4,11
1579790537,14,12
1579792073,7,8
1579793419,12,6
1579794615,10,0
1579795790,6,2
1579796058,1,0
1579797315,5,6
1579798441,4,3
1579799654,6,7
1579800493,3,0
1579801336,2,12
1579803256,18,10
1579804513,4,20
1579805683,4,7
1579807694,6,6
1579809313,6,13
1579810515,4,7
1579812136,8,20
1579812972,5,0
1579814055,2,16
1579815618,11,20
1579816575,4,0
1579818493,12,5
1579821253,16,7
1579822111,3,0
1579824616,11,19
1579826538,10,12
1579827375,3,1
1579828457,8,9
1579830134,7,9
1579831235,4,1
1579832416,4,0
1579833748,8,9
1579834573,4,0
1579835654,4,6
1579836494,2,0
1579838176,29,9
1579839319,16,12
1579840097,2,2
1579842623,12,17
1579843820,2,19
1579845377,10,1
1579846473,3,3
1579848021,3,8
1579848974,7,0
1579850055,1,4
1579851735,7,10
1579852575,1,1
1579853657,2,11
1579854495,3,0
1579855336,3,10
1579856174,9,0
1579857319,6,4
1579859256,3,10
1579860617,6,8
1579862538,11,23
1579864456,12,9
1579865294,9,0
1579866974,13,8
1579868057,9,10
1579869236,8,20
1579870514,2,3
1579871717,6,6
1579873218,12,17
1579874176,3,0
1579875256,4,7
1579876488,9,17
1579877832,6,4
1579879216,7,9
1579880416,7,10
1579881373,5,0
1579882520,6,6
