DateTime,AddedIPs,RemovedIPs
1579521534,7,3
1579524136,1,2
1579526054,3,1
1579527577,2,2
1579528935,1,3
1579529652,1,0
1579531334,0,3
1579533254,1,1
1579534109,1,0
1579534948,0,1
1579536613,0,1
1579537816,0,1
1579541290,2,1
1579543411,2,2
1579546068,0,2
1579547650,1,1
1579549333,0,4
1579551315,1,3
1579552512,1,1
1579554611,2,5
1579555818,0,2
1579557312,0,2
1579558514,0,2
1579560144,1,3
1579562053,1,2
1579562887,1,0
1579563735,0,1
1579565652,1,0
1579566494,1,0
1579567621,1,4
1579568842,1,1
1579570933,1,7
1579572855,1,1
1579573691,1,0
1579574545,2,3
1579576456,3,3
1579577625,5,5
1579578974,4,4
1579580109,1,5
1579583714,1,4
1579585343,1,4
1579586986,5,1
1579588933,3,10
1579590853,3,0
1579591695,1,0
1579592550,1,4
1579593979,0,4
1579595372,1,1
1579596149,0,1
1579597240,3,0
1579598414,3,0
1579599610,1,1
1579601654,2,4
1579603335,4,2
1579605021,2,2
1579606932,2,2
1579608872,1,1
1579610325,2,4
1579611372,2,0
1579612455,1,1
1579613878,0,1
1579615038,0,2
1579616897,0,2
1579617736,0,2
1579619413,2,1
1579622173,1,2
1579623254,3,1
1579624932,0,2
1579628543,1,0
1579629370,1,1
1579630513,1,4
1579631914,2,3
1579633815,0,1
1579635732,0,4
1579637654,2,1
1579640274,0,3
1579641611,1,1
1579642769,5,1
1579644617,0,1
1579645817,2,2
1579647371,1,1
1579648514,0,2
1579650133,1,6
1579651550,3,1
1579653013,3,5
1579654534,5,2
1579655653,0,3
1579657334,3,4
1579659254,3,3
1579660933,4,3
1579661771,1,0
1579662918,3,1
1579664018,3,6
1579665312,1,2
1579666515,1,3
1579668135,2,5
1579669820,2,0
1579671736,4,6
1579672572,3,0
1579673654,3,3
1579674913,1,3
1579676025,0,1
1579677253,2,1
1579678579,4,1
1579680034,2,3
1579682415,2,7
1579683374,1,0
1579684454,2,3
1579685309,1,0
1579686974,2,2
1579688053,1,2
1579689732,6,1
1579691350,4,5
1579692504,1,0
1579693812,0,1
1579695013,1,4
1579696931,1,3
1579698613,1,1
1579700533,1,3
1579702455,3,0
1579703581,0,2
1579706114,1,0
1579709651,1,3
1579711811,1,2
1579713253,0,2
1579715677,4,0
1579716851,1,0
1579719314,1,0
1579720452,1,0
1579722134,1,0
1579722970,1,0
1579724115,1,1
1579725732,3,1
1579727722,1,0
1579729331,1,0
1579730170,1,0
1579733411,1,0
1579734851,0,1
1579735694,1,0
1579737055,1,3
1579738454,4,1
1579739711,3,1
1579741421,3,1
1579743612,2,2
1579744836,2,1
1579745654,2,0
1579746756,2,2
1579748114,2,1
1579749315,3,4
1579750933,1,2
1579752914,0,1
1579753694,1,0
1579754534,1,4
1579756223,5,3
1579757414,1,2
1579759062,5,0
1579760415,1,3
1579761732,3,6
1579763655,4,1
1579764491,2,0
1579765336,0,2
1579766171,2,0
1579767272,4,2
1579768513,1,3
1579769712,4,1
1579770842,3,3
1579772420,1,8
1579773985,4,0
1579776971,3,2
1579778116,3,1
1579779315,0,4
1579781417,5,2
1579783335,0,1
1579785254,1,0
1579787743,1,0
1579788851,1,3
1579790534,3,2
1579793417,3,0
1579794613,1,0
1579795787,0,1
1579797312,0,1
1579798438,1,0
1579799651,2,2
1579800490,1,0
1579801333,0,4
1579803253,2,0
1579804511,2,1
1579805680,1,0
1579807691,1,0
1579809311,1,1
1579810513,1,1
1579812134,1,5
1579812970,1,0
1579814052,2,1
1579815615,2,1
1579816572,1,0
1579818490,0,1
1579821251,2,2
1579824613,3,3
1579826536,1,3
1579827372,2,0
1579828454,3,2
1579830131,1,4
1579831232,2,3
1579832414,3,0
1579833746,2,4
1579835651,1,1
1579836491,1,0
1579838174,4,5
1579839316,3,2
1579840095,1,0
1579842620,4,5
1579843818,1,5
1579845374,2,1
1579846470,1,2
1579848018,2,3
1579848971,1,0
1579850052,1,4
1579851733,2,4
1579853655,2,2
1579855333,1,3
1579856171,1,0
1579857316,0,2
1579859254,2,5
1579860615,4,4
1579862535,1,1
1579866972,4,2
1579868055,0,1
1579869233,0,1
1579870512,0,1
1579873215,0,1
1579874173,2,0
1579875253,1,0
1579876485,0,1
1579879214,1,1
1579880414,0,1
1579881371,3,0
1579882518,1,0
1579883711,2,0
1579884971,0,1
1579887734,0,1
1579889653,1,2
1579890916,1,1
1579893255,1,0
1579894097,1,0
1579895325,1,3
1579896853,2,0
1579899372,0,2
1579900515,1,1
1579901292,1,0
1579902140,0,2
1579904054,2,1
1579905733,1,4
1579907654,3,2
1579908912,1,3
1579910114,0,1
1579911255,2,1
1579912404,1,5
1579914260,2,1
1579916534,2,2
1579917371,1,0
1579918452,1,1
1579920132,1,5
1579922053,1,0
1579923324,4,2
1579924572,2,1
1579926492,1,4
1579928112,0,3
1579929255,3,5
1579930942,4,2
1579932915,1,4
1579934115,2,1
1579935632,1,6
1579936454,2,0
1579938014,2,4
1579939801,2,4
1579941733,0,2
1579942574,1,0
1579943746,2,4
1579945332,2,3
1579947252,4,3
1579950622,4,7
1579951700,2,0
1579952799,2,7
1579956133,0,2
1579956973,3,0
1579958112,1,1
1579959616,2,2
1579961714,3,0
1579963332,3,1
1579965014,0,1
1579966933,2,1
1579968852,0,1
