DateTime,Entries,UniqueIPs
1579521534,305,305
1579524136,304,304
1579526054,306,306
1579527577,306,306
1579528935,304,304
1579529652,305,305
1579531334,302,302
1579533254,302,302
1579534109,303,303
1579534948,302,302
1579536613,301,301
1579537816,300,300
1579541290,301,301
1579543411,301,301
1579546068,299,299
1579547650,299,299
1579549333,295,295
1579551315,293,293
1579552512,293,293
1579554611,290,290
1579555818,288,288
1579557312,286,286
1579558514,284,284
1579560144,282,282
1579562053,281,281
1579562887,282,282
1579563735,281,281
1579565652,282,282
1579566494,283,283
1579567621,280,280
1579568842,280,280
1579570933,274,274
1579572855,274,274
1579573691,275,275
1579574545,274,274
1579576456,274,274
1579577625,274,274
1579578974,274,274
1579580109,270,270
1579583714,267,267
1579585343,264,264
1579586986,268,268
1579588933,261,261
1579590853,264,264
1579591695,265,265
1579592550,262,262
1579593979,258,258
1579595372,258,258
1579596149,257,257
1579597240,260,260
1579598414,263,263
1579599610,263,263
1579601654,261,261
1579603335,263,263
1579605021,263,263
1579606932,263,263
1579608872,263,263
1579610325,261,261
1579611372,263,263
1579612455,263,263
1579613878,262,262
1579615038,260,260
1579616897,258,258
1579617736,256,256
1579619413,257,257
1579622173,256,256
1579623254,258,258
1579624932,256,256
1579628543,257,257
1579629370,257,257
1579630513,254,254
1579631914,253,253
1579633815,252,252
1579635732,248,248
1579637654,249,249
1579640274,246,246
1579641611,246,246
1579642769,250,250
1579644617,249,249
1579645817,249,249
1579647371,249,249
1579648514,247,247
1579650133,242,242
1579651550,244,244
1579653013,242,242
1579654534,245,245
1579655653,242,242
1579657334,241,241
1579659254,241,241
1579660933,242,242
1579661771,243,243
1579662918,245,245
1579664018,242,242
1579665312,241,241
1579666515,239,239
1579668135,236,236
1579669820,238,238
1579671736,236,236
1579672572,239,239
1579673654,239,239
1579674913,237,237
1579676025,236,236
1579677253,237,237
1579678579,240,240
1579680034,239,239
1579682415,234,234
1579683374,235,235
1579684454,234,234
1579685309,235,235
1579686974,235,235
1579688053,234,234
1579689732,239,239
1579691350,238,238
1579692504,239,239
1579693812,238,238
1579695013,235,235
1579696931,233,233
1579698613,233,233
1579700533,231,231
1579702455,234,234
1579703581,232,232
1579706114,233,233
1579709651,231,231
1579711811,230,230
1579713253,228,228
1579715677,232,232
1579716851,233,233
1579719314,234,234
1579720452,235,235
1579722134,236,236
1579722970,237,237
1579724115,237,237
1579725732,239,239
