DateTime,AddedIPs,RemovedIPs
1579647367,55,26
1579648507,38,48
1579649287,37,3
1579650128,34,73
1579651546,52,44
1579653007,60,54
1579654530,66,25
1579655649,38,47
1579656487,34,4
1579657330,34,73
1579659249,59,35
1579660927,58,81
1579661767,26,2
1579662912,36,29
1579664011,42,105
1579665308,87,23
1579666509,42,32
1579668128,40,81
1579669817,49,46
1579671729,56,82
1579672568,41,5
1579673650,45,55
1579674909,40,58
1579676021,44,21
1579677249,34,49
1579678572,34,48
1579680028,53,92
1579681210,33,7
1579682408,41,83
1579683369,46,0
1579684449,40,36
1579685288,28,5
1579686967,55,72
1579688048,35,60
1579689728,77,83
1579691346,52,33
1579692500,53,4
1579693808,58,81
1579695008,48,37
1579696927,284,58
1579698608,79,35
1579700528,82,70
1579702450,64,47
1579703578,44,47
1579704967,41,16
1579706109,36,39
1579706888,29,6
1579709647,97,95
1579711807,58,54
1579713247,43,35
1579714379,25,49
1579715673,32,17
1579716847,35,24
1579717985,36,57
1579719308,36,30
1579720448,28,32
1579721287,25,2
1579722128,22,57
1579722966,22,3
1579724108,41,41
1579725728,40,51
1579726571,24,3
1579728908,75,73
1579729327,11,8
1579730167,28,2
1579731311,36,30
1579732087,22,4
1579733407,29,58
1579734846,34,33
1579735689,28,5
1579737051,31,58
1579738449,36,40
1579739706,26,38
1579741417,47,52
1579743608,64,58
1579744830,31,34
1579745648,19,1
1579746751,27,45
1579748109,26,21
1579749308,29,30
1579750929,44,91
1579751768,38,1
1579752909,29,31
1579753688,22,5
1579754530,25,83
1579756219,39,27
1579757409,21,54
1579759058,50,19
1579760411,22,30
1579761728,28,88
1579763648,56,35
1579764487,22,4
1579765328,24,68
1579766167,16,2
1579767268,52,58
1579768507,48,57
1579769707,39,22
1579770838,53,42
1579772413,38,70
1579773982,54,47
1579775109,28,4
1579776967,64,94
1579778111,42,34
1579779310,40,55
1579781412,63,73
1579783330,55,65
1579784167,24,4
1579785250,23,40
1579786642,29,65
1579787739,29,22
1579788847,28,35
1579790529,50,62
1579792066,47,53
1579793412,36,47
1579794609,38,18
1579795783,34,48
1579796051,2,0
1579797308,36,49
1579799647,63,54
1579800486,21,2
1579801329,30,61
1579803248,57,38
1579804507,36,55
1579805677,31,32
1579807687,62,43
1579809308,64,52
1579810508,32,33
1579812127,41,64
1579812966,30,2
1579814048,26,28
1579815610,49,74
1579816568,24,11
1579818487,69,37
1579821247,75,111
1579822102,35,5
1579824609,73,117
1579826532,73,69
1579827368,22,4
1579828448,43,25
1579830127,71,86
1579831226,42,35
1579832409,27,4
1579833727,22,58
1579834567,22,4
1579835647,31,37
1579836488,23,3
1579838168,60,74
1579839308,30,42
1579840091,17,4
1579842617,61,94
1579843811,32,63
1579845370,34,28
1579846463,36,36
1579848010,37,58
1579848967,12,4
1579850047,39,47
1579851728,75,68
1579852567,28,2
1579853651,32,95
1579854488,28,5
1579855327,20,73
1579856167,33,3
1579857308,23,43
1579858089,21,3
1579859250,43,81
1579860608,35,41
1579862529,51,75
1579864449,59,33
1579865287,25,4
1579866968,48,259
1579868050,42,95
1579869228,27,57
1579870508,31,20
1579871709,26,41
1579873211,35,59
1579874169,26,4
1579875249,31,39
1579876482,26,42
1579877821,33,24
1579879207,27,41
1579880406,33,52
1579881367,26,3
1579882513,40,32
1579883707,37,47
1579884967,42,18
1579886887,55,40
1579887729,21,59
1579889648,49,35
1579890908,31,37
1579893249,73,54
1579894093,17,4
1579895321,23,64
1579896849,45,29
1579897686,15,4
1579899368,50,62
1579900509,27,36
1579901288,13,4
1579902136,16,56
1579904050,39,27
1579905728,52,34
1579907650,53,34
1579908908,42,37
1579910108,27,15
1579911250,37,27
1579912399,37,42
1579914256,43,47
1579914847,16,3
1579916529,54,60
1579917367,24,1
1579918447,31,27
1579920127,49,53
1579922047,48,37
1579923320,39,85
1579924568,57,27
1579926488,58,35
1579928108,39,61
1579929249,27,33
1579930938,50,51
1579931768,20,4
1579932908,26,33
1579934111,29,33
1579935626,42,43
1579936449,22,1
1579938007,36,75
1579939797,45,39
1579940047,2,2
1579941728,47,71
1579942568,22,2
1579943743,36,27
1579945328,39,59
1579947248,54,38
1579950619,92,115
1579951692,26,2
1579952794,25,64
1579954448,46,36
1579956128,54,50
1579956968,22,5
1579958108,47,32
1579959609,52,58
1579960568,22,3
1579961708,23,34
1579963328,44,78
1579965008,46,43
1579966927,33,72
1579967767,16,4
1579968848,28,24
1579970410,31,86
1579971367,12,4
1579972447,28,30
1579973286,17,3
1579974130,20,61
1579974967,23,4
1579976110,26,38
1579977309,27,59
1579978568,39,24
1579979708,37,26
1579981330,32,62
1579982483,30,34
1579983609,33,9
1579984808,29,58
1579986850,62,30
1579987689,19,3
1579988531,20,59
1579989367,24,8
1579990448,35,33
1579991287,15,2
1579992127,19,52
1579994047,44,49
1579995728,41,65
1579997648,50,38
1579998488,16,1
1580001308,76,100
1580002928,33,46
1580004618,39,20
1580007984,81,99
1580009293,24,8
1580010798,25,60
1580012109,39,32
1580013908,43,49
1580015417,28,29
1580017331,34,49
1580019008,42,26
1580020211,32,45
1580021770,48,44
1580022909,23,37
1580024011,32,49
1580025262,30,15
1580026508,34,60
1580027707,41,43
1580028966,38,23
1580030048,26,32
1580030887,12,0
1580032481,28,50
1580033709,21,22
1580034911,39,48
1580036108,21,22
1580037298,34,28
1580038087,25,7
1580039700,36,78
1580040908,30,43
1580042528,40,60
1580046127,92,106
1580047246,18,32
1580048887,41,2
1580049727,14,60
1580050567,12,4
1580051648,22,40
1580052487,16,6
1580054127,35,71
1580054426,8,37
1580055248,10,4
1580056507,75,42
1580058848,264,39
1580060408,128,49
1580062168,86,36
1580062450,10,0
1580063584,38,44
1580064967,37,23
1580066047,34,43
1580067730,50,44
1580068567,25,3
1580069709,28,37
1580070488,18,4
1580071770,47,39
1580073247,93,26
1580074507,91,35
1580075853,165,12
1580076849,132,23
1580078529,138,40
1580080450,136,43
1580082144,81,64
1580083539,52,40
1580084715,38,7
1580085728,36,63
1580086569,31,9
1580087708,44,41
1580088488,27,2
1580090108,39,50
1580091250,35,24
1580092928,57,61
1580094848,78,31
1580095688,35,2
1580097308,67,62
1580098449,58,34
1580100128,73,67
1580101818,75,24
1580102891,44,3
1580104567,47,63
1580105709,46,30
1580107212,62,72
1580108167,34,5
1580109312,25,28
1580110495,35,39
1580111707,31,29
1580112908,37,38
1580114412,61,73
1580116209,60,57
1580116450,3,1
1580118130,53,49
1580118969,27,1
1580120060,36,16
1580121610,62,60
1580122827,35,28
1580124008,42,4
1580125318,56,69
1580126444,45,37
1580128929,81,86
1580130850,63,39
1580131689,22,5
1580132856,25,54
1580134217,39,46
1580135287,39,1
1580136969,62,44
