DateTime,Entries,UniqueIPs
1579647367,13119,13119
1579648507,13109,13109
1579649287,13143,13143
1579650128,13104,13104
1579651546,13112,13112
1579653007,13118,13118
1579654530,13159,13159
1579655649,13150,13150
1579656487,13180,13180
1579657330,13141,13141
1579659249,13165,13165
1579660927,13142,13142
1579661767,13166,13166
1579662912,13173,13173
1579664011,13110,13110
1579665308,13174,13174
1579666509,13184,13184
1579668128,13143,13143
1579669817,13146,13146
1579671729,13120,13120
1579672568,13156,13156
1579673650,13146,13146
1579674909,13128,13128
1579676021,13151,13151
1579677249,13136,13136
1579678572,13122,13122
1579680028,13083,13083
1579681210,13109,13109
1579682408,13067,13067
1579683369,13113,13113
1579684449,13117,13117
1579685288,13140,13140
1579686967,13123,13123
1579688048,13098,13098
1579689728,13092,13092
1579691346,13111,13111
1579692500,13160,13160
1579693808,13137,13137
1579695008,13148,13148
1579696927,13374,13374
1579698608,13418,13418
1579700528,13430,13430
1579702450,13447,13447
1579703578,13444,13444
1579704967,13469,13469
1579706109,13466,13466
1579706888,13489,13489
1579709647,13491,13491
1579711807,13495,13495
1579713247,13503,13503
1579714379,13479,13479
1579715673,13494,13494
1579716847,13505,13505
1579717985,13484,13484
1579719308,13490,13490
1579720448,13486,13486
1579721287,13509,13509
1579722128,13474,13474
1579722966,13493,13493
1579724108,13493,13493
1579725728,13482,13482
1579726571,13503,13503
1579728908,13505,13505
1579729327,13508,13508
1579730167,13534,13534
1579731311,13540,13540
1579732087,13558,13558
1579733407,13529,13529
1579734846,13530,13530
1579735689,13553,13553
1579737051,13526,13526
1579738449,13522,13522
1579739706,13510,13510
1579741417,13505,13505
1579743608,13511,13511
1579744830,13508,13508
1579745648,13526,13526
1579746751,13508,13508
1579748109,13513,13513
1579749308,13512,13512
1579750929,13465,13465
1579751768,13502,13502
1579752909,13500,13500
1579753688,13517,13517
1579754530,13459,13459
1579756219,13471,13471
1579757409,13438,13438
1579759058,13469,13469
1579760411,13461,13461
1579761728,13401,13401
1579763648,13422,13422
1579764487,13440,13440
1579765328,13396,13396
1579766167,13410,13410
1579767268,13404,13404
1579768507,13395,13395
1579769707,13412,13412
1579770838,13423,13423
1579772413,13391,13391
1579773982,13398,13398
1579775109,13422,13422
1579776967,13392,13392
1579778111,13400,13400
1579779310,13385,13385
1579781412,13375,13375
1579783330,13365,13365
1579784167,13385,13385
1579785250,13368,13368
1579786642,13332,13332
1579787739,13339,13339
1579788847,13332,13332
1579790529,13320,13320
1579792066,13314,13314
1579793412,13303,13303
1579794609,13323,13323
1579795783,13309,13309
1579796051,13311,13311
1579797308,13298,13298
1579799647,13307,13307
1579800486,13326,13326
1579801329,13295,13295
1579803248,13314,13314
1579804507,13295,13295
1579805677,13294,13294
1579807687,13313,13313
1579809308,13325,13325
1579810508,13324,13324
1579812127,13301,13301
1579812966,13329,13329
1579814048,13327,13327
1579815610,13302,13302
1579816568,13315,13315
1579818487,13347,13347
1579821247,13311,13311
1579822102,13341,13341
1579824609,13297,13297
1579826532,13301,13301
1579827368,13319,13319
1579828448,13337,13337
1579830127,13322,13322
1579831226,13329,13329
1579832409,13352,13352
1579833727,13316,13316
1579834567,13334,13334
1579835647,13328,13328
1579836488,13348,13348
1579838168,13334,13334
1579839308,13322,13322
1579840091,13335,13335
1579842617,13302,13302
1579843811,13271,13271
1579845370,13277,13277
1579846463,13277,13277
1579848010,13256,13256
1579848967,13264,13264
1579850047,13256,13256
1579851728,13263,13263
1579852567,13289,13289
1579853651,13226,13226
1579854488,13249,13249
1579855327,13196,13196
1579856167,13226,13226
1579857308,13206,13206
1579858089,13224,13224
1579859250,13186,13186
1579860608,13180,13180
1579862529,13156,13156
1579864449,13182,13182
1579865287,13203,13203
1579866968,12992,12992
1579868050,12939,12939
1579869228,12909,12909
1579870508,12920,12920
1579871709,12905,12905
1579873211,12881,12881
1579874169,12903,12903
1579875249,12895,12895
1579876482,12879,12879
1579877821,12888,12888
1579879207,12874,12874
1579880406,12855,12855
1579881367,12878,12878
1579882513,12886,12886
1579883707,12876,12876
1579884967,12900,12900
1579886887,12915,12915
1579887729,12877,12877
1579889648,12891,12891
1579890908,12885,12885
1579893249,12904,12904
1579894093,12917,12917
1579895321,12876,12876
1579896849,12892,12892
1579897686,12903,12903
1579899368,12891,12891
1579900509,12882,12882
1579901288,12891,12891
1579902136,12851,12851
1579904050,12863,12863
1579905728,12881,12881
1579907650,12900,12900
1579908908,12905,12905
1579910108,12917,12917
1579911250,12927,12927
1579912399,12922,12922
1579914256,12918,12918
1579914847,12931,12931
1579916529,12925,12925
1579917367,12948,12948
1579918447,12952,12952
1579920127,12948,12948
1579922047,12959,12959
1579923320,12913,12913
1579924568,12943,12943
1579926488,12966,12966
1579928108,12944,12944
1579929249,12938,12938
1579930938,12937,12937
1579931768,12953,12953
1579932908,12946,12946
1579934111,12942,12942
1579935626,12941,12941
1579936449,12962,12962
1579938007,12923,12923
1579939797,12929,12929
1579940047,12929,12929
1579941728,12905,12905
1579942568,12925,12925
1579943743,12934,12934
1579945328,12914,12914
1579947248,12930,12930
1579950619,12907,12907
1579951692,12931,12931
1579952794,12892,12892
1579954448,12902,12902
1579956128,12906,12906
1579956968,12923,12923
1579958108,12938,12938
1579959609,12932,12932
1579960568,12951,12951
1579961708,12940,12940
1579963328,12906,12906
1579965008,12909,12909
1579966927,12870,12870
1579967767,12882,12882
1579968848,12886,12886
1579970410,12831,12831
1579971367,12839,12839
1579972447,12837,12837
1579973286,12851,12851
1579974130,12810,12810
1579974967,12829,12829
1579976110,12817,12817
1579977309,12785,12785
1579978568,12800,12800
1579979708,12811,12811
1579981330,12781,12781
1579982483,12777,12777
1579983609,12801,12801
1579984808,12772,12772
1579986850,12804,12804
1579987689,12820,12820
1579988531,12781,12781
1579989367,12797,12797
1579990448,12799,12799
1579991287,12812,12812
1579992127,12779,12779
1579994047,12774,12774
1579995728,12750,12750
1579997648,12762,12762
1579998488,12777,12777
1580001308,12753,12753
1580002928,12740,12740
1580004618,12759,12759
1580007984,12741,12741
1580009293,12757,12757
1580010798,12722,12722
1580012109,12729,12729
1580013908,12723,12723
1580015417,12722,12722
1580017331,12707,12707
1580019008,12723,12723
1580020211,12710,12710
1580021770,12714,12714
1580022909,12700,12700
1580024011,12683,12683
1580025262,12698,12698
1580026508,12672,12672
1580027707,12670,12670
1580028966,12685,12685
1580030048,12679,12679
1580030887,12691,12691
1580032481,12669,12669
1580033709,12668,12668
1580034911,12659,12659
1580036108,12658,12658
1580037298,12664,12664
1580038087,12682,12682
1580039700,12640,12640
1580040908,12627,12627
1580042528,12607,12607
1580046127,12593,12593
1580047246,12579,12579
1580048887,12618,12618
1580049727,12572,12572
1580050567,12580,12580
1580051648,12562,12562
1580052487,12572,12572
1580054127,12536,12536
1580054426,12507,12507
1580055248,12513,12513
1580056507,12546,12546
1580058848,12771,12771
1580060408,12850,12850
1580062168,12900,12900
1580062450,12910,12910
1580063584,12904,12904
1580064967,12918,12918
1580066047,12909,12909
1580067730,12915,12915
1580068567,12937,12937
1580069709,12928,12928
1580070488,12942,12942
1580071770,12950,12950
1580073247,13017,13017
1580074507,13073,13073
1580075853,13226,13226
1580076849,13335,13335
1580078529,13433,13433
1580080450,13526,13526
1580082144,13543,13543
1580083539,13555,13555
