DateTime,AddedIPs,RemovedIPs
1579292180,27,21
1579294333,31,18
1579296248,20,13
1579300089,23,30
1579302017,35,23
1579303935,24,0
1579306102,16,25
1579308010,20,14
1579311850,17,35
1579313799,21,13
1579315694,26,10
1579319544,19,27
1579321451,18,17
1579323383,22,0
1579325287,16,12
1579327216,26,8
1579329150,18,22
1579331054,11,0
1579332986,15,16
1579334922,13,8
1579336814,9,5
1579338756,11,15
1579340650,8,16
1579342574,16,21
1579344753,15,13
1579346649,20,10
1579348567,21,9
1579350503,20,26
1579352410,23,16
1579354349,25,28
1579356260,24,17
1579358415,26,18
1579360333,18,14
1579362268,22,0
1579364178,33,29
1579368247,32,28
1579370183,19,11
1579372090,22,13
1579374021,38,15
1579375949,37,19
1579378117,21,10
1579380017,26,13
1579382183,19,8
1579384093,26,10
1579386010,27,11
1579387950,31,8
1579389848,28,7
1579391786,28,5
1579393690,22,8
1579395654,21,5
1579397531,25,0
1579399700,20,4
1579401612,22,21
1579403549,15,0
1579405450,18,13
1579407381,21,0
1579409308,12,8
1579411217,17,5
1579413128,18,10
1579415064,17,10
1579416968,18,8
1579418890,15,9
1579420826,13,25
1579422743,15,12
1579424657,15,14
1579426590,12,6
1579428756,15,14
1579432578,16,27
1579434514,22,16
1579436407,20,13
1579438332,16,0
1579440265,25,34
1579442173,25,0
1579444090,17,23
1579446038,20,9
1579447932,23,0
1579450103,15,18
1579452016,19,6
1579453959,22,20
1579455851,19,0
1579457787,22,16
1579459694,18,16
1579461636,20,23
1579463528,16,14
1579465454,21,27
1579467382,32,6
1579469293,30,17
1579471214,23,27
1579473164,27,23
1579475071,16,23
1579476972,17,0
1579479137,25,22
1579481053,12,16
1579482969,21,0
1579484890,19,10
1579486823,18,17
1579488730,20,15
1579490663,24,0
1579492570,18,20
1579494486,20,0
1579496419,16,0
1579498347,14,29
1579500516,10,18
1579502413,14,20
1579504581,16,12
1579506505,13,10
1579508407,13,0
1579510327,19,18
1579512264,12,10
1579514179,15,26
1579516089,7,0
1579518023,13,10
1579519939,15,15
1579521857,16,24
1579523782,13,16
1579525709,9,16
1579527626,21,25
1579529542,24,21
1579531449,19,18
1579533381,17,21
1579535294,27,13
1579537222,19,12
1579539126,22,9
1579541067,19,10
1579542969,19,24
1579544886,21,15
1579546828,23,11
1579548761,33,18
1579550683,25,20
1579552570,22,7
1579554525,25,27
1579556435,29,18
1579558337,21,17
1579560250,26,9
1579562196,26,28
1579564112,24,31
1579566012,20,26
1579567953,21,14
1579569877,25,19
1579571766,17,16
1579573690,10,19
1579575609,14,14
1579577557,15,11
1579579719,16,16
1579581610,19,17
1579585449,13,21
1579587373,10,14
1579589290,12,22
1579591239,12,0
1579593126,18,10
1579595048,22,11
1579596967,22,18
1579599157,11,9
1579601055,27,20
1579602969,19,15
1579604898,17,0
1579606810,13,15
1579608735,28,14
1579610656,21,19
1579612576,20,0
1579616417,22,20
1579618329,28,16
1579620255,18,17
1579622167,39,17
1579624094,22,15
1579627941,29,16
1579629854,28,22
1579631770,26,22
1579633693,27,20
1579635613,25,21
1579637560,20,22
1579639451,13,25
1579641373,19,32
1579643291,21,17
1579645208,22,21
1579647130,25,0
1579649050,20,30
1579650969,17,25
1579652887,25,20
1579654811,18,18
1579656733,30,33
1579658651,22,18
1579660570,27,0
1579662498,25,0
1579666352,23,55
1579668248,24,0
1579670175,15,0
1579674021,10,24
1579675929,14,12
1579677848,14,0
1579679781,17,38
1579681686,15,0
1579683607,12,11
1579685553,13,14
1579687709,14,9
1579689613,16,18
1579691554,14,18
1579693451,16,14
1579695380,13,16
1579697302,15,10
1579699208,10,16
1579701133,16,25
1579703070,12,18
1579704968,23,19
1579706902,15,20
1579708830,15,15
1579710817,21,22
1579712912,23,26
1579714821,18,14
1579716731,17,24
1579718662,25,23
1579720574,16,18
1579722489,25,24
1579724419,20,23
1579726339,21,22
1579728251,19,28
1579730181,30,0
1579732095,23,21
1579734019,21,0
1579735946,21,12
1579737850,15,17
1579739768,13,9
1579741710,9,16
1579743610,7,0
1579745535,21,25
1579747468,15,23
1579749372,14,10
1579751290,15,15
1579753231,19,13
1579755126,10,11
1579757048,16,21
1579758967,16,16
1579760886,12,19
1579762810,21,11
1579764772,18,10
1579766680,18,14
1579768573,16,16
1579770493,15,8
1579772438,17,4
1579774359,19,9
1579776252,17,6
1579778199,20,11
1579780090,12,6
1579782034,12,8
1579783956,21,11
1579785875,14,19
1579787797,20,0
1579789687,13,12
1579791611,22,22
1579793536,22,29
1579795460,28,22
1579797369,20,25
1579799552,30,13
1579801455,13,16
1579803375,34,33
1579805293,22,14
1579807207,19,20
1579809128,20,24
1579811057,21,27
1579812969,21,26
1579814890,21,30
1579816806,15,21
1579818738,16,29
1579821145,18,45
1579824975,14,30
1579826889,12,20
1579828810,15,26
1579830726,16,13
1579832653,11,0
1579834573,13,19
1579836491,10,16
1579838413,13,16
1579840346,10,17
1579842498,8,16
1579844411,12,23
1579846332,10,14
1579848249,12,12
1579850175,12,14
1579852094,10,16
1579854036,8,9
1579855956,8,17
1579857852,11,14
1579859769,12,0
1579861715,13,4
1579863635,15,17
1579865557,10,14
1579867722,15,24
1579869611,21,0
1579871561,15,19
1579873449,19,0
1579875398,17,34
1579877296,19,24
1579879207,8,0
1579881150,13,60
1579883048,7,0
1579884993,22,51
1579886891,22,0
1579888811,21,22
1579890745,23,45
1579892912,15,0
1579894814,24,64
1579896985,19,22
1579898903,17,0
1579900813,20,28
1579902730,18,18
1579904709,11,0
1579906611,5,26
1579908504,8,32
1579910426,12,17
1579912353,13,20
1579914254,16,17
1579916186,5,0
1579918103,16,14
1579920015,18,14
1579921944,14,23
1579923856,9,0
1579925772,4,14
1579927694,18,20
1579929607,11,23
1579931535,11,14
1579933462,17,26
1579935375,17,14
1579937286,12,12
1579939228,18,12
1579941133,11,9
1579943305,10,9
1579945211,10,14
1579947152,13,7
1579949056,16,15
1579952905,14,27
1579954813,6,18
1579956729,12,15
1579958666,12,17
1579960569,20,22
1579962491,12,21
1579964424,14,27
1579966336,14,16
1579968498,20,20
1579970412,26,26
1579972337,17,0
1579974263,20,28
1579978095,16,42
1579980022,18,31
1579981931,21,37
1579983850,18,22
1579985784,21,24
1579987687,20,16
1579989615,16,23
1579991548,9,22
1579993453,19,22
1579995368,14,26
1579997318,15,25
1579999211,12,16
1580001150,9,21
1580003048,8,14
1580004982,18,21
1580006903,12,21
1580008810,8,12
1580010726,12,19
1580012675,8,17
1580014567,16,10
1580016492,9,20
1580018430,16,19
1580020334,10,13
1580022502,17,20
1580024411,7,15
1580026344,8,10
1580028249,9,14
1580030174,7,14
1580032103,11,8
1580034007,8,13
1580035941,14,0
1580037862,11,17
1580039770,15,22
1580041689,14,21
1580043621,11,18
1580045530,21,19
1580047702,11,24
1580049611,25,14
1580051549,12,26
1580053451,8,20
1580055374,22,15
1580057294,14,19
1580059222,9,19
1580061130,15,19
1580063059,14,20
1580064982,21,18
1580066887,14,18
1580068815,13,16
1580070744,30,24
1580072654,33,23
1580074567,26,29
1580076507,27,21
1580078409,19,18
1580080330,21,15
1580082260,19,18
1580084174,13,22
1580086089,20,13
1580088019,8,26
1580089928,15,16
1580091847,17,18
1580093780,12,19
1580095686,13,19
1580097616,10,11
1580099542,9,13
1580101710,11,15
1580103610,15,14
1580105532,11,11
1580107466,18,11
1580109371,10,0
1580111536,22,33
1580113449,16,10
1580117289,4,32
