DateTime,AddedIPs,RemovedIPs
1579292180,65,69
1579294333,67,65
1579296248,62,69
1579300089,63,60
1579302017,70,63
1579303935,64,67
1579306102,59,65
1579308010,55,60
1579311850,49,51
1579313799,66,55
1579315694,64,64
1579319544,57,63
1579321451,61,58
1579323383,54,57
1579325287,54,57
1579327216,60,53
1579329150,57,61
1579331054,51,59
1579332986,35,51
1579334922,44,35
1579336814,45,45
1579338756,41,47
1579340650,29,42
1579342574,52,28
1579344753,49,49
1579346649,50,52
1579348567,57,49
1579350503,55,57
1579352410,52,54
1579354349,58,49
1579356260,58,61
1579358415,67,58
1579360333,65,67
1579362268,58,64
1579364178,65,58
1579368247,69,66
1579370183,73,70
1579372090,63,68
1579374021,66,63
1579375949,73,68
1579378117,59,71
1579380017,58,58
1579382183,47,63
1579384093,59,46
1579386010,65,60
1579387950,59,61
1579389848,61,65
1579391786,69,61
1579393690,65,67
1579395654,57,61
1579397531,52,58
1579399700,60,51
1579401612,68,59
1579403549,51,67
1579405450,59,56
1579407381,64,59
1579409308,54,65
1579411217,66,55
1579413128,53,64
1579415064,54,53
1579416968,62,56
1579418890,56,58
1579420826,60,57
1579422743,55,56
1579424657,47,59
1579426590,41,48
1579428756,52,39
1579432578,44,53
1579434514,54,47
1579436407,43,55
1579438332,54,42
1579440265,58,52
1579442173,63,53
1579444090,60,68
1579446038,61,63
1579447932,57,59
1579450103,50,55
1579452016,59,48
1579453959,54,62
1579455851,59,53
1579457787,59,62
1579459694,65,58
1579461636,67,66
1579463528,62,63
1579465454,59,60
1579467382,68,64
1579469293,72,70
1579471214,58,70
1579473164,68,59
1579475071,57,67
1579476972,55,55
1579479137,64,55
1579481053,66,66
1579482969,67,64
1579484890,61,68
1579486823,55,62
1579488730,58,49
1579490663,62,62
1579492570,56,62
1579494486,59,59
1579496419,55,57
1579498347,50,52
1579500516,57,55
1579502413,51,51
1579504581,49,54
1579506505,51,52
1579508407,39,50
1579510327,54,37
1579512264,29,58
1579514179,55,30
1579516089,40,54
1579518023,45,42
1579519939,50,42
1579521857,39,50
1579523782,35,38
1579525709,39,36
1579527626,51,39
1579529542,53,50
1579531449,54,54
1579533381,45,55
1579535294,70,46
1579537222,49,65
1579539126,55,50
1579541067,56,56
1579542969,60,57
1579544886,61,60
1579546828,57,64
1579548761,65,54
1579550683,67,63
1579552570,56,60
1579554525,56,60
1579556435,62,57
1579558337,65,65
1579560250,66,63
1579562196,58,65
1579564112,59,56
1579566012,60,63
1579567953,57,59
1579569877,58,59
1579571766,65,56
1579573690,51,57
1579575609,49,58
1579577557,54,48
1579579719,52,50
1579581610,57,56
1579585449,51,56
1579587373,44,54
1579589290,55,50
1579591239,59,54
1579593126,58,55
1579595048,47,59
1579596967,51,49
1579599157,28,49
1579601055,62,31
1579602969,56,60
1579604898,56,54
1579606810,59,56
1579608735,62,57
1579610656,54,65
1579612576,67,57
1579616417,63,64
1579618329,58,65
1579620255,62,58
1579622167,67,62
1579624094,58,67
1579627941,69,58
1579629854,65,69
1579631770,71,64
1579633693,74,73
1579635613,69,69
1579637560,64,71
1579639451,60,68
1579641373,66,56
1579643291,66,66
1579645208,61,61
1579647130,71,67
1579649050,62,72
1579650969,56,61
1579652887,68,56
1579654811,65,65
1579656733,66,66
1579658651,56,64
1579660570,66,58
1579662498,61,63
1579666352,67,66
1579668248,65,67
1579670175,62,63
1579674021,31,62
1579675929,50,30
1579677848,46,52
1579679781,53,45
1579681686,53,55
1579683607,42,52
1579685553,34,42
1579687709,46,33
1579689613,52,46
1579691554,45,50
1579693451,42,48
1579695380,37,46
1579697302,46,34
1579699208,40,45
1579701133,56,42
1579703070,57,56
1579704968,67,57
1579706902,54,65
1579708830,51,49
1579710817,58,51
1579712912,59,61
1579714821,59,60
1579716731,52,62
1579718662,62,51
1579720574,54,63
1579722489,60,50
1579724419,64,61
1579726339,65,63
1579728251,66,67
1579730181,63,67
1579732095,61,64
1579734019,65,59
1579735946,48,62
1579737850,57,49
1579739768,57,55
1579741710,52,59
1579743610,58,50
1579745535,59,57
1579747468,58,57
1579749372,55,57
1579751290,59,57
1579753231,56,59
1579755126,54,58
1579757048,67,60
1579758967,59,63
1579760886,39,63
1579762810,61,41
1579764772,56,57
1579766680,61,54
1579768573,49,64
1579770493,43,48
1579772438,56,42
1579774359,62,58
1579776252,52,63
1579778199,60,54
1579780090,49,56
1579782034,34,51
1579783956,58,32
1579785875,44,59
1579787797,63,47
1579789687,50,62
1579791611,65,50
1579793536,63,60
1579795460,68,63
1579797369,71,70
1579799552,72,70
1579801455,60,75
1579803375,75,61
1579805293,62,71
1579807207,56,61
1579809128,63,58
1579811057,68,62
1579812969,58,66
1579814890,57,59
1579816806,56,59
1579818738,56,56
1579821145,64,58
1579824975,59,60
1579826889,46,57
1579828810,50,50
1579830726,54,49
1579832653,52,55
1579834573,49,48
1579836491,39,49
1579838413,55,42
1579840346,48,56
1579842498,36,47
1579844411,44,40
1579846332,39,43
1579848249,49,37
1579850175,44,49
1579852094,49,45
1579854036,43,47
1579855956,38,43
1579857852,35,38
1579859769,48,36
1579861715,34,49
1579863635,50,33
1579865557,37,47
1579867722,53,39
1579869611,58,53
1579871561,47,60
1579873449,43,48
1579875398,62,44
1579877296,50,61
1579879207,15,50
1579881150,44,16
1579883048,26,45
1579884993,72,23
1579886891,56,74
1579888811,69,52
1579890745,65,67
1579892912,62,63
1579894814,72,67
1579896985,66,75
1579898903,56,60
1579900813,58,54
1579902730,58,59
1579904709,50,65
1579906611,53,44
1579908504,44,52
1579910426,52,48
1579912353,47,49
1579914254,56,46
1579916186,41,57
1579918103,47,42
1579920015,67,51
1579921944,57,64
1579923856,48,49
1579925772,42,49
1579927694,50,44
1579929607,56,49
1579931535,47,58
1579933462,47,51
1579935375,62,47
1579937286,60,63
1579939228,64,59
1579941133,46,61
1579943305,42,45
1579945211,47,48
1579947152,49,46
1579949056,52,49
1579952905,50,53
1579954813,42,52
1579956729,50,38
1579958666,43,50
1579960569,46,44
1579962491,43,46
1579964424,58,43
1579966336,60,55
1579968498,65,63
1579970412,63,66
1579972337,51,64
1579974263,60,52
1579978095,55,58
1579980022,56,55
1579981931,62,54
1579983850,63,60
1579985784,61,66
1579987687,58,61
1579989615,55,59
1579991548,48,53
1579993453,53,47
1579995368,65,54
1579997318,61,63
1579999211,61,61
1580001150,58,58
1580003048,49,62
1580004982,55,50
1580006903,51,56
1580008810,59,48
1580010726,54,59
1580012675,55,55
1580014567,40,56
1580016492,49,40
1580018430,58,50
1580020334,55,57
1580022502,55,55
1580024411,59,57
1580026344,44,54
1580028249,30,49
1580030174,20,31
1580032103,41,18
1580034007,35,42
1580035941,49,31
1580037862,41,53
1580039770,50,41
1580041689,46,51
1580043621,47,47
1580045530,59,43
1580047702,56,63
1580049611,58,54
1580051549,42,58
1580053451,27,44
1580055374,68,24
1580057294,48,65
1580059222,50,51
1580061130,63,51
1580063059,53,60
1580064982,46,56
1580066887,63,45
1580068815,62,63
1580070744,77,64
1580072654,74,79
1580074567,73,72
1580076507,66,73
1580078409,64,65
1580080330,62,61
1580082260,63,66
1580084174,56,60
1580086089,59,52
1580088019,46,62
1580089928,58,45
1580091847,61,60
1580093780,52,59
1580095686,48,48
1580097616,48,52
1580099542,57,49
1580101710,63,57
1580103610,49,65
1580105532,49,48
1580107466,62,52
1580109371,43,59
1580111536,59,40
1580113449,55,64
1580117289,31,57
1580119212,59,30
1580121146,65,56
1580123065,61,67
1580124968,64,64
1580126903,62,62
1580128810,58,62
1580130980,52,59
1580132891,30,47
1580136743,60,34
1580138648,20,60
1580140580,46,22
1580142488,46,44
1580144415,49,46
1580146345,63,45
1580148509,66,65
1580150413,63,66
1580152591,65,63
1580154492,59,66
1580156419,77,61
1580158328,64,76
1580160261,65,63
1580162167,66,68
1580164098,62,65
1580166011,69,63
1580167933,60,65
1580170111,68,60
1580172010,63,69
1580173932,60,64
1580175860,67,58
1580179693,54,63
1580181608,67,53
1580183527,58,67
1580185461,68,63
1580187369,59,70
1580189287,63,57
1580191229,50,60
1580193132,59,52
1580195301,50,60
1580197212,49,50
1580199145,35,48
1580201048,48,36
1580202976,32,51
1580204902,40,30
1580206819,53,39
1580208729,42,49
1580210661,47,48
1580212571,54,47
1580214487,45,55
1580216426,58,46
1580218332,53,56
1580220507,55,53
1580222424,44,51
1580224582,18,50
1580226734,29,18
1580228656,48,27
1580230580,64,49
1580232509,65,62
1580234410,51,64
1580236349,66,50
1580238512,66,67
1580240413,62,67
1580242332,73,61
1580244266,62,72
1580246174,68,64
1580248094,59,70
1580250028,51,57
1580251928,59,48
1580253850,45,63
1580255779,63,45
1580257686,56,59
1580259608,62,57
1580261544,58,61
1580263709,68,59
1580265612,41,70
1580267534,57,37
1580269463,55,56
1580271634,69,58
1580273527,69,69
1580275482,53,70
1580277380,64,52
1580279291,51,59
1580281212,52,53
1580286005,37,55
1580287936,55,36
1580289851,53,58
1580293687,36,54
1580295612,48,36
