DateTime,AddedIPs,RemovedIPs
1579508407,326,7
1579510327,19,16
1579512264,13,8
1579514179,196,8
1579516089,10,11
1579518023,359,0
1579519939,18,15
1579521857,17,19
1579523782,12,18
1579525709,175,14
1579527626,22,15
1579527902,258,0
1579529542,27,24
1579531449,21,15
1579533381,20,17
1579535294,28,23
1579537222,152,14
1579539126,22,19
1579539602,316,0
1579541067,21,20
1579541540,711,711
1579542969,17,17
1579543202,177,0
1579544886,24,18
1579546828,21,19
1579548761,149,19
1579550683,136,14
1579552570,24,19
1579554525,109,27
1579556435,25,32
1579557601,95,0
1579558337,23,20
1579560250,25,18
1579562196,59,13
1579564112,24,16
1579564802,204,3473
1579566012,22,17
1579567953,20,14
1579569877,68,24
1579571766,17,13
1579572002,237,0
1579573690,46,96
1579575609,16,22
1579577557,24,32
1579579719,16,14
1579581610,246,18
1579585449,14,33
1579587373,142,12
1579589290,19,12
1579590902,314,0
1579591239,14,20
1579593126,23,15
1579595048,20,12
1579596967,21,21
1579598102,294,0
1579599157,15,10
1579601055,29,21
1579602969,17,8
1579604898,20,12
1579606810,184,18
1579608735,29,15
1579608902,278,1
1579610656,26,13
1579612576,23,9
1579616417,184,42
1579618329,25,19
1579620255,15,20
1579622167,377,20
1579624094,28,16
1579627941,145,36
1579629854,32,18
1579631407,373,0
1579631770,24,22
1579632729,652,711
1579633693,29,23
1579635002,128,0
1579635613,33,26
1579637560,19,19
1579639451,16,20
1579641373,19,21
1579642201,235,0
1579643291,22,27
1579645208,25,24
1579647130,27,22
1579649050,21,18
1579649401,197,1
1579650488,37,74
1579650969,16,25
1579652887,20,17
1579654811,14,20
1579656733,30,15
1579658169,286,3700
1579658651,25,14
1579660570,30,12
1579662498,25,16
1579666096,169,38
1579666352,25,23
1579668248,298,13
1579670175,22,0
1579674021,10,25
1579675929,200,15
1579677848,13,16
1579679781,177,16
1579681686,19,21
1579683607,291,18
1579685553,17,0
1579687709,17,34
1579689613,18,17
1579691554,158,21
1579693451,14,19
1579694402,335,0
1579695380,16,30
1579697302,13,25
1579698002,176,0
1579699208,8,28
1579701133,18,0
1579701602,188,0
1579703070,12,17
1579704968,23,29
1579705201,153,0
1579706902,15,16
1579708830,19,41
1579710817,191,28
1579712912,204,0
1579714821,14,29
1579716002,107,0
1579716731,17,32
1579718662,23,32
1579720574,18,39
1579722489,25,35
1579723739,1066,644
1579724419,19,20
1579726339,20,13
1579726801,128,0
1579728251,19,17
1579730181,34,23
1579732095,18,22
1579734019,24,24
1579735207,327,0
1579735946,22,24
1579737850,17,12
1579739768,9,18
1579741710,132,3369
1579742886,38,0
1579743610,15,35
1579745535,19,22
1579745702,374,0
1579746729,40,82
1579747468,10,26
1579749372,12,25
1579750566,16,0
1579751290,12,0
1579753231,263,22
