DateTime,Entries,UniqueIPs
1579508407,8257,8469
1579510327,8260,8472
1579512264,8265,8477
1579514179,8452,8665
1579516089,8452,8664
1579518023,8804,9023
1579519939,8807,9026
1579521857,8805,9024
1579523782,8799,9018
1579525709,8958,9179
1579527626,8965,9186
1579527902,9221,9444
1579529542,9224,9447
1579531449,9229,9453
1579533381,9232,9456
1579535294,9237,9461
1579537222,9372,9599
1579539126,9375,9602
1579539602,9687,9918
1579541067,9690,9919
1579541540,9691,9919
1579542969,9691,9919
1579543202,9866,10096
1579544886,9872,10102
1579546828,9874,10104
1579548761,10002,10234
1579550683,10122,10356
1579552570,10127,10361
1579554525,10208,10443
1579556435,10200,10436
1579557601,10295,10531
1579558337,10298,10534
1579560250,10305,10541
1579562196,10349,10587
1579564112,10357,10595
1579564802,7169,7326
1579566012,7174,7331
1579567953,7180,7337
1579569877,7221,7381
1579571766,7225,7385
1579572002,7452,7622
1579573690,7398,7572
1579575609,7392,7566
1579577557,7384,7558
1579579719,7385,7560
1579581610,7591,7788
1579585449,7572,7769
1579587373,7695,7899
1579589290,7702,7906
1579590902,8006,8220
1579591239,8000,8214
1579593126,8008,8222
1579595048,8016,8230
1579596967,8016,8230
1579598102,8300,8524
1579599157,8305,8529
1579601055,8315,8537
1579602969,8323,8546
1579604898,8331,8554
1579606810,8496,8720
1579608735,8509,8734
1579608902,8784,9011
1579610656,8797,9024
1579612576,8811,9038
1579616417,8947,9180
1579618329,8953,9186
1579620255,8948,9181
1579622167,9297,9538
1579624094,9309,9550
1579627941,9417,9659
1579629854,9431,9673
1579631407,9798,10046
1579631770,9801,10048
1579632729,9737,9989
1579633693,9742,9995
1579635002,9868,10123
1579635613,9875,10130
1579637560,9875,10130
1579639451,9871,10126
1579641373,9869,10124
1579642201,10102,10359
1579643291,10097,10354
1579645208,10098,10355
1579647130,10103,10360
1579649050,10106,10363
1579649401,10298,10559
1579650488,10263,10522
1579650969,10253,10513
1579652887,10256,10516
1579654811,10251,10510
1579656733,10266,10525
1579658169,6922,7111
1579658651,6933,7122
1579660570,6952,7140
1579662498,6961,7149
1579666096,7089,7280
1579666352,7091,7282
1579668248,7366,7567
1579670175,7388,7589
1579674021,7373,7574
1579675929,7557,7759
1579677848,7554,7756
1579679781,7709,7917
1579681686,7707,7915
1579683607,7975,8188
1579685553,7992,8205
1579687709,7975,8188
1579689613,7976,8189
1579691554,8110,8326
1579693451,8105,8321
1579694402,8437,8656
1579695380,8423,8642
1579697302,8412,8630
1579698002,8584,8806
1579699208,8565,8786
1579701133,8583,8804
1579701602,8766,8992
1579703070,8761,8987
1579704968,8755,8981
1579705201,8906,9134
1579706902,8905,9133
1579708830,8883,9111
1579710817,9043,9274
1579712912,9246,9478
1579714821,9231,9463
1579716002,9335,9570
1579716731,9320,9555
1579718662,9311,9546
1579720574,9291,9525
1579722489,9281,9515
1579723739,9681,9937
1579724419,9680,9936
1579726339,9687,9943
1579726801,9815,10071
1579728251,9818,10073
1579730181,9829,10084
1579732095,9823,10080
1579734019,9823,10080
1579735207,10138,10407
1579735946,10136,10405
1579737850,10142,10410
1579739768,10133,10401
1579741710,6969,7164
1579742886,7003,7202
1579743610,6983,7182
1579745535,6983,7179
1579745702,7348,7553
1579746729,7315,7511
1579747468,7299,7495
1579749372,7286,7482
1579750566,7302,7498
1579751290,7314,7510
1579753231,7537,7751
1579755126,7526,7740
1579757048,7528,7742
1579758967,7545,7759
