DateTime,AddedIPs,RemovedIPs
1579811055,7,267
1579812123,150,164
1579812967,19,18
1579814111,48,1
1579814888,62,65
1579815605,80,134
1579816805,17,9
1579818736,171,55
1579821143,16,20
1579821242,123,161
1579822083,51,0
1579823049,15,11
1579824975,409,173
1579826525,109,103
1579826889,9,15
1579827362,42,0
1579828809,15,7
1579830123,167,186
1579830726,7,14
1579831221,61,46
1579832652,11,11
1579834572,106,101
1579836491,105,59
1579838412,131,103
1579839303,59,66
1579840345,40,14
1579842498,270,15
1579842605,91,155
1579844410,16,11
1579845364,116,128
1579846331,15,9
1579848250,62,62
1579848963,95,92
1579850173,78,86
1579852093,101,131
1579852563,44,1
1579854035,18,12
1579854483,114,122
1579855323,33,120
1579855954,13,19
1579856163,50,0
1579857850,12,10
1579858210,82,1330
1579859768,11,13
1579860603,125,186
1579861714,7,8
1579862523,88,116
1579863634,15,560
1579864443,99,54
1579865556,60,9
1579866963,96,290
1579867721,266,0
1579868043,99,122
1579869610,8,14
1579870503,121,123
1579871559,20,4
1579871703,55,61
1579873448,16,12
1579874163,116,115
1579875396,74,77
1579877294,73,94
1579877812,56,35
1579879206,521,1028
1579881149,111,134
1579881363,52,21
1579882503,56,60
1579883047,17,8
1579883702,64,75
1579884991,11,14
1579885211,309,24
1579886889,45,73
1579887724,83,105
1579888809,8,8
1579889643,81,57
1579890743,14,11
1579890902,63,71
1579892910,8,15
1579893244,107,91
1579894086,26,0
1579894812,12,16
1579895317,45,175
1579896983,18,9
1579897682,98,47
1579898900,8,19
1579899363,78,118
1579900811,9,9
1579901282,117,56
1579902132,36,114
1579902727,8,10
1579904044,89,57
1579904707,5,10
1579905724,73,85
1579906608,7,17
1579907644,74,49
1579908502,3,6
1579908903,46,66
1579910426,245,0
1579911243,89,70
1579912353,2,7
1579912395,51,66
1579914254,8,10
1579914842,89,72
1579915360,758,0
1579916186,5,16
1579916524,86,103
1579917363,30,0
1579918102,9,9
1579918442,40,44
1579920015,7,17
1579920123,79,102
1579921943,12,7
1579922042,78,62
1579923856,13,11
1579924563,94,120
1579925772,14,12
1579926483,83,66
1579927694,16,13
1579928103,57,122
1579929104,255,0
1579929608,8,15
1579930934,117,147
1579931534,7,8
1579931763,31,1
1579933461,11,10
1579933810,50,68
1579934103,51,79
1579935374,15,13
1579935620,67,87
1579936443,37,1
1579937285,9,19
1579938003,57,435
1579939227,13,15
1579939792,79,78
1579940043,4,0
1579941132,4,17
1579941724,68,144
1579942563,35,1
1579943304,13,17
1579943734,57,57
1579945210,10,9
1579945323,70,108
1579947150,8,14
1579947243,86,57
1579949055,10,10
1579950983,10,589
1579951294,133,197
1579951687,44,0
1579952903,11,12
1579954812,317,128
1579956123,168,158
1579956728,7,9
1579956962,34,0
1579958665,9,7
1579959603,129,170
1579960568,19,13
1579962490,49,14
1579963323,116,197
1579964422,14,14
1579965003,62,68
1579966335,7,6
1579966922,64,110
1579967111,504,766
1579967763,30,0
1579968496,12,8
1579968842,44,45
1579970411,10,17
1579972336,89,159
1579972443,44,40
1579973282,24,0
1579974261,38,121
1579974962,35,0
1579976172,17,15
1579978093,89,167
1579978563,58,30
1579980020,13,12
1579981325,101,180
1579981929,11,10
1579982479,34,58
1579983847,10,17
1579985782,84,135
1579986844,90,59
1579987684,4,11
1579988525,64,118
1579989613,38,13
1579990442,48,50
1579991545,43,4
1579992123,32,87
1579993451,9,16
1579994043,84,74
1579995369,5,10
1579995723,60,110
1579997318,255,0
1579997643,74,59
1579998482,31,0
1579999211,4,10
1580000162,0,17504
1580001149,6,8
1580001303,17448,0
1580003048,7,10
1580004981,139,146
1580006903,7,11
1580007976,115,163
1580008810,9,8
1580009288,53,0
1580010726,5,7
1580010794,46,98
1580012674,12,5
1580013903,129,146
1580014566,9,19
1580015403,43,57
1580015712,0,503
1580016492,4,16
1580017324,67,92
1580018430,11,21
1580019003,67,43
1580020333,6,15
1580022502,137,131
1580022903,36,61
1580024410,2,8
1580025257,95,115
1580026343,6,16
1580026503,52,84
1580028248,9,12
1580028962,102,102
1580030173,10,15
1580030883,71,51
1580032102,11,12
1580032477,53,95
1580034006,2,9
1580034903,112,133
1580035940,6,10
1580036103,47,27
1580037861,4,463
1580038082,82,66
1580039769,261,775
1580041688,329,216
1580042523,67,115
1580043620,16,12
1580044442,82,45
1580045528,2,3
1580046123,72,123
1580047701,8,12
1580049010,33,50
1580049610,69,8
1580049723,33,112
1580050562,26,1
1580051547,7,8
1580052483,53,55
1580053450,8,7
1580054123,67,118
1580054405,15,60
1580055372,36,10
1580057292,102,90
1580059220,13,10
1580060403,459,190
1580061129,3,9
1580062164,124,51
1580063057,10,6
1580063579,102,67
1580064980,7,12
1580066885,176,90
1580067010,991,256
1580067724,71,97
1580068813,39,14
1580070742,86,66
1580071765,81,138
1580072652,6,10
1580073242,120,48
1580074565,6,10
1580075110,108,72
1580076505,180,28
1580076843,152,44
1580078407,4,6
1580078524,167,72
1580080328,8,11
1580080443,161,43
1580082261,6,12
1580084174,380,136
1580084711,57,1
1580085723,55,98
1580086090,6,7
1580086562,51,1
1580088019,15,9
1580088483,118,56
1580089928,10,9
1580090103,63,92
1580091848,0,4
1580092924,144,136
1580093780,2,9
1580094843,108,44
1580095686,4,9
1580097616,149,113
1580098443,67,48
1580099542,8,8
1580100123,99,104
1580101710,10,17
1580101805,151,33
1580103610,7,11
1580104563,142,107
1580105531,4,6
1580105864,0,256
1580107466,72,57
1580108162,121,92
1580109370,10,13
1580110210,39,44
1580111536,60,72
1580111703,45,28
1580113449,9,9
1580114404,143,171
1580115381,10,12
1580116203,104,72
1580117289,27,9
1580118124,94,83
1580119212,48,9
1580120056,62,33
1580121146,11,6
1580121603,137,99
1580123065,9,392
1580124002,121,56
1580124968,12,10
1580125313,78,113
1580126902,172,0
1580128082,220,54
1580128809,19,8
1580128924,44,117
1580130979,105,75
1580131683,43,0
1580132890,6,8
1580134821,108,170
1580135411,1277,0
1580136742,73,5
1580136964,96,78
1580138043,65,40
1580138648,4,4
1580138886,65,1
1580140579,12,260
1580141402,177,147
1580142487,10,4
1580142605,85,64
1580144414,15,7
1580145302,186,67
1580146344,46,6
1580146931,36,93
1580148508,19,9
1580149205,157,56
1580150411,12,7
1580152589,128,123
1580152802,64,2
1580154491,11,6
1580156418,82,110
1580157606,145,160
1580158327,13,12
1580158563,56,1
1580160260,9,6
1580160835,156,131
1580161323,20,26
1580162167,15,8
1580162517,60,52
1580164096,7,4
1580166009,189,82
1580166842,50,61
1580167933,35,6
1580169304,74,94
1580170111,135,0
1580170443,60,48
1580172010,15,8
1580172132,84,97
1580173932,11,6
1580175004,142,120
1580175860,6,6
1580175903,47,253
1580176563,85,0
1580177771,8,10
1580178483,503,51
1580179323,43,99
1580179693,7,4
1580181243,92,50
1580181608,15,7
1580182083,45,0
1580183527,6,5
1580183762,60,87
1580185461,16,3
1580186102,88,106
1580187368,29,8
1580187623,64,83
1580188537,507,0
1580189287,8,5
1580191228,198,106
1580192044,50,45
1580193132,10,6
1580193604,58,93
1580195300,11,5
1580195404,71,49
1580195643,10,0
1580196483,27,1
1580197212,10,9
1580198103,75,90
1580199144,8,6
1580199202,50,55
1580200211,0,1272
1580201047,5,5
1580202975,134,144
1580204901,60,8
1580205869,140,187
1580206818,9,2
1580208728,100,71
1580208907,76,27
1580210660,15,326
1580210882,86,82
1580212570,27,17
1580212830,73,179
1580214485,182,0
1580215121,88,116
1580216425,16,12
1580216661,66,43
1580217243,31,0
1580218331,8,6
1580218503,55,61
1580220506,50,46
1580220843,48,52
1580222423,13,4
1580222712,1844,103
1580224581,99,85
1580226124,84,111
1580226733,11,1
1580227393,39,66
1580228654,9,8
1580229006,66,107
1580229723,40,30
1580230578,6,12
1580231405,81,56
1580232507,9,5
1580234408,76,6
1580235003,117,185
1580236348,9,4
1580238511,150,139
1580238843,43,38
1580239814,289,255
1580240412,11,5
1580240523,28,73
1580242330,5,4
1580242442,63,69
1580243283,33,0
1580244264,6,14
1580244631,72,117
1580246172,13,14
1580248092,138,211
1580248562,39,2
1580250026,4,11
1580250844,96,149
1580251926,9,6
1580252162,52,27
1580253848,11,8
1580254648,94,112
1580255780,15,16
1580256433,97,87
1580256843,17,0
1580257686,167,0
1580257811,508,0
1580258103,52,92
1580259608,15,12
1580260513,40,31
1580261544,95,47
1580262962,68,114
1580263709,15,4
1580264112,0,766
1580265612,56,54
1580266503,104,119
1580267534,6,4
1580267704,40,63
1580269463,10,1
1580270102,95,107
1580271634,13,9
1580272086,96,53
1580272923,26,158
1580273527,8,12
1580274843,86,60
1580275481,6,6
1580276523,82,113
1580277380,15,5
1580278698,43,1
1580279291,52,45
1580279571,38,60
1580281212,12,6
1580281804,90,74
1580283241,6,8
1580285068,81,121
1580285321,55,79
1580286969,10,12
1580287324,64,139
1580288165,35,2
1580288911,10,15
1580289305,48,66
1580290810,8,9
1580291702,89,178
1580292733,12,11
1580292903,56,62
1580294660,5,10
1580295363,89,117
1580296570,10,504
