DateTime,Entries,UniqueIPs
1580014053,114347,9404502
1580014567,114358,9404513
1580014773,114359,9404514
1580015493,114352,9396002
1580016213,114351,9396001
1580016492,114333,9395983
1580016934,114323,9395973
1580017653,114331,9395981
1580018430,114338,9395988
1580019093,114340,9395990
1580019813,114340,9395990
1580020334,114347,9395997
1580020533,114354,9396004
1580021253,114355,9396005
1580021973,114350,9396000
1580022502,114332,9395982
1580022692,114332,9395982
1580023413,114325,9395975
1580023688,114344,9395994
1580024134,114344,9395994
1580024411,114333,9395983
1580024853,114340,9395991
1580025574,114332,9395983
1580026344,114329,9395980
1580027014,114318,9395969
1580027733,114315,9395966
1580028249,114310,9395961
1580028453,114313,9395964
1580029173,114314,9395965
1580029892,114310,9395961
1580030174,114309,9395960
1580030613,114312,9395963
1580031333,114309,9395960
1580032103,114310,9395962
1580032774,114313,9395965
1580033493,114306,9395958
1580033769,114307,9395959
1580034007,114305,9395957
1580034213,114303,9395955
1580034933,114303,9395955
1580035653,114297,9395950
1580035941,114300,9395953
1580036373,114291,9395944
1580037094,114289,9395943
1580037862,114294,9395948
1580038332,114304,9395958
1580038533,114304,9395957
1580039253,114300,9395953
1580039770,114311,9395964
1580039974,114313,9395967
1580040693,114317,9395971
1580041414,114309,9395963
1580041689,114312,9395966
1580042134,114309,9395964
1580042853,114309,9395964
1580043621,114306,9395960
1580044293,114308,9395962
1580045012,114305,9395959
1580045530,114312,9395965
1580045734,114311,9395964
1580046454,114309,9395961
1580047173,114309,9395961
1580047702,114306,9395958
1580047893,114350,9396004
1580048613,114355,9396009
1580049333,114353,9396007
1580049611,114354,9396007
1580050053,114359,9396011
1580050774,114359,9396011
1580051549,114333,9395985
1580052212,114331,9395982
1580053220,114342,9395993
1580053451,114341,9395991
1580053893,114348,9395998
1580054853,114351,9396001
1580055374,114353,9396004
1580055573,114352,9396003
1580056293,114356,9396007
1580057012,114357,9396008
1580057294,114353,9396005
1580057732,114352,9396003
1580058454,114340,9395991
1580059222,114421,9396074
1580059893,114418,9396071
1580060612,114412,9396065
1580061130,114402,9396054
1580061333,114401,9396053
1580062053,114403,9396055
1580062773,114409,9396061
1580063059,114400,9396052
1580063493,114402,9396054
1580064213,114408,9396060
1580064982,114414,9396066
1580065652,114409,9396061
1580066164,114412,9396064
1580066373,114404,9396056
1580066887,114407,9396059
1580067092,114408,9396060
1580067862,114435,9396087
1580068533,114432,9396084
1580068815,114427,9396079
1580069252,114427,9396080
1580069973,114437,9396090
1580070744,114439,9396093
1580071412,114442,9396096
1580072134,114443,9396097
1580072654,114452,9396106
1580072852,114442,9396096
1580073572,114444,9396099
1580074293,114440,9396096
1580074567,114442,9396098
1580075013,114443,9396099
1580075733,114445,9396101
1580076507,114482,9396139
1580077173,114478,9396135
1580077447,114480,9396138
1580077893,114479,9396137
1580078409,114476,9396134
1580078614,114471,9396129
1580079333,114471,9396127
1580080054,114464,9396120
1580080330,114469,9396124
1580080774,114396,9396051
1580081493,114394,9396049
1580082260,114402,9396058
1580082488,114414,9396070
1580082934,114411,9396067
1580083653,114405,9396061
1580084174,114396,9396053
1580084374,114393,9396050
1580085093,114396,9396053
1580085813,114393,9396050
1580086089,114399,9396056
1580086534,114396,9396053
1580087254,114396,9396053
1580088019,114394,9396051
1580088694,114392,9396049
1580089413,114392,9396049
1580089928,114397,9396054
1580090133,114402,9396059
1580090853,114403,9396058
1580091573,114398,9396053
1580091847,114396,9396052
1580092292,114398,9396054
1580093012,114394,9396050
1580093780,114388,9396045
1580094453,114384,9396041
1580095173,114385,9396042
1580095686,114393,9396051
1580095894,114390,9396048
1580096613,114391,9396049
1580097124,114412,9396070
1580097333,114409,9396066
1580097616,114404,9396060
1580098054,114401,9396058
1580098774,114402,9396059
1580099542,114401,9396058
1580100213,114406,9396063
1580100934,114399,9396056
1580101710,114388,9396046
1580102373,114388,9404536
1580103094,114389,9404537
1580103610,114395,9404543
1580103814,114398,9404546
1580104534,114397,9404545
1580105254,114393,9404542
1580105532,114394,9404543
1580105974,114388,9404537
1580106693,114391,9404540
1580107466,114398,9404547
1580108133,114395,9404543
1580108853,114396,9404544
1580109371,114397,9404545
1580109573,114398,9404546
1580109846,114399,9404547
1580110293,114399,9404547
1580111013,114389,9404536
1580111536,114394,9404541
1580111779,114405,9404552
1580112452,114406,9404553
1580113172,114412,9404558
1580113449,114417,9404562
1580113893,114419,9404564
1580114612,114423,9404568
1580115333,114433,9404579
1580116053,114434,9404581
1580116773,114434,9404581
1580117289,114413,9404559
1580117493,114422,9404568
1580118213,114417,9404563
1580118933,114420,9404566
1580119212,114422,9404569
1580119653,114424,9404571
1580120373,114425,9404572
1580121148,114450,9404597
1580121813,114455,9404601
1580122533,114461,9404607
1580123065,114467,9404613
1580123254,114465,9404611
1580123973,114467,9404613
1580124692,114470,9404618
1580124968,114469,9404617
1580125413,114464,9404612
1580126133,114466,9404613
1580126409,114489,9404636
1580126903,114504,9404652
1580127573,114504,9404652
1580128293,114504,9404652
1580128810,114505,9404654
1580129013,114501,9404650
1580129733,114496,9404645
1580130453,114498,9404647
1580130980,114501,9404651
1580131173,114501,9404651
1580131892,112003,9402109
1580132612,112007,9402114
1580132891,112005,9402111
1580133333,112004,9402110
1580134054,111961,9402066
1580134773,111963,9402068
1580135493,111966,9402071
1580136213,111964,9402069
