DateTime,AddedIPs,RemovedIPs
1579742438,11,0
1579742521,1,0
1579743122,3,0
1579743721,2,0
1579745521,1,0
1579746034,6,0
1579746721,2,0
1579747322,2,0
1579747922,1,0
1579749121,3,0
1579752755,1010,350
1579753321,2,0
1579753922,3,0
1579754521,1,0
1579755121,2,0
1579755722,6,0
1579756921,2,0
1579759321,1,0
1579760521,6,0
1579761121,2,0
1579761722,1,0
1579764121,3,0
1579766521,1,0
1579767121,1,0
1579767721,1,0
1579768321,10,0
1579768921,2,0
1579770121,2,0
1579771921,4,0
1579772521,3,0
1579774322,2,0
1579775521,1,0
1579776122,4,0
1579776722,2,0
1579778521,5,0
1579779722,1,0
1579780321,2,0
1579780921,3,0
1579781522,3,0
1579782721,2,0
1579785121,1,0
1579785721,2,0
1579786321,1,0
1579786921,2,0
1579788121,5,0
1579789322,2,0
1579789921,1,0
1579791121,1,0
1579791721,6,0
1579792921,10,0
1579793521,2,0
1579794121,3,0
1579794721,3,0
1579795321,1,0
1579796522,4,0
1579797121,1,0
1579797721,2,0
1579800121,4,0
1579801321,1,0
1579803722,1,0
1579804322,9,0
1579804922,5,0
1579805522,8,0
1579806121,3,0
1579807321,4,0
1579807922,4,0
1579808521,3,0
1579809121,4,0
1579809721,3,0
1579810922,3,0
1579812121,6,0
1579813921,1,0
1579815121,1,0
1579816321,14,0
1579816921,2,0
1579817521,1,0
1579818121,5,0
1579819921,1,0
1579821121,3,2
1579821721,1,0
1579822321,1,1
1579825321,5,0
1579825921,1,0
1579826521,2,1
1579828922,1,0
1579830122,3,0
1579831321,1,0
1579833122,1,0
1579834921,4,0
1579835521,3,0
1579836721,1,0
1579838521,4,0
1579839875,934,319
1579840321,1,1
1579840921,3,0
1579842121,6,0
1579843321,3,0
1579844522,2,0
1579845722,4,1
1579846921,2,0
1579847521,0,2
1579848121,8,0
1579849322,5,0
1579849921,2,0
1579850521,1,0
1579851037,1,0
1579851721,1,0
1579852921,4,0
1579854121,8,0
1579854721,2,0
1579855322,1,0
1579856521,4,0
1579857722,3,1
1579859521,1,0
1579860122,3,0
1579860721,2,0
1579861321,1,0
1579861922,2,0
1579863122,1,0
1579863721,6,0
1579864921,2,0
1579866722,1,0
1579867321,4,1
1579868521,1,0
1579870922,5,0
1579873321,2,0
1579875121,1,0
1579875721,3,0
1579878721,4,0
1579879322,2,0
1579879921,2,0
1579880521,3,0
1579881121,5,0
1579881721,4,0
1579884121,1,0
1579884721,1,0
1579885321,6,0
1579887721,4,0
1579888321,5,0
1579889438,1,0
1579889521,1,0
1579890121,2,0
1579891921,7,0
1579893121,4,0
1579893721,7,0
1579894322,1,0
1579894922,1,0
1579895521,4,0
1579896121,5,0
1579896721,5,0
1579898522,1,0
1579899721,2,1
1579900922,3,0
1579902121,1,0
1579903321,2,0
1579903921,2,0
1579904522,2,0
1579905121,1,0
1579906321,4,0
1579906921,5,0
1579907521,1,0
1579910522,6,0
1579911121,1,0
1579911721,1,0
1579912922,2,1
1579913521,1,0
1579914121,43,0
1579915321,1,0
1579915921,4,0
1579916521,2,0
1579917721,0,2
1579918321,4,0
1579918921,24,0
1579920122,5,0
1579921321,1,0
1579922521,3,0
1579923121,5,0
1579923721,6,0
1579924321,2,0
1579924922,5,0
1579925521,5,0
1579926121,3,1
1579926721,3,1
1579926994,960,298
1579927322,2,0
1579928521,2,2
1579929122,3,0
1579929721,4,0
1579930922,6,0
1579932721,1,0
1579933322,3,0
1579933921,2,0
1579935721,1,0
1579936921,9,0
1579938121,3,0
1579939321,2,2
1579939921,3,0
1579941121,1,0
1579941721,4,0
1579942921,3,0
1579944122,1,0
1579946522,8,0
1579947721,3,0
1579948322,3,0
1579949522,1,0
1579951237,3,0
1579952521,4,0
1579953121,2,0
1579954321,1,0
1579954921,2,2
1579955522,5,0
1579956121,1,0
1579959121,3,0
1579959722,2,0
1579960921,1,0
1579962122,1,0
1579962721,3,0
1579963321,4,0
1579964521,2,0
1579966321,1,0
1579966921,1,0
1579967521,5,0
1579967522,2,0
1579968721,1,0
1579969921,1,0
1579970521,1,1
1579972321,2,0
1579974121,2,0
1579974721,1,0
1579975921,3,0
1579976521,3,0
1579977121,1,0
1579977721,1,0
1579978922,3,0
1579980121,8,0
1579980721,3,0
1579981921,4,0
1579982521,2,0
1579983721,2,0
1579984321,1,0
1579985521,1,0
1579986122,1,0
1579987322,3,0
1579988521,1,1
1579989721,3,0
1579990322,2,0
1579990921,2,0
1579991521,1,0
1579992121,4,0
1579993321,1,0
1579995721,2,1
1579996321,2,0
1579997521,2,0
1579998122,1,0
1579998721,1,0
1579999321,1,0
1580000521,1,0
1580001721,2,0
1580002321,1,0
1580002921,4,0
1580004121,4,1
1580005321,1,0
1580006521,3,0
1580007122,6,0
1580007721,3,0
1580010121,2,0
1580011321,7,0
1580013721,6,0
1580014133,994,280
1580014921,3,0
1580015521,2,0
1580016121,2,0
1580017322,4,0
1580019722,1,0
1580020921,0,1
1580022121,1,0
1580022721,1,0
1580023322,2,0
1580023921,2,0
1580024521,1,0
1580025721,2,0
1580026921,2,0
1580027521,2,0
1580028121,3,0
1580029321,2,0
1580030521,3,0
1580031121,2,1
1580031721,6,0
1580032921,1,0
1580035921,1,0
1580036521,1,0
1580037122,3,0
1580037721,2,0
1580038322,4,0
1580038922,2,0
1580040121,4,0
1580041321,1,0
1580043721,2,0
1580044321,2,0
1580044921,1,0
1580046121,4,0
1580047321,1,0
1580048521,1,0
1580049721,3,0
1580050321,1,0
1580051521,4,0
1580052121,3,0
1580052721,3,0
1580053322,3,0
1580055721,1,0
1580056921,1,0
1580058121,2,0
1580058721,1,0
1580060521,3,0
1580061122,2,0
1580061721,1,0
1580062921,2,0
1580063522,1,0
1580064121,2,0
1580065321,3,0
1580067721,1,0
1580068921,4,0
1580071321,3,0
1580072521,1,0
1580073121,2,0
1580073721,4,0
1580074321,4,0
1580074921,1,0
1580075521,1,0
1580076121,2,0
1580077322,1,0
1580077921,1,0
1580079122,8,0
1580079721,2,0
1580081521,2,0
1580082121,1,0
1580083322,2,0
1580085722,1,0
1580086921,3,1
1580088721,3,0
1580089921,1,0
1580090521,2,0
1580091722,1,0
1580092322,2,0
1580092921,4,0
1580094122,2,0
1580095921,1,0
1580096522,1,0
1580097721,2,0
1580098921,1,0
1580100122,11,0
1580101249,891,296
1580101321,4,0
1580102521,1,0
1580103721,1,0
1580104921,4,0
1580106121,1,0
1580107321,2,0
1580110921,1,0
1580112722,2,0
1580114522,3,0
1580116921,2,0
1580119321,0,1
1580120521,2,0
1580121721,9,0
1580122921,6,0
1580124722,1,0
1580125321,1,0
1580127122,1,0
1580127721,1,0
1580128321,1,0
1580128921,2,0
1580130121,1,0
1580133721,5,0
1580135521,2,0
1580136721,1,0
1580137321,3,0
1580139121,2,0
1580140321,1,0
1580142721,1,0
1580145121,1,0
1580146921,1,0
1580147521,3,1
1580148121,6,0
1580149321,2,0
1580151721,2,0
1580152921,2,0
1580153521,2,0
1580155321,4,0
1580157721,3,1
1580158922,4,0
1580160121,2,0
1580160722,1,0
1580161322,6,1
1580161921,3,0
1580163121,3,0
1580163721,1,0
1580164922,1,0
1580167321,2,0
1580167921,7,0
1580168522,1,0
1580170921,1,0
1580171521,7,0
1580172121,1,1
1580173321,2,0
1580174521,2,0
1580176921,1,0
1580178121,1,0
1580180521,1,0
1580181721,3,0
1580182321,1,0
1580182921,8,0
1580184121,6,0
1580185322,6,0
1580185921,1,0
1580186521,1,0
1580187721,2,0
1580188364,885,285
1580188921,1,0
1580189521,2,0
1580190121,3,0
1580191321,1,0
1580192521,2,0
1580193721,2,0
1580194922,5,1
1580195521,1,0
1580196722,1,0
1580197321,6,0
1580198521,2,0
1580199721,1,0
1580200921,1,1
1580203321,3,0
1580203921,1,0
1580205721,2,0
1580206322,2,0
1580206921,4,0
1580207521,3,0
1580208721,5,2
1580209321,2,0
1580209921,1,0
1580210521,4,0
1580211122,1,0
1580212921,2,0
1580213521,2,0
1580214121,2,0
1580214721,1,20
1580217722,1,0
1580218922,6,0
1580219522,2,0
1580220121,1,0
1580220721,1,0
1580223721,4,1
1580224321,1,0
1580225522,3,0
1580226121,4,0
1580227322,1,0
1580228521,1,0
1580229721,2,0
1580230921,1,0
1580233322,2,0
1580233921,6,0
1580235121,4,0
1580236381,1,0
1580238121,1,0
1580240521,2,0
1580241721,2,0
1580242921,4,0
1580243521,1,0
1580244121,5,0
1580245321,0,2
1580249521,2,0
1580251321,1,0
1580253721,2,0
1580257321,1,0
1580259721,6,0
1580262121,3,0
1580262721,1,0
1580263321,0,1
1580263921,2,0
1580265721,1,0
1580267521,2,0
1580268121,1,0
1580270522,8,0
1580271122,3,0
1580272382,1,0
1580273521,1,0
1580275477,835,252
1580275981,2,0
1580277721,3,1
1580278921,1,0
1580281921,2,0
1580282522,4,0
1580283722,1,0
1580284921,1,1
1580285521,3,0
1580286121,1,0
1580289721,6,0
1580293922,1,0
1580295121,1,0
1580295721,1,0
