DateTime,Entries,UniqueIPs
1579856521,4039,4124
1579857722,4030,4116
1579858321,4045,4133
1579858921,4034,4124
1579859521,4060,4150
1579860122,4070,4160
1579860721,4082,4172
1579861321,4062,4152
1579861922,4053,4143
1579863122,4028,4116
1579863721,4031,4119
1579864921,4045,4133
1579866121,4026,4116
1579867321,4015,4105
1579868521,4017,4104
1579869721,4025,4109
1579870322,4048,4134
1579870922,4039,4126
1579871521,4063,4150
1579872122,4053,4138
1579873321,4066,4150
1579874522,4074,4161
1579875721,4054,4140
1579876321,4065,4151
1579876922,4095,4183
1579878121,4090,4177
1579878721,4121,4208
1579879322,4143,4231
1579879921,4136,4225
1579880521,4170,4261
1579881121,4131,4221
1579882921,4144,4235
1579884121,4173,4265
1579884721,4174,4265
1579885321,4209,4302
1579886522,4204,4298
1579887121,4224,4321
1579887721,4196,4293
1579888921,4192,4292
1579889521,4197,4301
1579890121,4218,4322
1579891321,4193,4299
1579892521,4167,4272
1579893121,4195,4300
1579893721,4176,4277
1579894322,4205,4307
1579894922,4175,4275
1579896121,4143,4239
1579896721,4162,4262
1579897321,4152,4249
1579898522,4160,4257
1579899121,4133,4229
1579900322,4122,4223
1579900922,4146,4248
1579901522,4169,4272
1579902721,4146,4251
1579903321,4148,4254
1579903921,4146,4253
1579905121,4170,4281
1579905721,4185,4300
1579906321,4204,4319
1579906921,4239,4354
1579908121,4251,4368
1579909321,4232,4347
1579909921,4260,4375
1579910522,4244,4364
1579911121,4274,4396
1579911721,4253,4372
1579912321,4258,4377
1579912922,4259,4380
1579913521,4288,4413
1579914121,4294,4416
1579915321,4310,4432
1579916521,4283,4406
1579917721,4289,4412
1579918321,4294,4418
1579918921,4295,4418
1579920122,4278,4404
1579921321,4266,4391
1579922521,4231,4352
1579923721,4195,4317
1579924321,4219,4342
1579924922,4244,4369
1579925521,4256,4380
1579926121,4245,4370
1579927322,4264,4390
1579928521,4288,4415
1579929721,4236,4359
1579930922,4239,4364
1579931521,4236,4361
1579933322,4235,4356
1579933921,4261,4384
1579934521,4234,4358
1579935721,4226,4349
1579936921,4222,4346
1579938121,4199,4324
1579939321,4221,4351
1579939921,4224,4351
1579941121,4229,4355
1579941721,4263,4389
1579942322,4252,4378
1579944122,4275,4404
1579945322,4261,4389
1579945922,4238,4363
1579946522,4263,4389
1579947122,4235,4357
1579947721,4262,4384
1579948322,4269,4391
1579948922,4260,4379
1579949522,4287,4407
1579950722,4263,4379
1579951921,4257,4374
1579952521,4294,4413
1579953121,4291,4409
1579953721,4313,4433
1579954321,4325,4445
1579954921,4337,4459
1579955522,4336,4457
1579956121,4335,4456
1579956721,4329,4451
1579957321,4355,4477
1579958521,4326,4447
1579959722,4328,4451
1579960921,4308,4433
1579962122,4318,4441
1579962721,4317,4441
1579963321,4321,4446
1579964521,4285,4411
1579965121,4285,4410
1579965721,4241,4364
1579966921,4253,4375
1579967522,4289,4413
1579968721,4290,4414
1579969322,4303,4427
1579969921,4295,4419
1579971122,4256,4373
1579971722,4253,4369
1579972321,4267,4386
1579972922,4271,4390
1579974121,4265,4387
1579974721,4259,4379
1579975921,4263,4380
1579976521,4286,4406
1579977721,4233,4349
1579978922,4220,4334
1579980121,4212,4324
1579980721,4205,4319
1579981321,4202,4317
1579981921,4207,4323
1579982521,4196,4312
1579983721,4232,4351
1579984921,4207,4326
1579986122,4221,4340
1579987322,4160,4274
1579987921,4187,4302
1579988521,4187,4302
1579989721,4187,4304
1579990921,4190,4308
1579991521,4161,4275
1579992121,4147,4262
1579993321,4147,4261
1579994521,4146,4261
1579995721,4152,4266
1579996321,4148,4266
1579996922,4132,4250
1579997521,4128,4249
1579998122,4155,4279
1579998721,4123,4247
1579999321,4147,4271
1580000521,4093,4210
1580001721,4121,4238
1580002321,4140,4258
1580002921,4171,4290
1580004121,4165,4284
1580005321,4135,4256
1580005921,4094,4209
1580007122,4117,4233
1580007721,4110,4223
1580008921,4129,4244
1580010121,4137,4250
1580011321,4124,4237
1580011921,4115,4229
1580012521,4112,4225
1580013721,4110,4222
1580014322,4102,4213
1580015521,4109,4218
1580016121,4136,4245
1580017322,4092,4201
1580018521,4120,4230
1580019722,4111,4222
1580020921,4052,4164
1580021521,4061,4173
1580022721,4089,4204
1580023322,4116,4232
1580024521,4132,4247
1580025721,4093,4206
1580026921,4096,4211
1580027521,4129,4244
1580028721,4095,4207
1580029321,4115,4230
1580030521,4117,4231
1580031121,4114,4228
1580031721,4119,4230
1580032321,4139,4253
1580032921,4119,4229
1580034121,4102,4212
1580034722,4090,4199
1580035321,4080,4190
1580035921,4045,4154
1580036521,4072,4182
1580037122,4098,4210
1580037721,4080,4192
1580038322,4107,4222
1580038922,4119,4234
1580040121,4067,4175
1580041321,4071,4181
1580042521,4049,4162
1580043122,4050,4163
1580044321,4054,4168
1580044921,4063,4177
1580046121,4065,4178
1580047321,4067,4179
1580048521,4088,4203
1580049721,4085,4203
1580050922,4107,4226
1580052121,4117,4238
1580052721,4114,4233
1580053322,4115,4238
1580054522,4101,4224
1580055721,4083,4206
1580056921,4083,4207
1580058121,4088,4210
1580059322,4044,4163
1580059922,4062,4182
1580060521,4095,4216
1580061122,4113,4233
1580061721,4141,4263
1580062921,4085,4203
1580063522,4106,4225
1580064121,4092,4212
1580065321,4109,4230
1580066522,4092,4211
1580067721,4087,4210
1580068921,4067,4189
1580069522,4093,4216
1580070121,4103,4226
1580071321,4093,4210
1580071921,4079,4195
1580073121,4107,4223
1580073721,4114,4230
1580074321,4131,4250
1580074921,4145,4264
1580075521,4134,4253
1580076121,4114,4231
1580077322,4090,4204
1580079122,4076,4187
1580079721,4097,4209
1580080921,4101,4214
1580081521,4133,4247
1580082121,4159,4273
1580083322,4133,4244
1580084521,4079,4185
1580085722,4060,4157
1580086921,4085,4185
1580088121,4077,4178
1580088721,4065,4164
1580089321,4070,4168
1580089921,4084,4182
1580090521,4080,4175
1580091722,4069,4164
1580092921,4099,4194
1580094122,4076,4173
1580095321,4069,4163
1580096522,4070,4165
1580097121,4038,4132
1580098322,4044,4139
1580098921,4069,4166
1580099521,4086,4184
1580100721,4096,4191
1580101321,4067,4161
1580102521,4074,4172
1580103721,4073,4172
1580104921,4054,4150
1580106121,4048,4142
1580106721,4068,4164
1580107321,4100,4198
1580108521,4097,4196
1580109121,4098,4197
1580110321,4060,4158
1580110921,4082,4182
1580111521,4071,4173
1580112122,4080,4182
1580112722,4092,4194
1580113321,4067,4165
1580114522,4077,4174
1580115721,4071,4169
1580116321,4062,4162
1580117521,4036,4135
1580118121,4062,4161
1580119321,4035,4134
1580120521,4019,4116
1580121721,4001,4097
1580122321,4004,4102
1580123521,3982,4082
1580124122,3990,4091
1580124722,4005,4106
1580125321,3987,4090
1580125921,3997,4100
1580126521,4014,4116
1580127122,4048,4152
1580128321,4049,4155
1580128921,4042,4145
1580129521,4026,4127
1580130121,4041,4143
1580131321,3984,4082
1580131921,3965,4063
1580133721,3984,4086
1580134322,3991,4093
1580135521,3982,4083
1580136121,3971,4072
1580136721,3991,4092
1580137321,3996,4096
1580137921,4003,4102
1580139121,4022,4122
1580139722,4018,4117
1580140921,4000,4094
1580142121,3975,4067
1580143321,3989,4083
1580144522,3991,4087
1580145121,4018,4116
1580145721,3970,4068
1580147521,3971,4068
1580148722,3939,4033
1580149321,3978,4073
1580150521,3981,4076
1580151721,3978,4073
1580152921,3949,4042
1580153521,3978,4071
1580154122,3976,4067
1580155321,3969,4060
1580156521,3937,4025
1580157721,3956,4047
1580158321,3969,4062
1580158922,4003,4099
1580160121,3967,4064
1580160722,3943,4039
1580161322,3938,4035
1580161921,3956,4053
1580162521,3952,4049
1580163121,3980,4077
1580163721,3977,4072
1580164922,3989,4084
1580166121,3981,4077
1580167321,3986,4086
1580167921,3977,4076
1580168522,3946,4042
1580169722,3964,4060
1580170921,3956,4054
1580172121,3942,4039
1580172721,3915,4011
1580174521,3912,4008
1580175721,3908,4004
1580176321,3884,3981
1580177521,3885,3981
1580178121,3891,3990
1580179321,3902,4003
1580180521,3929,4032
1580181121,3938,4043
1580181721,3964,4069
1580182921,3954,4057
1580183521,3949,4049
1580185322,3953,4052
1580186521,3951,4046
1580187121,3880,3974
1580188921,3898,3992
1580189521,3902,3995
1580190121,3926,4019
1580191321,3930,4021
1580192521,3916,4007
1580193721,3889,3978
1580194321,3877,3965
