DateTime,Entries,UniqueIPs
1579770721,8458,8815
1579771321,8459,8816
1579771921,8458,8816
1579773722,8455,8813
1579774322,8454,8812
1579774921,8453,8811
1579776122,8453,8811
1579777322,8452,8810
1579778521,8454,8812
1579779722,8449,8807
1579780321,8451,8809
1579781522,8449,8807
1579782721,8448,8806
1579783321,8446,8804
1579784521,8446,8804
1579785121,8445,8803
1579786321,8442,8800
1579786921,8443,8801
1579788121,8442,8800
1579788722,8440,8798
1579789322,8441,8799
1579789921,8443,8801
1579791121,8442,8799
1579791721,8443,8800
1579792921,8452,8809
1579793521,8451,8808
1579794121,8452,8809
1579795321,8449,8806
1579796522,8448,8805
1579797121,8450,8807
1579797721,8451,8808
1579798321,8452,8809
1579799521,8454,8811
1579801321,8455,8812
1579802522,8454,8811
1579803722,8454,8810
1579804322,8464,8821
1579805522,8463,8820
1579806121,8464,8821
1579807321,8459,8816
1579807922,8460,8817
1579808521,8464,8821
1579809121,8465,8822
1579809721,8464,8821
1579810322,8460,8817
1579811521,8461,8818
1579812121,8462,8819
1579812721,8460,8817
1579815121,8458,8815
1579815722,8457,8814
1579816321,8468,8827
1579816921,8470,8829
1579817521,8467,8826
1579818121,8470,8829
1579819921,8470,8829
1579820521,8464,8823
1579822321,8457,8816
1579822922,8456,8815
1579824721,8454,8814
1579825921,8448,8808
1579826521,8438,8798
1579827721,8437,8796
1579828922,8432,8791
1579830122,8430,8789
1579831321,8427,8786
1579831922,8425,8784
1579833122,8426,8785
1579834921,8425,8784
1579835521,8424,8784
1579836121,8420,8780
1579838521,8422,8782
1579839722,8419,8779
1579840321,8416,8776
1579840921,8419,8779
1579842121,8424,8786
1579843321,8426,8788
1579843921,8426,8788
1579844522,8427,8789
1579845722,8424,8786
1579846921,8427,8788
1579847521,8423,8783
1579848121,8422,8782
1579849322,8423,8783
1579850521,8421,8781
1579851721,8419,8779
1579852921,8418,8778
1579854121,8422,8785
1579854721,8424,8787
1579855322,8420,8783
1579856521,8424,8787
1579857722,8427,8790
1579858921,8423,8786
1579860122,8421,8784
1579860721,8421,8784
1579861321,8419,8782
1579861922,8419,8781
1579863122,8418,8780
1579863721,8418,8780
1579864921,8415,8777
1579866121,8416,8778
1579866722,8415,8777
1579867321,8414,8776
1579869721,8413,8775
1579870322,8411,8773
1579870922,8408,8770
1579872122,8403,8765
1579874522,8401,8763
1579875121,8401,8763
1579876321,8400,8762
1579876922,8398,8760
1579878721,8400,8762
1579879322,8400,8762
1579879921,8399,8761
1579881121,8394,8755
1579881721,8395,8756
1579882921,8390,8751
1579883521,8389,8750
1579884121,8388,8749
1579885321,8391,8752
1579885921,8389,8750
1579887721,8393,8754
1579888321,8389,8750
1579889521,8390,8751
1579890121,8388,8749
1579891921,8391,8754
1579892521,8388,8751
1579893121,8391,8756
1579894322,8387,8752
1579895521,8392,8757
1579896121,8391,8756
1579896721,8389,8754
1579898522,8382,8747
1579899721,8370,8735
1579900322,8367,8732
1579901521,8366,8732
1579902121,8364,8730
1579902721,8361,8727
1579903921,8360,8726
1579904522,8362,8728
1579905121,8364,8730
1579906321,8365,8731
1579907521,8359,8726
1579908721,8357,8724
1579909321,8355,8722
1579909921,8352,8719
1579911121,8354,8721
1579911721,8349,8716
1579912321,8348,8715
1579913521,8387,8754
1579914121,8388,8755
1579915921,8394,8761
1579916521,8389,8756
1579917721,8389,8757
1579918321,8391,8760
1579918921,8409,8779
1579920122,8410,8780
1579921321,8405,8775
1579922521,8403,8773
1579923121,8408,8778
1579923721,8406,8778
1579924922,8409,8781
1579925521,8409,8781
1579926121,8408,8780
1579926721,8409,8782
1579928521,8406,8778
1579929122,8407,8779
1579929721,8409,8781
1579930922,8410,8782
1579931521,8411,8783
1579932721,8405,8777
1579933322,8403,8773
1579933921,8408,8778
1579935721,8409,8779
1579936921,8410,8780
1579938121,8406,8776
1579939321,8405,8775
1579939921,8406,8776
1579941121,8405,8775
1579941721,8403,8773
1579942921,8406,8776
1579944122,8407,8777
1579945322,8406,8776
1579945922,8402,8772
1579946522,8403,8773
1579947721,8406,8776
1579948322,8403,8772
1579948922,8393,8762
1579949522,8394,8763
1579950121,8393,8761
1579951921,8389,8757
1579952521,8389,8757
1579953121,8390,8758
1579954321,8381,8746
1579954921,8379,8744
1579955522,8381,8746
1579956121,8376,8740
1579956721,8377,8741
1579957321,8376,8740
1579959121,8374,8738
1579959722,8376,8740
1579960921,8374,8738
1579961521,8373,8737
1579962122,8374,8738
1579962721,8373,8737
1579963321,8375,8739
1579963922,8371,8735
1579964521,8371,8735
1579966321,8367,8731
1579967521,8370,8734
1579970521,8368,8732
1579971122,8365,8729
1579972321,8365,8729
1579974721,8360,8724
1579975321,8360,8724
1579975921,8361,8725
1579976521,8362,8726
1579977721,8363,8727
1579978922,8365,8729
1579979522,8364,8728
1579980121,8370,8734
1579980721,8372,8736
1579981321,8370,8734
1579981921,8369,8733
1579982521,8371,8736
1579983121,8369,8734
1579984321,8368,8733
1579985521,8366,8731
1579986721,8366,8729
1579987322,8368,8731
1579988521,8367,8730
1579990322,8367,8731
1579990921,8368,8732
1579991521,8366,8730
1579992121,8364,8728
1579992721,8364,8729
1579995721,8363,8728
1579996321,8363,8728
1579996922,8361,8726
1579998122,8360,8725
1579999321,8356,8721
1579999922,8345,8710
1580001121,8343,8708
1580002321,8349,8715
1580002921,8350,8716
1580003521,8348,8714
1580005321,8346,8712
1580006521,8347,8713
1580007721,8346,8713
1580008921,8343,8710
1580010121,8344,8711
1580011321,8344,8711
1580013121,8343,8710
1580013721,8348,8715
1580014921,8349,8718
1580016121,8350,8719
1580017322,8301,8670
1580017922,8302,8671
1580019121,8300,8669
1580020321,8298,8667
1580020921,8297,8666
1580022121,8295,8664
1580022721,8295,8664
1580023921,8294,8664
1580024521,8295,8665
1580025122,8294,8664
1580026321,8297,8667
1580027521,8301,8671
1580028121,8302,8672
1580028721,8299,8669
1580029922,8300,8670
1580031721,8299,8669
1580033521,8298,8668
1580035321,8295,8664
1580035921,8294,8663
1580036521,8294,8663
1580037721,8294,8661
1580038322,8298,8665
1580038922,8295,8662
1580040121,8298,8665
1580043122,8296,8663
1580043721,8297,8664
1580044321,8296,8663
1580047921,8296,8664
1580048521,8296,8665
1580049721,8294,8663
1580050321,8295,8664
1580051521,8296,8665
1580052721,8293,8662
1580053322,8294,8663
1580055721,8295,8664
1580056321,8295,8665
1580057521,8295,8665
1580058721,8296,8665
1580059322,8294,8663
1580061122,8294,8663
1580062321,8292,8661
1580064121,8294,8663
1580065321,8295,8664
1580066522,8293,8662
1580067721,8293,8662
1580068321,8290,8659
1580069521,8271,8640
1580070721,8269,8638
1580071921,8264,8633
1580072521,8265,8634
1580073721,8264,8633
1580074321,8263,8632
1580074921,8264,8633
1580075521,8263,8632
1580076121,8268,8637
1580077322,8268,8637
1580077921,8270,8639
1580078521,8269,8638
1580079122,8268,8637
1580079721,8268,8636
1580080921,8265,8633
1580081521,8265,8634
1580083322,8264,8633
1580085121,8261,8630
1580086322,8260,8629
1580088721,8254,8623
1580089321,8253,8622
1580089921,8250,8619
1580090521,8248,8617
1580091722,8249,8618
1580092322,8251,8621
1580092921,8247,8617
1580094121,8250,8620
1580095921,8250,8621
1580097721,8251,8622
1580098921,8254,8625
1580100122,8252,8626
1580101321,8243,8617
1580102521,8244,8618
1580103721,8204,8578
1580104921,8203,8577
1580106721,8205,8579
1580110921,8206,8580
1580115721,8205,8579
1580116921,8207,8581
1580117521,8201,8575
1580118721,8199,8573
1580119321,8200,8574
1580120521,8199,8573
1580121721,8208,8583
1580124722,8206,8581
1580125321,8207,8582
1580125921,8206,8581
1580128321,8207,8582
1580128921,8205,8580
1580130121,8204,8579
1580131321,8202,8577
1580131921,8197,8572
1580134322,8196,8571
1580134921,8192,8567
1580135521,8194,8569
1580136121,8193,8568
1580137321,8194,8569
1580137921,8193,8568
1580138521,8194,8569
1580140321,8193,8568
1580141522,8192,8567
1580142121,8193,8566
1580142721,8195,8568
1580144522,8196,8569
1580145121,8190,8565
1580145721,8189,8562
1580147521,8187,8560
1580148121,8194,8567
1580148722,8192,8565
1580149921,8190,8563
1580151721,8187,8560
1580152321,8187,8560
1580152921,8189,8562
1580153521,8188,8562
1580154122,8198,8572
1580154721,8197,8571
1580157121,8198,8572
1580157721,8194,8568
1580158922,8196,8570
1580160722,8197,8571
1580161322,8198,8573
1580162521,8193,8568
1580163721,8193,8568
1580164922,8192,8568
1580166121,8191,8567
1580166721,8191,8567
1580167321,8192,8568
1580168521,8192,8568
1580169122,8192,8569
1580170921,8192,8569
1580171521,8200,8577
1580172121,8200,8577
1580173321,8198,8576
1580175121,8197,8575
1580176321,8196,8574
1580176921,8194,8572
1580178721,8193,8571
1580180521,8192,8570
1580181121,8191,8568
1580182321,8192,8569
1580182921,8198,8577
1580184121,8202,8581
1580184722,8200,8579
1580185921,8199,8578
1580187721,8199,8579
1580188921,8200,8580
1580190121,8200,8581
1580190721,8198,8579
1580192521,8196,8576
1580193721,8195,8575
1580194922,8197,8577
1580195521,8194,8574
1580196121,8192,8572
1580196722,8193,8573
1580197321,8192,8572
1580198521,8191,8571
1580199721,8190,8570
1580200921,8187,8565
1580203321,8185,8563
1580205121,8184,8561
1580205721,8183,8560
1580206321,8183,8560
1580207521,8185,8564
1580208721,8185,8565
1580209921,8184,8565
1580212322,8181,8562
1580213521,8181,8562
1580214721,8182,8563
1580215922,8180,8561
1580216522,8179,8560
1580217121,8180,8561
1580218922,8179,8560
1580220121,8178,8559
1580220721,8180,8561
1580222522,8179,8560
1580223721,8179,8560
1580225522,8178,8559
1580226121,8175,8556
1580227321,8170,8551
1580230921,8171,8552
1580232121,8168,8549
1580233921,8167,8550
1580234521,8164,8547
1580235121,8165,8548
1580236322,8165,8548
1580236922,8164,8547
1580237521,8164,8547
1580238721,8165,8548
1580239322,8166,8549
1580240521,8165,8548
1580241121,8167,8550
1580243521,8168,8551
1580244121,8166,8546
1580245321,8164,8544
1580246521,8162,8542
1580247721,8161,8541
1580248921,8159,8539
1580249521,8160,8540
1580250121,8159,8539
1580250721,8155,8535
1580253122,8154,8534
1580254321,8153,8532
1580257321,8151,8530
1580258521,8149,8528
1580259721,8151,8530
1580260321,8151,8530
1580261521,8150,8529
1580262121,8149,8528
1580263321,8148,8527
1580265121,8147,8526
1580265721,8148,8527
1580268121,8144,8523
1580269322,8143,8522
1580270521,8150,8531
1580271121,8154,8535
1580272321,8132,8513
1580273521,8124,8504
1580275322,8123,8503
1580276522,8124,8504
1580277721,8119,8499
1580278921,8118,8498
1580280121,8118,8497
1580281921,8120,8499
1580282522,8122,8501
1580283722,8122,8502
1580284322,8121,8501
1580285521,8141,8521
1580286121,8140,8521
1580287322,8141,8522
1580288521,8140,8521
1580289721,8141,8522
1580290922,8139,8520
1580291521,8137,8518
1580293321,8134,8515
1580293922,8136,8517
1580295121,8137,8518
1580295721,8137,8518
1580296321,8138,8519
1580296922,8137,8518
